Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
0;0;0;0
3,906;0;0;0
7,813;1,015;0,308;0,539
11,719;0,453;0,295;0,361
15,625;0,412;0,421;0,303
19,531;0,632;0,567;0,23
23,438;2,482;1,809;0,52
27,344;1,039;0,99;0,268
31,25;0,788;0,557;0,192
35,156;0,616;0,622;0,088
39,063;0,631;0,554;0,147
42,969;0,27;0,286;0,147
46,875;0,339;0,352;0,18
50,781;0,234;0,297;0,29
54,688;0,607;0,785;0,473
58,594;0,269;0,353;0,256
62,5;0,608;0,366;0,474
66,406;0,297;0,111;0,44
70,313;0,26;0,322;0,189
74,219;0,067;0,257;0,296
78,125;0,074;0,192;0,11
82,031;0,24;0,435;0,176
85,938;0,044;0,283;0,095
89,844;0,086;0,235;0,235
93,75;0,34;0,285;0,51
97,656;0,344;0,163;0,259
101,563;0,112;0,17;0,164
105,469;0,08;0,225;0,159
109,375;0,079;0,173;0,17
113,281;0,152;0,627;0,334
117,188;0,098;0,384;0,131
121,094;0,08;0,278;0,059
125;0,243;0,742;0,168
128,906;0,115;0,142;0,14
132,813;0,115;0,05;0,102
136,719;0,154;0,124;0,234
140,625;0,174;0,162;0,069
144,531;0,019;0,069;0,054
148,438;0,144;0,45;0,202
152,344;0,022;0,104;0,114
156,25;0,03;0,109;0,039
160,156;0,087;0,173;0,127
164,063;0,101;0,075;0,083
167,969;0,08;0,348;0,094
171,875;0,003;0,225;0,088
175,781;0,121;0,107;0,179
179,688;0,079;0,135;0,127
183,594;0,109;0,117;0,044
187,5;0,126;0,42;0,1
191,406;0,106;0,407;0,082
195,313;0,049;0,164;0,052
199,219;0,047;0,329;0,033
203,125;0,052;0,066;0,03
207,031;0,025;0,067;0,025
210,938;0,045;0,071;0,05
214,844;0,08;0,118;0,023
218,75;0,022;0,052;0,014
222,656;0,076;0,06;0,013
226,563;0,044;0,04;0,034
230,469;0,035;0,033;0,028
234,375;0,027;0,119;0,047
238,281;0,033;0,016;0,041
242,188;0,033;0,044;0,009
246,094;0,06;0,051;0,116
250;0,077;0,05;0,053
253,906;0,009;0,018;0,088
257,813;0,003;0,028;0,016
261,719;0,031;0,03;0,02
265,625;0,007;0,059;0,04
269,531;0,014;0,024;0,032
273,438;0,006;0,005;0,001
277,344;0,025;0,044;0,021
281,25;0,026;0,059;0,001
285,156;0,012;0,02;0,011
289,063;0,024;0,041;0,018
292,969;0,014;0,038;0,028
296,875;0,026;0,036;0,008
300,781;0,044;0,063;0,04
304,688;0,019;0,026;0,026
308,594;0,037;0,068;0,014
312,5;0,019;0,053;0,055
316,406;0,03;0,058;0,056
320,313;0,054;0,149;0,024
324,219;0,032;0,069;0,01
328,125;0,044;0,054;0,013
332,031;0,059;0,139;0,03
335,938;0,063;0,125;0,026
339,844;0,024;0,058;0,018
343,75;0,019;0,039;0,013
347,656;0,028;0,142;0,008
351,563;0,028;0,065;0,015
355,469;0,046;0,01;0,023
359,375;0,027;0,021;0,016
