Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
363,281;0,03;0,084;0,009
367,188;0,032;0,059;0,012
371,094;0,006;0,017;0,014
375;0,043;0,082;0,014
378,906;0,027;0,168;0,009
382,813;0,021;0,022;0,012
386,719;0,021;0,017;0,013
390,625;0,037;0,037;0,014
394,531;0,028;0,059;0,016
398,438;0,052;0,146;0,042
402,344;0,037;0,196;0,057
406,25;0,014;0,038;0,009
410,156;0,095;0,128;0,058
414,063;0,052;0,073;0,035
417,969;0,049;0,039;0,046
421,875;0,036;0,042;0,02
425,781;0,026;0,091;0,024
429,688;0,026;0,044;0,008
433,594;0,051;0,035;0,035
437,5;0,02;0,074;0,011
441,406;0,025;0,007;0,021
445,313;0,057;0,122;0,014
449,219;0,034;0,077;0,008
453,125;0,042;0,094;0,03
457,031;0,051;0,158;0,017
460,938;0,069;0,235;0,008
464,844;0,025;0,085;0,032
468,75;0,02;0,052;0,018
472,656;0,046;0,147;0,022
476,563;0,048;0,15;0,016
480,469;0,064;0,203;0,012
484,375;0,011;0,06;0,016
488,281;0,079;0,195;0,018
492,188;0,037;0,094;0,003
496,094;0,015;0,032;0,005
500;0,033;0,112;0,02
503,906;0,019;0,116;0,022
507,813;0,06;0,09;0,012
511,719;0,039;0,102;0,002
515,625;0,008;0,146;0,022
519,531;0,043;0,19;0,011
523,438;0,045;0,182;0,013
527,344;0,014;0,006;0,005
531,25;0,093;0,054;0,042
535,156;0,083;0,135;0,047
539,063;0,023;0,151;0,043
542,969;0,045;0,062;0,023
546,875;0,046;0,172;0,007
550,781;0,061;0,029;0,019
554,688;0,051;0,121;0,018
558,594;0,065;0,038;0,027
562,5;0,034;0,074;0,025
566,406;0,064;0,127;0,033
570,313;0,109;0,143;0,066
574,219;0,08;0,166;0,034
578,125;0,066;0,079;0,037
582,031;0,096;0,201;0,047
585,938;0,033;0,104;0,042
589,844;0,179;0,248;0,073
593,75;0,1;0,088;0,043
597,656;0,108;0,064;0,057
601,563;0,153;0,094;0,073
605,469;0,073;0,076;0,039
609,375;0,091;0,094;0,055
613,281;0,019;0,063;0,03
617,188;0,023;0,031;0,032
621,094;0,026;0,037;0,036
625;0,036;0,036;0,023
628,906;0,038;0,052;0,037
632,813;0,062;0,079;0,028
636,719;0,009;0,032;0,009
640,625;0,034;0,036;0,01
644,531;0,067;0,087;0,063
648,438;0,07;0,019;0,044
652,344;0,051;0,021;0,057
656,25;0,022;0,033;0,012
660,156;0,042;0,021;0,034
664,063;0,024;0,018;0,028
667,969;0,046;0,02;0,042
671,875;0,008;0,016;0,029
675,781;0,026;0,038;0,04
679,688;0,024;0,014;0,023
683,594;0,016;0,006;0,031
687,5;0,055;0,028;0,023
691,406;0,041;0,047;0,03
695,313;0,045;0,034;0,018
699,219;0,075;0,03;0,062
703,125;0,051;0,015;0,027
707,031;0,041;0,004;0,016
710,938;0,013;0,025;0,015
714,844;0,044;0,017;0,04
718,75;0,01;0,048;0,021
722,656;0,027;0,004;0,027
726,563;0,032;0,03;0,028
730,469;0,002;0,014;0,016
734,375;0,038;0,029;0,033
738,281;0,019;0,007;0,032
742,188;0,024;0,01;0,024
746,094;0,02;0,024;0,015
750;0,034;0,016;0,035
753,906;0,011;0,03;0,009
757,813;0,007;0,02;0,027
761,719;0,052;0,024;0,069
765,625;0,028;0,019;0,031
769,531;0,019;0,035;0,033
773,438;0,08;0,063;0,09
777,344;0,03;0,014;0,043
781,25;0,04;0,022;0,041
785,156;0,024;0,047;0,061
789,063;0,012;0,034;0,051
792,969;0,021;0,02;0,028
796,875;0,022;0,025;0,057
800,781;0,008;0,027;0,025
804,688;0,022;0,007;0,028
808,594;0,019;0,018;0,043
812,5;0,023;0,03;0,033
816,406;0,043;0,01;0,057
820,313;0,035;0,049;0,046
824,219;0,024;0,09;0,077
828,125;0,013;0,073;0,034
832,031;0,002;0,038;0,029
835,938;0,038;0,011;0,023
839,844;0,077;0,036;0,054
843,75;0,023;0,037;0,033
847,656;0,026;0,022;0,012
851,563;0,026;0,009;0,04
855,469;0,079;0,029;0,072
859,375;0,038;0,046;0,073
863,281;0,047;0,075;0,076
867,188;0,066;0,046;0,048
871,094;0,016;0,026;0,038
875;0,046;0,03;0,048
878,906;0,068;0,051;0,048
882,813;0,037;0,055;0,069
886,719;0,013;0,055;0,038
890,625;0,027;0,049;0,022
894,531;0,052;0,081;0,021
898,438;0,051;0,013;0,025
902,344;0,015;0,033;0,018
906,25;0,013;0,023;0,014
910,156;0,043;0,008;0,019
914,063;0,063;0,057;0,006
917,969;0,021;0,015;0,011
921,875;0,038;0,028;0,005
925,781;0,065;0,031;0,013
929,688;0,078;0,036;0,046
933,594;0,05;0,029;0,039
937,5;0,004;0,015;0,026
941,406;0,064;0,034;0,042
945,313;0,064;0,025;0,018
949,219;0,053;0,018;0,021
953,125;0,05;0,022;0,016
957,031;0,054;0,043;0,01
960,938;0,051;0,021;0,015
964,844;0,047;0,03;0,03
968,75;0,043;0,04;0,018
972,656;0,041;0,045;0,015
976,563;0,029;0,022;0,008
980,469;0,018;0,028;0,018
984,375;0,043;0,019;0,001
988,281;0,055;0,041;0,01
992,188;0,024;0,016;0,005
996,094;0,027;0,034;0,012
1000;0,024;0,015;0,009
