Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
0;0;0;0
3,906;0;0;0
7,813;0,544;0,65;0,319
11,719;0,242;0,398;0,166
15,625;0,573;0,54;0,213
19,531;0,504;0,677;0,259
23,438;2,172;1,945;0,786
27,344;1,096;0,928;0,405
31,25;0,508;0,355;0,246
35,156;0,67;0,488;0,268
39,063;0,94;0,948;0,232
42,969;0,214;0,152;0,027
46,875;0,171;0,218;0,076
50,781;0,559;0,402;0,088
54,688;0,163;0,361;0,487
58,594;0,649;0,81;0,375
62,5;0,149;0,253;0,197
66,406;0,162;0,115;0,214
70,313;0,211;0,154;0,105
74,219;0,153;0,059;0,093
78,125;0,069;0,031;0,074
82,031;0,131;0,216;0,18
85,938;0,305;0,327;0,147
89,844;0,054;0,287;0,283
93,75;0,422;0,19;0,516
97,656;0,246;0,04;0,349
101,563;0,033;0,134;0,079
105,469;0,162;0,32;0,127
109,375;0,177;0,275;0,293
113,281;0,056;0,166;0,155
117,188;0,043;0,033;0,016
121,094;0,121;0,28;0,143
125;0,164;0,419;0,064
128,906;0,093;0,155;0,127
132,813;0,09;0,211;0,077
136,719;0,101;0,192;0,04
140,625;0,06;0,072;0,188
144,531;0,046;0,067;0,04
148,438;0,087;0,074;0,322
152,344;0,16;0,086;0,137
156,25;0,068;0,158;0,145
160,156;0,075;0,212;0,204
164,063;0,042;0,125;0,035
167,969;0,047;0,169;0,029
171,875;0,032;0,05;0,067
175,781;0,086;0,268;0,124
179,688;0,046;0,083;0,1
183,594;0,086;0,091;0,2
187,5;0,031;0,173;0,027
191,406;0,084;0,139;0,081
195,313;0,014;0,086;0,069
199,219;0,005;0,213;0,009
203,125;0,016;0,072;0,032
207,031;0,057;0,054;0,035
210,938;0,035;0,074;0,043
214,844;0,048;0,096;0,023
218,75;0,022;0,039;0,057
222,656;0,076;0,041;0,009
226,563;0,021;0,11;0,017
230,469;0,052;0,07;0,022
234,375;0,027;0,028;0,035
238,281;0,028;0,039;0,035
242,188;0,043;0,054;0,036
246,094;0,03;0,047;0,008
250;0,019;0,028;0,108
253,906;0,048;0,022;0,069
257,813;0,021;0,049;0,019
261,719;0,07;0,037;0,005
265,625;0,05;0,007;0,034
269,531;0,026;0,047;0,025
273,438;0,022;0,042;0,01
277,344;0,027;0,017;0,015
281,25;0,042;0,027;0,012
285,156;0,044;0,074;0,037
289,063;0,042;0,104;0,045
292,969;0,017;0,061;0,042
296,875;0,045;0,019;0,031
300,781;0,04;0,069;0,032
304,688;0,013;0,031;0,028
308,594;0,022;0,025;0,014
312,5;0,023;0,06;0,03
316,406;0,037;0,106;0,034
320,313;0,018;0,029;0,016
324,219;0,091;0,183;0,014
328,125;0,034;0,028;0,024
332,031;0,076;0,152;0,013
335,938;0,033;0,071;0,019
339,844;0,023;0,06;0,012
343,75;0,063;0,171;0,014
347,656;0,028;0,059;0,016
351,563;0,041;0,074;0,024
355,469;0,024;0,096;0,02
359,375;0,03;0,068;0,031
