Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
0;0;0;0
3,906;0;0;0
7,813;0,852;0,667;0,297
11,719;0,507;0,548;0,191
15,625;0,454;0,599;0,209
19,531;0,789;0,608;0,249
23,438;2,124;1,963;0,807
27,344;1,157;0,973;0,347
31,25;0,394;0,297;0,133
35,156;0,058;0,086;0,165
39,063;0,187;0,154;0,169
42,969;0,384;0,363;0,073
46,875;0,382;0,456;0,114
50,781;0,3;0,389;0,234
54,688;0,216;0,267;0,095
58,594;0,055;0,08;0,152
62,5;0,081;0,27;0,217
66,406;0,159;0,133;0,104
70,313;0,145;0,195;0,076
74,219;0,144;0,084;0,144
78,125;0,019;0,168;0,15
82,031;0,144;0,22;0,157
85,938;0,138;0,246;0,083
89,844;0,222;0,195;0,404
93,75;0,089;0,175;0,16
97,656;0,246;0,055;0,261
101,563;0,069;0,176;0,093
105,469;0,093;0,19;0,339
109,375;0,112;0,213;0,043
113,281;0,098;0,306;0,13
117,188;0,115;0,142;0,146
121,094;0,08;0,346;0,191
125;0,28;0,211;0,337
128,906;0,101;0,205;0,163
132,813;0,144;0,262;0,147
136,719;0,096;0,119;0,119
140,625;0,098;0,183;0,133
144,531;0,032;0,053;0,112
148,438;0,053;0,144;0,195
152,344;0,068;0,096;0,044
156,25;0,057;0,153;0,03
160,156;0,046;0,131;0,15
164,063;0,039;0,09;0,06
167,969;0,038;0,13;0,103
171,875;0,021;0,024;0,102
175,781;0,057;0,253;0,117
179,688;0,154;0,107;0,117
183,594;0,08;0,229;0,083
187,5;0,047;0,118;0,146
191,406;0,034;0,25;0,048
195,313;0,02;0,16;0,045
199,219;0,033;0,151;0,063
203,125;0,06;0,01;0,014
207,031;0,005;0,03;0,028
210,938;0,035;0,023;0,011
214,844;0,051;0,01;0,007
218,75;0,035;0,018;0,041
222,656;0,016;0,058;0,042
226,563;0,033;0,01;0,004
230,469;0,028;0,041;0,015
234,375;0,006;0,077;0,072
238,281;0,053;0,048;0,034
242,188;0,012;0,03;0,026
246,094;0,062;0,01;0,085
250;0,091;0,007;0,111
253,906;0,05;0,05;0,025
257,813;0,01;0,011;0,036
261,719;0,052;0,033;0,035
265,625;0,038;0,029;0,017
269,531;0,03;0,03;0,053
273,438;0,016;0,07;0,059
277,344;0,051;0,057;0,037
281,25;0,025;0,015;0,024
285,156;0,013;0,055;0,014
289,063;0,023;0,035;0,012
292,969;0,023;0,047;0,015
296,875;0,02;0,013;0,01
300,781;0,016;0,036;0,025
304,688;0,008;0,029;0,005
308,594;0,022;0,048;0,019
312,5;0,002;0,057;0,012
316,406;0,056;0,087;0,045
320,313;0,064;0,117;0,037
324,219;0,103;0,197;0,032
328,125;0,057;0,083;0,023
332,031;0,1;0,244;0,045
335,938;0,045;0,121;0,004
339,844;0,036;0,076;0,005
343,75;0,037;0,102;0,013
347,656;0,072;0,193;0,034
351,563;0,002;0,063;0,023
355,469;0,009;0,021;0,029
359,375;0,03;0,072;0,003
