Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
773,438;0,061;0,037;0,032
777,344;0,044;0,025;0,067
781,25;0,052;0,05;0,038
785,156;0,063;0,067;0,102
789,063;0,031;0,001;0,047
792,969;0,038;0,087;0,1
796,875;0,045;0,01;0,043
800,781;0,016;0,01;0,016
804,688;0,028;0,039;0,054
808,594;0,037;0,031;0,059
812,5;0,016;0,043;0,031
816,406;0,042;0,05;0,084
820,313;0,021;0,039;0,058
824,219;0,042;0,05;0,061
828,125;0,016;0,016;0,031
832,031;0,053;0,086;0,052
835,938;0,042;0,047;0,055
839,844;0,035;0,03;0,047
843,75;0,015;0,032;0,031
847,656;0,1;0,005;0,112
851,563;0,014;0,039;0,018
855,469;0,047;0,007;0,038
859,375;0,016;0,07;0,073
863,281;0,056;0,097;0,049
867,188;0,019;0,073;0,034
871,094;0,023;0,031;0,034
875;0,148;0,034;0,159
878,906;0,066;0,068;0,101
882,813;0,076;0,081;0,031
886,719;0,055;0,033;0,079
890,625;0,069;0,103;0,14
894,531;0,09;0,038;0,079
898,438;0,069;0,081;0,026
902,344;0,062;0,032;0,027
906,25;0,034;0,023;0,015
910,156;0,042;0,028;0,023
914,063;0,033;0,027;0,042
917,969;0,086;0,028;0,031
921,875;0,09;0,088;0,093
925,781;0,095;0,05;0,069
929,688;0,079;0,027;0,031
933,594;0,016;0,035;0,017
937,5;0,022;0,011;0,017
941,406;0,043;0,042;0,03
945,313;0,013;0,018;0,002
949,219;0,057;0,037;0,009
953,125;0,077;0,062;0,034
957,031;0,021;0,026;0,012
960,938;0,061;0,03;0,003
964,844;0,058;0,035;0,025
968,75;0,039;0,037;0,008
972,656;0,007;0,005;0,016
976,563;0,023;0,014;0,009
980,469;0,066;0,003;0,008
984,375;0,038;0,012;0,013
988,281;0,044;0,045;0,011
992,188;0,038;0,031;0,005
996,094;0,054;0,041;0,012
1 000;0,023;0,04;0,005
