Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
0;0;0;0
3,906;0;0;0
7,813;0,365;0,415;0,731
11,719;0,41;0,244;0,421
15,625;0,656;0,398;0,37
19,531;0,903;0,65;0,425
23,438;2,741;2,049;1,065
27,344;1,2;1,04;0,365
31,25;0,752;0,482;0,191
35,156;0,312;0,128;0,023
39,063;0,363;0,292;0,019
42,969;0,508;0,491;0,115
46,875;0,522;0,513;0,109
50,781;0,484;0,529;0,388
54,688;0,203;0,248;0,351
58,594;0,276;0,38;0,271
62,5;0,241;0,452;0,012
66,406;0,17;0,069;0,253
70,313;0,178;0,221;0,152
74,219;0,132;0,356;0,132
78,125;0,177;0,139;0,169
82,031;0,148;0,201;0,099
85,938;0,109;0,23;0,166
89,844;0,142;0,299;0,235
93,75;0,04;0,187;0,353
97,656;0,117;0,06;0,254
101,563;0,096;0,17;0,202
105,469;0,019;0,219;0,213
109,375;0,071;0,053;0,048
113,281;0,088;0,27;0,177
117,188;0,034;0,435;0,059
121,094;0,129;0,32;0,05
125;0,268;1,127;0,336
128,906;0,016;0,085;0,043
132,813;0,068;0,018;0,032
136,719;0,128;0,107;0,196
140,625;0,017;0,155;0,13
144,531;0,028;0,216;0,071
148,438;0,08;0,238;0,283
152,344;0,084;0,325;0,079
156,25;0,057;0,175;0,047
160,156;0,063;0,231;0,089
164,063;0,077;0,266;0,071
167,969;0,036;0,147;0,11
171,875;0,015;0,156;0,072
175,781;0,102;0,419;0,14
179,688;0,137;0,132;0,224
183,594;0,031;0,069;0,021
187,5;0,053;0,257;0,115
191,406;0,069;0,1;0,039
195,313;0,085;0,157;0,057
199,219;0,005;0,19;0,056
203,125;0,019;0,105;0,042
207,031;0,029;0,045;0,034
210,938;0,05;0,043;0,024
214,844;0,022;0,107;0,028
218,75;0,025;0,038;0,048
222,656;0,045;0,096;0,006
226,563;0,08;0,072;0,011
230,469;0,039;0,076;0,052
234,375;0,015;0,076;0,031
238,281;0,014;0,037;0,013
242,188;0,049;0,009;0,038
246,094;0,008;0,017;0,042
250;0,06;0,06;0,115
253,906;0,021;0,029;0,064
257,813;0,015;0,039;0,025
261,719;0;0,041;0,015
265,625;0,032;0,041;0,015
269,531;0,004;0,049;0,039
273,438;0,005;0,039;0,015
277,344;0,014;0,027;0,035
281,25;0,017;0,053;0,011
285,156;0,025;0,041;0,035
289,063;0,011;0,028;0,026
292,969;0,032;0,047;0,036
296,875;0,048;0,115;0,047
300,781;0,017;0,022;0,041
304,688;0,032;0,039;0,015
308,594;0,009;0,016;0,018
312,5;0,043;0,084;0,068
316,406;0,024;0,052;0,042
320,313;0,084;0,148;0,049
324,219;0,051;0,17;0,031
328,125;0,139;0,281;0,054
332,031;0,104;0,195;0,014
335,938;0,058;0,138;0,015
339,844;0,035;0,073;0,016
343,75;0,022;0,028;0,006
347,656;0,032;0,091;0,006
351,563;0,06;0,138;0,043
355,469;0,02;0,066;0,003
359,375;0,03;0,005;0,014
