Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
363,281;0,022;0,034;0,027
367,188;0,029;0,068;0,033
371,094;0,035;0,044;0,034
375;0,053;0,061;0,032
378,906;0,027;0,04;0,007
382,813;0,019;0,05;0,013
386,719;0,039;0,041;0,004
390,625;0,026;0,035;0,005
394,531;0,015;0,071;0,011
398,438;0,037;0,031;0,015
402,344;0,047;0,086;0,045
406,25;0,009;0,083;0,039
410,156;0,033;0,052;0,042
414,063;0,042;0,025;0,023
417,969;0,034;0,046;0,021
421,875;0,047;0,029;0,036
425,781;0,03;0,054;0,019
429,688;0,052;0,059;0,01
433,594;0,013;0,042;0,009
437,5;0,054;0,035;0,027
441,406;0,011;0,113;0,016
445,313;0,042;0,088;0,012
449,219;0,045;0,146;0,026
453,125;0,045;0,163;0,02
457,031;0,008;0,045;0,005
460,938;0,007;0,083;0,016
464,844;0,005;0,018;0,016
468,75;0,033;0,093;0,052
472,656;0,015;0,045;0,018
476,563;0,012;0,033;0,028
480,469;0,024;0,047;0,013
484,375;0,031;0,112;0,002
488,281;0,035;0,134;0,022
492,188;0,074;0,144;0,016
496,094;0,064;0,146;0,014
500;0,091;0,256;0,005
503,906;0,018;0,036;0,013
507,813;0,033;0,125;0,027
511,719;0,033;0,119;0,013
515,625;0,026;0,067;0,015
519,531;0,051;0,152;0,01
523,438;0,056;0,065;0,01
527,344;0,036;0,149;0,014
531,25;0,054;0,095;0,032
535,156;0,067;0,088;0,042
539,063;0,003;0,018;0,022
542,969;0,02;0,077;0,021
546,875;0,035;0,078;0,013
550,781;0,022;0,036;0,017
554,688;0,033;0,034;0,023
558,594;0,068;0,188;0,037
562,5;0,05;0,069;0,048
566,406;0,067;0,067;0,037
570,313;0,036;0,079;0,033
574,219;0,039;0,078;0,03
578,125;0,098;0,121;0,062
582,031;0,053;0,014;0,022
585,938;0,051;0,103;0,029
589,844;0,147;0,069;0,086
593,75;0,115;0,087;0,083
597,656;0,038;0,007;0,005
601,563;0,053;0,074;0,013
605,469;0,137;0,069;0,081
609,375;0,041;0,055;0,021
613,281;0,061;0,04;0,043
617,188;0,06;0,052;0,039
621,094;0,012;0,033;0,024
625;0,026;0,004;0,024
628,906;0,02;0,047;0,013
632,813;0,046;0,066;0,032
636,719;0,002;0,021;0,011
640,625;0,049;0,066;0,047
644,531;0,018;0,016;0,026
648,438;0,062;0,042;0,05
652,344;0,059;0,016;0,033
656,25;0,012;0,04;0,009
660,156;0,024;0,016;0
664,063;0,023;0,014;0,036
667,969;0,01;0,012;0,034
671,875;0,018;0,033;0,03
675,781;0,015;0,018;0,024
679,688;0,055;0,019;0,05
683,594;0,043;0,019;0,027
687,5;0,035;0,025;0,025
691,406;0,023;0,018;0,01
695,313;0,008;0,022;0,036
699,219;0,044;0,016;0,03
703,125;0,012;0,042;0,028
707,031;0,047;0,037;0,058
710,938;0,052;0,033;0,053
714,844;0,02;0,027;0,011
718,75;0,048;0,018;0,046
722,656;0,038;0,009;0,047
726,563;0,03;0,01;0,017
730,469;0,012;0,012;0,014
734,375;0,048;0,029;0,06
738,281;0,046;0,021;0,036
742,188;0,026;0,011;0,034
746,094;0,066;0,034;0,061
750;0,031;0,017;0,014
753,906;0,031;0,009;0,03
757,813;0,019;0,016;0,024
761,719;0,057;0,042;0,073
765,625;0,007;0,014;0,02
769,531;0,04;0,032;0,049
773,438;0,037;0,031;0,053
777,344;0,043;0,022;0,05
781,25;0,017;0,008;0,011
785,156;0,025;0,018;0,03
789,063;0,051;0,023;0,065
792,969;0,051;0,02;0,074
796,875;0,009;0,044;0,059
800,781;0,031;0,023;0,038
804,688;0,029;0,007;0,018
808,594;0,014;0,02;0,028
812,5;0,041;0,017;0,031
816,406;0,042;0,029;0,052
820,313;0,025;0,054;0,059
824,219;0,021;0,046;0,057
828,125;0,07;0,041;0,034
832,031;0,053;0,085;0,058
835,938;0,044;0,033;0,016
839,844;0,067;0,009;0,062
843,75;0,085;0,039;0,032
847,656;0,09;0,019;0,112
851,563;0,023;0,039;0,036
855,469;0,005;0,039;0,039
859,375;0,074;0,054;0,038
863,281;0,051;0,106;0,049
867,188;0,026;0,042;0,014
871,094;0,028;0,055;0,035
875;0,049;0,037;0,054
878,906;0,075;0,011;0,06
882,813;0,049;0,047;0,011
886,719;0,041;0,046;0,077
890,625;0,052;0,041;0,031
894,531;0,064;0,029;0,054
898,438;0,068;0,034;0,02
902,344;0,084;0,048;0,072
906,25;0,051;0,032;0,017
910,156;0,094;0,025;0,042
914,063;0,087;0,038;0,058
917,969;0,092;0,023;0,08
921,875;0,046;0,036;0,036
925,781;0,075;0,046;0,055
929,688;0,028;0,023;0,013
933,594;0,064;0,083;0,063
937,5;0,037;0,05;0,007
941,406;0,045;0,045;0,025
945,313;0,032;0,038;0,005
949,219;0,032;0,021;0,019
953,125;0,072;0,027;0,024
957,031;0,058;0,034;0,02
960,938;0,025;0,009;0,014
964,844;0,008;0,029;0,015
968,75;0,022;0,042;0,014
972,656;0,042;0,047;0,006
976,563;0,024;0,012;0,004
980,469;0,048;0,028;0,017
984,375;0,038;0,01;0,007
988,281;0,016;0,022;0,011
992,188;0,037;0,009;0,003
996,094;0,038;0,021;0,01
1 000;0,049;0,005;0,012
