Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
0;0;0;0
3,906;0;0;0
7,813;0,68;0,549;0,214
11,719;0,536;0,443;0,132
15,625;0,598;0,434;0,174
19,531;0,918;0,616;0,173
23,438;2,44;1,942;0,685
27,344;1,432;1,102;0,382
31,25;0,648;0,618;0,288
35,156;0,681;0,492;0,172
39,063;0,388;0,426;0,019
42,969;0,262;0,398;0,227
46,875;0,381;0,485;0,215
50,781;0,336;0,411;0,35
54,688;0,158;0,187;0,209
58,594;0,377;0,234;0,395
62,5;0,28;0,449;0,225
66,406;0,684;0,397;0,328
70,313;0,171;0,226;0,153
74,219;0,131;0,172;0,064
78,125;0,078;0,073;0,108
82,031;0,139;0,101;0,172
85,938;0,082;0,009;0,146
89,844;0,08;0,284;0,172
93,75;0,264;0,086;0,379
97,656;0,15;0,125;0,142
101,563;0,146;0,172;0,141
105,469;0,128;0,09;0,05
109,375;0,159;0,302;0,226
113,281;0,079;0,296;0,032
117,188;0,05;0,211;0,138
121,094;0,065;0,102;0,145
125;0,16;0,317;0,145
128,906;0,131;0,107;0,124
132,813;0,012;0,088;0,062
136,719;0,075;0,073;0,078
140,625;0,148;0,094;0,177
144,531;0,116;0,033;0,175
148,438;0,122;0,293;0,17
152,344;0,031;0,124;0,16
156,25;0,078;0,162;0,12
160,156;0,052;0,215;0,047
164,063;0,08;0,114;0,037
167,969;0,047;0,063;0,123
171,875;0,049;0,151;0,032
175,781;0,083;0,206;0,181
179,688;0,026;0,053;0,092
183,594;0,061;0,516;0,106
187,5;0,069;0,404;0,113
191,406;0,013;0,187;0,03
195,313;0,023;0,043;0,044
199,219;0,041;0,321;0,065
203,125;0,025;0,08;0,032
207,031;0,019;0,077;0,023
210,938;0,029;0,065;0,025
214,844;0,052;0,077;0,05
218,75;0,017;0,076;0,059
222,656;0,023;0,04;0,031
226,563;0,052;0,04;0,037
230,469;0,012;0,056;0,033
234,375;0,027;0,112;0,038
238,281;0,012;0,038;0,041
242,188;0,011;0,039;0,025
246,094;0,021;0,054;0,06
250;0,038;0,068;0,123
253,906;0,036;0,029;0,04
257,813;0,027;0,033;0,023
261,719;0,043;0,052;0,041
265,625;0,044;0,076;0,022
269,531;0,026;0,012;0,007
273,438;0,012;0,018;0,014
277,344;0,006;0,002;0,005
281,25;0,024;0,07;0,021
285,156;0,02;0,042;0,021
289,063;0,013;0,032;0,022
292,969;0,006;0,025;0,024
296,875;0,016;0,02;0,026
300,781;0,031;0,079;0,02
304,688;0,021;0,044;0,012
308,594;0,021;0,031;0,02
312,5;0,015;0,046;0,058
316,406;0,025;0,064;0,023
320,313;0,074;0,163;0,029
324,219;0,123;0,277;0,019
328,125;0,012;0,024;0,002
332,031;0,012;0,039;0,003
335,938;0,035;0,099;0,009
339,844;0,045;0,123;0,013
343,75;0,071;0,168;0,022
347,656;0,059;0,12;0,024
351,563;0,045;0,014;0,031
355,469;0,022;0,054;0,016
359,375;0,014;0,056;0,021
