Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
0;0;0;0
3,906;0;0;0
7,813;1,017;1,019;0,432
11,719;0,849;0,933;0,201
15,625;1,019;0,769;0,232
19,531;1,158;0,941;0,353
23,438;3,028;2,238;0,792
27,344;1,594;0,994;0,334
31,25;0,395;0,187;0,403
35,156;0,194;0,115;0,155
39,063;0,641;0,441;0,155
42,969;0,352;0,136;0,348
46,875;0,262;0,299;0,333
50,781;0,323;0,287;0,244
54,688;0,31;0,227;0,163
58,594;0,456;0,319;0,188
62,5;0,317;0,371;0,323
66,406;0,385;0,214;0,201
70,313;0,075;0,089;0,073
74,219;0,186;0,085;0,195
78,125;0,24;0,072;0,094
82,031;0,196;0,198;0,077
85,938;0,108;0,08;0,209
89,844;0,035;0,327;0,284
93,75;0,304;0,128;0,333
97,656;0,38;0,387;0,327
101,563;0,107;0,135;0,064
105,469;0,113;0,169;0,105
109,375;0,068;0,13;0,057
113,281;0,074;0,464;0,065
117,188;0,011;0,338;0,094
121,094;0,083;0,819;0,069
125;0,295;1,144;0,11
128,906;0,113;0,251;0,05
132,813;0,07;0,29;0,117
136,719;0,11;0,028;0,005
140,625;0,052;0,156;0,1
144,531;0,118;0,037;0,113
148,438;0,129;0,227;0,383
152,344;0,075;0,102;0,137
156,25;0,066;0,187;0,094
160,156;0,16;0,299;0,313
164,063;0,15;0,138;0,184
167,969;0,037;0,178;0,054
171,875;0,138;0,263;0,124
175,781;0,04;0,224;0,114
179,688;0,009;0,169;0,056
183,594;0,095;0,366;0,184
187,5;0,063;0,393;0,088
191,406;0,094;0,123;0,114
195,313;0,075;0,066;0,031
199,219;0,071;0,135;0,047
203,125;0,059;0,066;0,025
207,031;0,056;0,123;0,078
210,938;0,033;0,087;0,021
214,844;0,044;0,038;0,026
218,75;0,031;0,166;0,027
222,656;0,027;0,036;0,029
226,563;0,032;0,029;0,023
230,469;0,027;0,087;0,048
234,375;0,072;0,014;0,033
238,281;0,017;0,051;0,047
242,188;0,083;0,018;0,046
246,094;0,061;0,113;0,023
250;0,041;0,04;0,076
253,906;0,037;0,046;0,078
257,813;0,015;0,026;0,042
261,719;0,021;0,072;0,009
265,625;0,03;0,103;0,036
269,531;0,012;0,049;0,011
273,438;0,036;0,041;0,018
277,344;0,007;0,095;0,03
281,25;0,001;0,033;0,018
285,156;0,025;0,05;0,029
289,063;0,03;0,053;0,004
292,969;0,012;0,015;0,065
296,875;0,02;0,07;0,057
300,781;0,028;0,056;0,058
304,688;0,032;0,097;0,04
308,594;0,024;0,058;0,032
312,5;0,052;0,119;0,072
316,406;0,021;0,06;0,033
320,313;0,086;0,158;0,027
324,219;0,038;0,067;0,028
328,125;0,056;0,089;0,027
332,031;0,046;0,081;0,028
335,938;0,072;0,145;0,016
339,844;0,068;0,188;0,035
343,75;0,031;0,118;0,017
347,656;0,01;0,089;0,008
351,563;0,06;0,091;0,029
355,469;0,024;0,071;0,017
359,375;0,025;0,054;0,016
