Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
363,281;0,01;0,039;0,021
367,188;0,012;0,042;0,012
371,094;0,027;0,046;0,034
375;0,016;0,041;0,015
378,906;0,043;0,05;0,028
382,813;0,022;0,054;0,021
386,719;0,006;0,083;0,013
390,625;0,016;0,01;0,013
394,531;0,035;0,119;0,032
398,438;0,04;0,196;0,059
402,344;0,091;0,195;0,053
406,25;0,065;0,031;0,012
410,156;0,021;0,067;0,023
414,063;0,093;0,071;0,061
417,969;0,038;0,039;0,032
421,875;0,072;0,029;0,046
425,781;0,012;0,05;0,001
429,688;0,021;0,012;0,007
433,594;0,017;0,068;0,029
437,5;0,025;0,101;0,022
441,406;0,021;0,045;0,008
445,313;0,006;0,004;0,007
449,219;0,041;0,152;0,018
453,125;0,073;0,214;0,034
457,031;0,055;0,188;0,025
460,938;0,02;0,114;0,011
464,844;0,063;0,195;0,006
468,75;0,032;0,111;0,024
472,656;0,051;0,116;0,022
476,563;0,061;0,17;0,019
480,469;0,055;0,193;0,011
484,375;0,07;0,207;0,013
488,281;0,034;0,117;0,002
492,188;0,039;0,07;0,016
496,094;0,047;0,092;0,019
500;0,059;0,147;0,017
503,906;0,077;0,201;0,018
507,813;0,071;0,268;0,008
511,719;0,002;0,064;0,031
515,625;0,022;0,016;0,015
519,531;0,022;0,015;0,024
523,438;0,005;0,084;0,023
527,344;0,048;0,103;0,015
531,25;0,053;0,132;0,021
535,156;0,074;0,114;0,023
539,063;0,054;0,105;0,011
542,969;0,025;0,076;0,031
546,875;0,081;0,137;0,01
550,781;0,049;0,095;0,023
554,688;0,092;0,152;0,032
558,594;0,062;0,076;0,026
562,5;0,05;0,101;0,032
566,406;0,072;0,18;0,041
570,313;0,029;0,088;0,003
574,219;0,032;0,082;0,017
578,125;0,059;0,042;0,062
582,031;0,078;0,137;0,044
585,938;0,274;0,203;0,2
589,844;0,045;0,072;0,017
593,75;0,034;0,095;0,058
597,656;0,073;0,084;0,087
601,563;0,061;0,026;0,062
605,469;0,025;0,045;0,049
609,375;0,043;0,043;0,041
613,281;0,013;0,017;0,037
617,188;0,022;0,012;0,015
621,094;0,033;0,069;0,001
625;0,034;0,049;0,015
628,906;0,057;0,019;0,008
632,813;0,078;0,096;0,079
636,719;0,04;0,06;0,04
640,625;0,083;0,036;0,106
644,531;0,086;0,113;0,095
648,438;0,044;0,017;0,049
652,344;0,038;0,029;0,05
656,25;0,048;0,027;0,068
660,156;0,02;0,034;0,015
664,063;0,031;0,041;0,025
667,969;0,02;0,004;0,02
671,875;0,019;0,028;0,022
675,781;0,024;0,027;0,011
679,688;0,019;0,009;0,018
683,594;0,011;0,014;0,005
687,5;0,045;0,021;0,031
691,406;0,04;0,015;0,021
695,313;0,036;0,014;0,021
699,219;0,041;0,019;0,008
703,125;0,019;0,018;0,021
707,031;0,024;0,027;0,024
710,938;0,017;0,017;0,026
714,844;0,027;0,017;0,023
718,75;0,003;0,009;0,021
722,656;0,019;0,008;0,035
726,563;0,019;0,008;0,028
730,469;0,033;0,01;0,031
734,375;0,055;0,007;0,047
738,281;0,069;0,031;0,065
742,188;0,042;0,008;0,039
746,094;0,018;0,033;0,008
750;0,028;0,008;0,028
753,906;0,042;0,011;0,039
757,813;0,035;0,017;0,035
761,719;0,042;0,036;0,049
765,625;0,066;0,012;0,042
769,531;0,029;0,029;0,021
773,438;0,034;0,034;0,044
777,344;0,042;0,021;0,019
781,25;0,046;0,051;0,062
785,156;0,045;0,048;0,066
789,063;0,032;0,039;0,068
792,969;0,029;0,025;0,04
796,875;0,031;0,043;0,066
800,781;0,027;0,031;0,038
804,688;0,027;0,023;0,034
808,594;0,049;0,019;0,058
812,5;0,015;0,033;0,022
816,406;0,023;0,039;0,068
820,313;0,015;0,034;0,024
824,219;0,028;0,045;0,034
828,125;0,022;0,028;0,038
832,031;0,034;0,04;0,008
835,938;0,016;0,029;0,06
839,844;0,056;0,077;0,014
843,75;0,054;0,034;0,032
847,656;0,022;0,007;0,013
851,563;0,013;0,03;0,044
855,469;0,057;0,022;0,055
859,375;0,039;0,005;0,039
863,281;0,029;0,027;0,041
867,188;0,004;0,083;0,082
871,094;0,029;0,021;0,03
875;0,021;0,039;0,034
878,906;0,075;0,051;0,067
882,813;0,089;0,048;0,086
886,719;0,075;0,041;0,063
890,625;0,05;0,087;0,088
894,531;0,052;0,063;0,053
898,438;0,048;0,04;0,017
902,344;0,04;0,025;0,049
906,25;0,057;0,042;0,009
910,156;0,039;0,044;0,034
914,063;0,075;0,048;0,075
917,969;0,055;0,022;0,038
921,875;0,11;0,018;0,069
925,781;0,093;0,052;0,048
929,688;0,062;0,033;0,025
933,594;0,053;0,024;0,027
937,5;0,014;0,025;0,013
941,406;0,048;0,042;0,032
945,313;0,06;0,028;0,02
949,219;0,027;0,044;0,023
953,125;0,048;0,041;0,026
957,031;0,024;0,039;0,019
960,938;0,024;0,02;0,013
964,844;0,002;0,045;0,008
968,75;0,043;0,035;0,009
972,656;0,053;0,044;0,007
976,563;0,013;0,008;0,003
980,469;0,036;0,03;0,018
984,375;0,043;0,015;0,011
988,281;0,023;0,031;0,005
992,188;0,023;0,014;0,007
996,094;0,004;0,009;0,009
1 000;0,022;0,024;0,01
