Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
0;0;0;0
3,906;0;0;0
7,813;1,343;0,837;0,154
11,719;0,754;0,676;0,14
15,625;1,027;0,632;0,145
19,531;1,156;0,764;0,245
23,438;3,213;2,125;0,729
27,344;1,673;1,08;0,509
31,25;0,403;0,222;0,269
35,156;0,645;0,613;0,235
39,063;0,29;0,283;0,117
42,969;0,137;0,175;0,036
46,875;0,608;0,66;0,07
50,781;0,269;0,29;0,277
54,688;0,416;0,228;0,129
58,594;0,214;0,186;0,316
62,5;0,296;0,282;0,176
66,406;0,535;0,155;0,544
70,313;0,312;0,247;0,129
74,219;0,104;0,152;0,413
78,125;0,106;0,073;0,147
82,031;0,033;0,087;0,168
85,938;0,079;0,067;0,162
89,844;0,24;0,057;0,379
93,75;0,298;0,19;0,554
97,656;0,022;0,083;0,095
101,563;0,035;0,136;0,05
105,469;0,117;0,189;0,108
109,375;0,151;0,257;0,369
113,281;0,076;0,151;0,109
117,188;0,045;0,394;0,093
121,094;0,078;0,547;0,095
125;0,029;0,277;0,212
128,906;0,141;0,083;0,124
132,813;0,057;0,108;0,138
136,719;0,093;0,115;0,072
140,625;0,18;0,109;0,215
144,531;0,019;0,173;0,168
148,438;0,075;0,31;0,245
152,344;0,084;0,137;0,173
156,25;0,108;0,177;0,077
160,156;0,061;0,197;0,106
164,063;0,091;0,146;0,142
167,969;0,064;0,232;0,135
171,875;0,096;0,081;0,151
175,781;0,043;0,269;0,065
179,688;0,206;0,147;0,167
183,594;0,181;0,098;0,132
187,5;0,026;0,113;0,113
191,406;0,024;0,248;0,041
195,313;0,027;0,08;0,032
199,219;0,008;0,118;0,051
203,125;0,039;0,013;0,037
207,031;0,1;0,059;0,031
210,938;0,031;0,027;0,034
214,844;0,032;0,03;0,033
218,75;0,026;0,064;0,01
222,656;0,019;0,094;0,01
226,563;0,059;0,07;0,015
230,469;0,015;0,039;0,029
234,375;0,007;0,069;0,052
238,281;0,03;0,034;0,028
242,188;0,026;0,095;0,064
246,094;0,065;0,016;0,047
250;0,092;0,044;0,123
253,906;0,003;0,019;0,037
257,813;0,029;0,028;0,027
261,719;0,023;0,064;0,026
265,625;0,012;0,057;0,042
269,531;0,011;0,037;0,013
273,438;0,016;0,044;0,032
277,344;0,012;0,015;0,014
281,25;0,005;0,038;0,008
285,156;0,02;0,005;0,01
289,063;0,02;0,075;0,021
292,969;0,025;0,016;0,004
296,875;0,011;0,036;0,006
300,781;0,017;0,024;0,027
304,688;0,004;0,024;0,013
308,594;0,011;0,026;0,016
312,5;0,017;0,033;0,078
316,406;0,034;0,05;0,019
320,313;0,019;0,032;0,02
324,219;0,063;0,129;0,042
328,125;0,036;0,082;0,037
332,031;0,031;0,045;0,024
335,938;0,056;0,157;0,019
339,844;0,11;0,269;0,037
343,75;0,039;0,152;0,015
347,656;0,034;0,111;0,008
351,563;0,019;0,066;0,023
355,469;0,015;0,029;0,018
359,375;0,027;0,041;0,003
