Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
773,438;0,039;0,019;0,045
777,344;0,059;0,054;0,051
781,25;0,013;0,002;0,012
785,156;0,034;0,029;0,043
789,063;0,05;0,044;0,09
792,969;0,021;0,006;0,029
796,875;0,02;0,011;0,011
800,781;0,011;0,011;0,01
804,688;0,043;0,022;0,049
808,594;0,028;0,037;0,052
812,5;0,02;0,011;0,022
816,406;0,031;0,025;0,04
820,313;0,031;0,07;0,081
824,219;0,031;0,098;0,069
828,125;0,052;0,027;0,056
832,031;0,031;0,018;0,018
835,938;0,014;0,02;0,015
839,844;0,079;0,057;0,056
843,75;0,039;0,059;0,028
847,656;0,029;0,055;0,019
851,563;0,011;0,016;0,016
855,469;0,052;0,034;0,066
859,375;0,046;0,06;0,077
863,281;0,065;0,029;0,036
867,188;0,046;0,082;0,033
871,094;0,057;0,012;0,055
875;0,036;0,025;0,042
878,906;0,011;0,012;0,03
882,813;0,055;0,032;0,026
886,719;0,087;0,019;0,07
890,625;0,02;0,047;0,028
894,531;0,02;0,037;0,032
898,438;0,025;0,033;0,005
902,344;0,049;0,054;0,066
906,25;0,035;0,048;0,037
910,156;0,066;0,02;0,043
914,063;0,044;0,022;0,008
917,969;0,045;0,025;0,032
921,875;0,088;0,043;0,047
925,781;0,006;0,037;0,022
929,688;0,033;0,02;0,004
933,594;0,06;0,022;0,023
937,5;0,119;0,072;0,046
941,406;0,101;0,032;0,04
945,313;0,016;0,023;0,012
949,219;0,054;0,017;0,013
953,125;0,059;0,037;0,022
957,031;0,035;0,029;0,013
960,938;0,002;0,015;0,003
964,844;0,021;0,041;0,019
968,75;0,021;0,022;0,004
972,656;0,013;0,05;0,015
976,563;0,019;0,008;0,007
980,469;0,041;0,041;0,002
984,375;0,049;0,017;0,012
988,281;0,014;0,021;0,012
992,188;0,005;0,034;0,006
996,094;0,023;0,014;0,014
1000;0,044;0,036;0,02
