Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
0;0;0;0
3,906;0;0;0
7,813;0,457;0,714;0,178
11,719;0,472;0,73;0,188
15,625;0,48;0,478;0,154
19,531;0,8;0,753;0,169
23,438;2,099;2,036;0,83
27,344;0,991;0,841;0,454
31,25;0,216;0,148;0,271
35,156;0,482;0,636;0,466
39,063;0,268;0,158;0,106
42,969;0,097;0,161;0,052
46,875;0,271;0,248;0,133
50,781;0,636;0,641;0,317
54,688;0,679;0,848;0,669
58,594;0,414;0,287;0,23
62,5;0,25;0,211;0,282
66,406;0,446;0,261;0,341
70,313;0,244;0,184;0,097
74,219;0,221;0,335;0,11
78,125;0,158;0,237;0,124
82,031;0,244;0,22;0,03
85,938;0,195;0,101;0,118
89,844;0,034;0,419;0,341
93,75;0,139;0,19;0,109
97,656;0,206;0,043;0,316
101,563;0,182;0,33;0,158
105,469;0,2;0,312;0,478
109,375;0,194;0,214;0,367
113,281;0,204;0,469;0,339
117,188;0,023;0,124;0,111
121,094;0,214;0,696;0,222
125;0,267;0,271;0,188
128,906;0,126;0,255;0,153
132,813;0,119;0,142;0,157
136,719;0,09;0,485;0,022
140,625;0,076;0,071;0,192
144,531;0,022;0,465;0,129
148,438;0,094;0,274;0,435
152,344;0,061;0,133;0,24
156,25;0,102;0,243;0,098
160,156;0,2;0,237;0,323
164,063;0,195;0,366;0,263
167,969;0,084;0,249;0,108
171,875;0,134;0,114;0,185
175,781;0,058;0,021;0,044
179,688;0,044;0,095;0,056
183,594;0,132;0,107;0,114
187,5;0,165;0,243;0,095
191,406;0,038;0,014;0,052
195,313;0,06;0,034;0,001
199,219;0,036;0,189;0,018
203,125;0,052;0,053;0,017
207,031;0,058;0,11;0,013
210,938;0,018;0,081;0,013
214,844;0,051;0,035;0,017
218,75;0,062;0,023;0,045
222,656;0,034;0,057;0,026
226,563;0,087;0,026;0,031
230,469;0,072;0,024;0,047
234,375;0,026;0,029;0,011
238,281;0,081;0,021;0,051
242,188;0,033;0,061;0,024
246,094;0,04;0,043;0,028
250;0,004;0,027;0,088
253,906;0,01;0,037;0,051
257,813;0,039;0,027;0,013
261,719;0,046;0,018;0,013
265,625;0,027;0,035;0,04
269,531;0,023;0,01;0,028
273,438;0,028;0,025;0,034
277,344;0,023;0,034;0,02
281,25;0,028;0,042;0,009
285,156;0,012;0,055;0,007
289,063;0,03;0,039;0,036
292,969;0,014;0,032;0,037
296,875;0,045;0,073;0,036
300,781;0,03;0,069;0,029
304,688;0,041;0,064;0,021
308,594;0,025;0,023;0,021
312,5;0,021;0,048;0,061
316,406;0,041;0,078;0,03
320,313;0,088;0,132;0,056
324,219;0,04;0,085;0,013
328,125;0,02;0,077;0,007
332,031;0,083;0,149;0,024
335,938;0,046;0,132;0,021
339,844;0,027;0,063;0,011
343,75;0,023;0,107;0,031
347,656;0,039;0,221;0,015
351,563;0,071;0,159;0,044
355,469;0,017;0,086;0,012
359,375;0,012;0,085;0,043
