Frequency [Hertz];AmplitudeX [mm/s];AmplitudeY [mm/s];AmplitudeZ [mm/s]
0;0;0;0
3,906;0;0;0
7,813;0,088;0,453;0,119
11,719;0,351;0,48;0,022
15,625;0,471;0,476;0,135
19,531;0,659;0,647;0,098
23,438;2,314;1,807;0,526
27,344;1,429;1,043;0,195
31,25;0,612;0,47;0,087
35,156;0,522;0,301;0,058
39,063;0,683;0,456;0,193
42,969;0,334;0,395;0,148
46,875;0,617;0,81;0,196
50,781;0,108;0,242;0,18
54,688;0,591;0,633;0,086
58,594;0,325;0,541;0,298
62,5;0,134;0,265;0,14
66,406;0,611;0,287;0,221
70,313;0,363;0,382;0,046
74,219;0,04;0,224;0,223
78,125;0,11;0,2;0,037
82,031;0,052;0,057;0,06
85,938;0,239;0,119;0,054
89,844;0,185;0,137;0,237
93,75;0,136;0,176;0,237
97,656;0,304;0,148;0,462
101,563;0,246;0,166;0,275
105,469;0,109;0,306;0,259
109,375;0,07;0,18;0,12
113,281;0,033;0,271;0,181
117,188;0,011;0,099;0,11
121,094;0,078;0,162;0,239
125;0,056;0,176;0,116
128,906;0,053;0,14;0,07
132,813;0,062;0,105;0,058
136,719;0,066;0,191;0,108
140,625;0,073;0,144;0,066
144,531;0,051;0,018;0,134
148,438;0,113;0,149;0,268
152,344;0,062;0,213;0,156
156,25;0,011;0,266;0,101
160,156;0,019;0,011;0,049
164,063;0,02;0,192;0,035
167,969;0,025;0,032;0,038
171,875;0,102;0,427;0,165
175,781;0,056;0,249;0,046
179,688;0,135;0,173;0,157
183,594;0,021;0,369;0,11
187,5;0,111;0,18;0,013
191,406;0,025;0,189;0,021
195,313;0,025;0,278;0,027
199,219;0,028;0,363;0,071
203,125;0,033;0,161;0,066
207,031;0,007;0,09;0,014
210,938;0,019;0,043;0,003
214,844;0,042;0,039;0,006
218,75;0,023;0,064;0,022
222,656;0,059;0,082;0,035
226,563;0,094;0,04;0,015
230,469;0,051;0,041;0,01
234,375;0,046;0,064;0,031
238,281;0,025;0,042;0,03
242,188;0,008;0,09;0,056
246,094;0,038;0,04;0,064
250;0,065;0,006;0,104
253,906;0,028;0,023;0,024
257,813;0,033;0,048;0,046
261,719;0,006;0,068;0,023
265,625;0,004;0,008;0,004
269,531;0,028;0,067;0,009
273,438;0,016;0,054;0,019
277,344;0,024;0,059;0,012
281,25;0,018;0,024;0,013
285,156;0,014;0,009;0,004
289,063;0,025;0,022;0,011
292,969;0,019;0,064;0,013
296,875;0,012;0,018;0,017
300,781;0,02;0,075;0,023
304,688;0,015;0,051;0,016
308,594;0,008;0,02;0,025
312,5;0,004;0,052;0,028
316,406;0,032;0,027;0,041
320,313;0,063;0,079;0,053
324,219;0,046;0,106;0,017
328,125;0,094;0,193;0,029
332,031;0,065;0,1;0,011
335,938;0,04;0,136;0,007
339,844;0,038;0,146;0,033
343,75;0,016;0,056;0,012
347,656;0,061;0,137;0,015
351,563;0,016;0,051;0,01
355,469;0,023;0,023;0,017
359,375;0,019;0,038;0,01
