rpm_limit,target,placement,online,temporal_rms,temporal_pp,temporal_zerocross,temporal_shape,temporal_aac,temporal_clearance,temporal_crest,temporal_impulse,temporal_skewness,temporal_kurtosis,spectral_roll_off,spectral_skewness,spectral_flux,spectral_entropy,spectral_negentropy,spectral_noisiness,spectral_std,spectral_kurtosis,spectral_centroid,spectral_energy,spectral_roll_on
False,fault,A,False,1.2599210498948732,2.2894284851066637,2.2894284851066637,3.634241185664279,4.999999999999999,6.316359597656378,6.9520532897729,7.651724731089557,9.321697517861576,9.654893846056302,1.9129311827723892,3.0365889718756627,3.1748021039363983,4.379519139887889,4.762203155904598,5.646216173286171,5.848035476425731,6.214465011907718,6.868285455319991,6.910423230011186,10.656022367666111
False,fault,A,True,2.0800838230519045,2.519842099789746,1.4422495703074085,3.1748021039363983,4.999999999999999,6.649399761150975,6.316359597656378,7.999999999999998,9.000000000000002,10.000000000000002,1.0,3.9148676411688634,5.593444710406984,4.578856970213327,3.3019272488946263,5.277632087904077,9.000000000000002,7.268482371328559,3.1748021039363983,10.656022367666111,10.322801154563672
False,fault,B,False,2.8844991406148166,1.4422495703074085,3.1748021039363983,7.937005259840998,1.8171205928321397,8.320335292207616,6.316359597656379,7.883735163105242,6.0822019955734,7.55952629936924,1.8171205928321397,9.321697517861576,4.641588833612778,6.000000000000001,7.651724731089554,4.379519139887889,4.820284528350459,10.656022367666111,3.4199518933533932,6.463304070095652,2.2239800905693157
False,fault,B,True,2.8844991406148166,1.0,2.519842099789746,8.65349742184445,3.3019272488946263,6.999999999999999,5.848035476425731,6.000000000000001,8.962809493114328,7.937005259840998,4.308869380063767,9.28317766722556,3.0000000000000004,5.517848352762241,7.268482371328559,5.313292845913055,5.808785733563703,10.28827647810178,2.7144176165949063,9.622602989987483,1.0
False,anomaly_60,A,False,3.0000000000000004,4.308869380063767,1.0,2.0,9.000000000000002,4.641588833612778,6.649399761150975,6.603854497789252,8.617738760127533,8.879040017426007,4.0,6.0822019955734,3.1748021039363983,1.9129311827723892,7.113786608980125,4.308869380063767,6.240251469155714,8.138223044397703,3.3019272488946263,5.848035476425733,8.987637347075681
False,anomaly_60,A,True,3.9790572078963913,5.241482788417794,1.2599210498948732,1.5874010519681994,9.321697517861576,4.641588833612778,6.649399761150975,5.646216173286171,5.768998281229634,9.28317766722556,7.398636222991413,5.313292845913055,2.0,1.5874010519681994,6.316359597656379,3.634241185664279,8.617738760127533,7.318611420045943,2.0800838230519045,10.322801154563672,10.28827647810178
False,anomaly_60,B,False,2.620741394208897,7.398636222991413,1.5874010519681994,7.268482371328559,7.368062997280775,6.868285455319991,5.848035476425731,7.883735163105242,4.820284528350459,1.4422495703074085,3.659305710022972,6.299605249474365,3.1748021039363983,1.709975946676697,10.322801154563672,6.000000000000001,2.620741394208897,8.320335292207616,4.820284528350459,6.868285455319992,7.133492489728308
False,anomaly_60,B,True,3.1748021039363983,7.398636222991413,3.9790572078963913,5.768998281229634,9.654893846056302,3.3019272488946263,5.313292845913055,5.808785733563703,5.428835233189813,1.2599210498948732,6.542132620377179,6.603854497789252,2.2894284851066637,1.0,8.879040017426007,4.217163326508746,3.9148676411688643,6.9520532897729,5.241482788417794,9.622602989987483,7.851424410539691
False,anomaly_90,A,False,2.620741394208897,3.634241185664279,1.0,2.519842099789746,9.654893846056302,5.593444710406984,6.257324745675973,6.000000000000001,8.617738760127533,8.65349742184445,6.257324745675973,6.299605249474365,3.9790572078963913,2.519842099789746,5.039684199579492,6.000000000000001,4.326748710922226,8.320335292207616,1.4422495703074085,6.2316796843697535,10.322801154563672
False,anomaly_90,A,True,3.0000000000000004,4.820284528350459,1.0,2.0,9.321697517861576,4.999999999999999,7.318611420045943,6.000000000000001,6.3496042078727974,9.654893846056302,7.113786608980125,4.7176939803165325,3.3019272488946263,1.5874010519681994,5.517848352762241,5.241482788417794,5.646216173286171,6.804092115953368,2.0,10.656022367666111,9.58283971412557
False,anomaly_90,B,False,2.0,7.999999999999998,1.0,5.277632087904077,7.368062997280775,5.313292845913055,4.326748710922226,4.820284528350459,9.321697517861576,5.646216173286171,10.000000000000002,6.603854497789252,3.77976314968462,1.4422495703074085,8.320335292207616,2.7144176165949063,2.519842099789746,6.999999999999999,4.641588833612778,5.45136177849642,11.000000000000002
False,anomaly_90,B,True,1.4422495703074085,4.0,3.1072325059538586,2.8844991406148166,8.434326653017493,5.943921952763129,5.428835233189813,6.214465011907715,9.000000000000002,4.610436292058446,9.28317766722556,5.517848352762241,3.9148676411688634,1.5874010519681994,7.862224182626692,2.0800838230519045,2.8020393306553872,6.839903786706787,7.230426792525691,5.848035476425733,9.461524902909401
True,fault,A,False,2.2894284851066637,1.5874010519681994,3.1748021039363983,4.641588833612778,2.620741394208897,5.646216173286171,7.651724731089554,6.649399761150975,9.000000000000002,10.000000000000002,3.1748021039363983,1.9129311827723892,6.839903786706787,4.121285299808556,4.160167646103808,6.868285455319991,5.943921952763129,3.3019272488946263,5.646216173286171,7.133492489728308,10.322801154563672
True,fault,A,True,2.4662120743304703,2.2894284851066637,2.0,2.7144176165949063,3.9148676411688634,6.316359597656379,8.65349742184445,7.318611420045943,7.55952629936924,10.000000000000002,1.0,3.4199518933533932,7.318611420045943,7.55952629936924,3.634241185664279,4.762203155904598,8.276772529143361,4.93242414866094,2.7144176165949063,10.656022367666111,10.322801154563672
True,fault,B,False,3.634241185664279,2.8844991406148166,1.4422495703074085,8.434326653017493,1.5874010519681994,7.999999999999998,5.646216173286171,6.999999999999999,6.0822019955734,9.321697517861576,4.481404746557165,8.276772529143361,5.943921952763129,4.308869380063767,7.958114415792782,2.8844991406148166,4.0,10.000000000000002,2.2894284851066637,6.2316796843697535,3.207534329995827
True,fault,B,True,3.3019272488946263,2.0,1.5874010519681994,8.320335292207616,2.2894284851066637,5.313292845913055,5.943921952763129,6.649399761150975,9.283177667225555,9.321697517861576,8.40611799196616,6.9520532897729,3.634241185664279,1.5874010519681994,10.28827647810178,3.1072325059538586,6.649399761150975,8.320335292207616,2.4662120743304703,10.000000000000002,2.7144176165949063
True,anomaly_60,A,False,4.160167646103808,5.277632087904077,1.5874010519681994,1.5874010519681994,9.000000000000002,3.5568933044900626,5.593444710406984,4.578856970213327,10.000000000000002,7.999999999999998,7.937005259840998,6.868285455319991,3.0365889718756627,1.8171205928321397,8.617738760127533,4.0,2.620741394208897,7.318611420045943,2.924017738212866,6.240251469155714,11.000000000000002
True,anomaly_60,A,True,5.646216173286171,7.611662611020245,2.7144176165949063,1.0,9.321697517861576,3.3019272488946263,3.9148676411688634,3.634241185664279,8.879040017426007,7.999999999999998,8.879040017426007,6.000000000000001,1.5874010519681994,1.709975946676697,7.999999999999998,4.308869380063767,3.0000000000000004,7.611662611020245,3.419951893353394,9.622602989987483,10.656022367666111
True,anomaly_60,B,False,4.160167646103808,6.240251469155714,4.0,2.8844991406148166,9.654893846056302,3.9790572078963913,4.999999999999999,5.039684199579492,7.883735163105242,1.5874010519681994,6.839903786706787,5.848035476425731,4.326748710922226,2.8844991406148166,10.000000000000002,5.241482788417794,1.2599210498948732,8.138223044397703,6.240251469155714,2.519842099789746,9.461524902909401
True,anomaly_60,B,True,4.610436292058446,6.868285455319992,8.617738760127533,3.1748021039363983,9.654893846056302,2.0800838230519045,6.000000000000001,4.217163326508746,4.308869380063767,1.9129311827723892,8.65349742184445,3.9148676411688634,3.5568933044900626,1.2599210498948732,9.28317766722556,4.93242414866094,1.5874010519681994,6.649399761150975,9.252130018365486,6.542132620377179,8.987637347075681
True,anomaly_90,A,False,4.160167646103808,5.277632087904077,2.924017738212866,2.7144176165949063,9.654893846056302,1.5874010519681994,4.820284528350459,3.77976314968462,8.617738760127533,8.65349742184445,8.879040017426007,6.299605249474365,3.77976314968462,2.0,6.868285455319991,7.398636222991413,1.4422495703074085,7.999999999999998,3.659305710022972,4.0,11.000000000000002
