x y z t
0.0 -0.017 9.975 5
0.0 -0.017 9.975 4
0.0 -0.017 9.975 5
0.383 0.097 9.899 5
0.383 0.097 9.899 5
0.383 0.097 9.899 6
0.383 0.097 9.899 5
0.096 0.126 9.104 4
0.096 0.126 9.104 5
0.096 0.126 9.104 5
0.096 0.126 9.104 5
0.029 0.222 9.228 5
0.029 0.222 9.228 6
0.029 0.222 9.228 4
0.029 0.222 9.228 5
0.182 0.03 9.582 5
0.182 0.03 9.582 5
0.182 0.03 9.582 5
0.182 0.03 9.582 6
-0.066 0.174 9.889 5
-0.066 0.174 9.889 4
-0.066 0.174 9.889 5
-0.066 0.174 9.889 5
0.268 -0.026 9.554 5
0.268 -0.026 9.554 6
0.268 -0.026 9.554 5
0.268 -0.026 9.554 4
0.077 0.078 9.487 5
0.077 0.078 9.487 5
0.077 0.078 9.487 5
0.077 0.078 9.487 6
0.297 0.097 9.592 5
0.297 0.097 9.592 4
0.297 0.097 9.592 5
0.297 0.097 9.592 5
0.077 0.049 9.266 5
0.077 0.049 9.266 5
0.077 0.049 9.266 6
-0.181 0.011 9.803 4
-0.181 0.011 9.803 5
-0.181 0.011 9.803 6
-0.181 0.011 9.803 4
0.048 0.04 9.851 5
0.048 0.04 9.851 6
0.048 0.04 9.851 5
0.048 0.04 9.851 4
0.106 0.231 8.95 5
0.106 0.231 8.95 5
0.106 0.231 8.95 5
0.106 0.231 8.95 6
0.364 0.145 9.621 5
0.364 0.145 9.621 4
0.364 0.145 9.621 5
0.364 0.145 9.621 5
-0.018 0.059 9.669 5
-0.018 0.059 9.669 6
-0.018 0.059 9.669 5
-0.018 0.059 9.669 4
0.029 -0.103 9.831 5
0.029 -0.103 9.831 5
0.029 -0.103 9.831 5
0.029 -0.103 9.831 5
0.173 0.365 9.132 6
0.173 0.365 9.132 5
0.173 0.365 9.132 4
0.173 0.365 9.132 5
0.106 0.011 9.228 5
0.106 0.011 9.228 5
0.106 0.011 9.228 6
0.106 0.011 9.228 5
0.115 0.212 9.927 4
0.115 0.212 9.927 5
0.115 0.212 9.927 5
0.115 0.212 9.927 5
0.115 -0.065 9.659 6
0.115 -0.065 9.659 5
0.115 -0.065 9.659 4
0.115 -0.065 9.659 5
0.0 0.193 9.065 5
0.0 0.193 9.065 5
0.0 0.193 9.065 6
0.0 0.193 9.065 5
0.096 0.174 9.86 4
0.096 0.174 9.86 5
0.096 0.174 9.86 5
0.096 0.174 9.86 5
0.182 0.049 9.841 5
0.182 0.049 9.841 6
0.182 0.049 9.841 5
0.307 0.183 9.487 4
0.307 0.183 9.487 5
0.307 0.183 9.487 5
0.307 0.183 9.487 5
-0.047 0.107 9.65 6
-0.047 0.107 9.65 5
-0.047 0.107 9.65 4
-0.047 0.107 9.65 5
0.259 0.26 9.266 5
0.259 0.26 9.266 5
0.259 0.26 9.266 6
0.259 0.26 9.266 5
-0.066 0.049 9.525 4
-0.066 0.049 9.525 5
-0.066 0.049 9.525 5
-0.066 0.049 9.525 5
-0.056 0.097 10.186 5
-0.056 0.097 10.186 6
-0.056 0.097 10.186 4
-0.056 0.097 10.186 5
0.287 0.078 9.784 5
0.287 0.078 9.784 5
0.287 0.078 9.784 5
0.287 0.078 9.784 6
0.201 0.164 8.692 5
0.201 0.164 8.692 4
0.201 0.164 8.692 5
0.201 0.164 8.692 5
0.259 0.183 9.353 5
0.259 0.183 9.353 6
0.259 0.183 9.353 5
0.259 0.183 9.353 5
-0.2 0.135 10.033 4
-0.2 0.135 10.033 5
-0.2 0.135 10.033 5
-0.2 0.135 10.033 6
0.038 0.04 9.851 5
0.038 0.04 9.851 4
0.038 0.04 9.851 5
0.038 0.04 9.851 5
0.086 0.001 9.276 5
0.086 0.001 9.276 5
0.086 0.001 9.276 6
0.086 0.001 9.276 4
0.268 0.202 9.362 5
0.268 0.202 9.362 5
0.268 0.202 9.362 5
0.106 0.03 10.157 5
0.106 0.03 10.157 6
0.106 0.03 10.157 5
0.106 0.03 10.157 4
0.144 0.212 9.4 5
0.144 0.212 9.4 5
0.144 0.212 9.4 5
0.144 0.212 9.4 6
-0.171 -0.065 9.4 5
-0.171 -0.065 9.4 4
-0.171 -0.065 9.4 5
-0.171 -0.065 9.4 5
-0.056 0.212 9.525 5
-0.056 0.212 9.525 6
-0.056 0.212 9.525 5
-0.056 0.212 9.525 4
0.326 0.02 9.899 5
0.326 0.02 9.899 5
0.326 0.02 9.899 5
0.326 0.02 9.899 5
0.24 0.356 9.439 6
0.24 0.356 9.439 4
0.24 0.356 9.439 5
0.24 0.356 9.439 5
-0.257 -0.18 9.65 6
-0.257 -0.18 9.65 4
-0.257 -0.18 9.65 6
-0.257 -0.18 9.65 5
0.086 0.212 9.429 4
0.086 0.212 9.429 5
0.086 0.212 9.429 5
0.086 0.212 9.429 5
0.24 0.202 9.439 6
0.24 0.202 9.439 5
0.24 0.202 9.439 4
0.24 0.202 9.439 5
-0.028 0.03 9.697 5
-0.028 0.03 9.697 5
-0.028 0.03 9.697 6
-0.028 0.03 9.697 5
0.038 -0.026 9.784 4
0.038 -0.026 9.784 5
0.038 -0.026 9.784 5
0.038 -0.026 9.784 5
0.115 0.26 9.707 5
0.115 0.26 9.707 6
0.115 0.26 9.707 4
0.115 0.26 9.707 5
0.058 0.193 9.209 5
0.058 0.193 9.209 5
0.058 0.193 9.209 5
-0.008 0.03 9.755 6
-0.008 0.03 9.755 5
-0.008 0.03 9.755 4
-0.008 0.03 9.755 5
0.134 0.04 10.033 5
0.134 0.04 10.033 5
0.134 0.04 10.033 6
0.134 0.04 10.033 5
0.058 0.155 9.544 4
0.058 0.155 9.544 5
0.058 0.155 9.544 5
0.058 0.155 9.544 5
-0.018 0.116 9.008 6
-0.018 0.116 9.008 5
-0.018 0.116 9.008 4
-0.018 0.116 9.008 5
0.287 0.03 9.841 5
0.287 0.03 9.841 5
0.287 0.03 9.841 5
0.287 0.03 9.841 6
-0.028 0.068 9.707 4
-0.028 0.068 9.707 5
-0.028 0.068 9.707 5
-0.028 0.068 9.707 5
-0.229 -0.132 9.717 5
-0.229 -0.132 9.717 6
-0.229 -0.132 9.717 5
-0.229 -0.132 9.717 4
-0.123 0.049 9.946 5
-0.123 0.049 9.946 5
-0.123 0.049 9.946 5
-0.123 0.049 9.946 6
0.393 0.308 9.008 5
0.393 0.308 9.008 4
0.393 0.308 9.008 5
0.393 0.308 9.008 5
0.268 0.174 9.506 5
0.268 0.174 9.506 6
0.268 0.174 9.506 5
0.268 0.174 9.506 4
