rpm_limit,hardware,target,placement,online,temporal_std,temporal_rms,temporal_pp,temporal_max,temporal_margin,temporal_shape,temporal_impulse,temporal_crest,temporal_skewness,temporal_kurtosis,spectral_flux,spectral_noisiness,spectral_roll_off,spectral_entropy,spectral_negentropy,spectral_std,spectral_roll_on,spectral_energy,spectral_skewness,spectral_kurtosis,spectral_centroid
False,shaft,fault,A,False,1.0,2.0,3.5568933044900626,3.634241185664279,5.241482788417794,5.848035476425731,6.649399761150975,7.651724731089557,9.321697517861576,9.654893846056302,1.5874010519681994,2.2894284851066637,2.519842099789746,3.5568933044900626,5.848035476425731,6.000000000000001,6.2316796843697535,7.651724731089557,7.883735163105242,9.622602989987483,9.654893846056302
False,shaft,fault,A,True,1.0,2.0,4.7176939803165325,6.0731779437513245,4.820284528350459,3.5568933044900626,6.214465011907715,7.55952629936924,9.321697517861576,8.434326653017493,1.5874010519681994,1.2599210498948732,5.943921952763129,3.0000000000000004,4.0,6.257324745675973,10.656022367666111,9.28317766722556,5.646216173286171,8.320335292207616,9.622602989987483
False,shaft,fault,B,False,2.0,3.1072325059538586,4.217163326508746,4.578856970213327,3.8258623655447774,9.321697517861576,7.230426792525691,7.268482371328559,2.7589241763811208,5.848035476425733,4.578856970213327,3.77976314968462,5.848035476425733,2.6207413942088964,6.603854497789252,4.641588833612778,8.138223044397703,7.398636222991413,7.651724731089557,10.656022367666111,1.0
False,shaft,fault,B,True,3.3019272488946263,4.610436292058446,6.542132620377179,5.646216173286171,4.160167646103808,7.113786608980125,2.8844991406148166,1.8171205928321397,4.308869380063767,9.654893846056302,3.4760266448864496,3.1748021039363987,6.910423230011186,2.6207413942088964,5.943921952763129,6.463304070095649,7.958114415792782,10.656022367666111,6.3496042078727974,9.654893846056297,1.0
False,shaft,anomaly_60,A,False,1.5874010519681994,2.620741394208897,1.5874010519681994,4.308869380063767,7.113786608980125,8.276772529143365,7.611662611020245,7.268482371328559,4.217163326508746,9.28317766722556,9.461524902909401,4.578856970213327,2.0800838230519045,4.999999999999999,7.113786608980125,2.2894284851066637,5.039684199579492,1.5874010519681994,9.654893846056302,9.622602989987483,7.318611420045943
False,shaft,anomaly_60,A,True,3.3019272488946263,4.481404746557165,2.0,4.820284528350459,4.160167646103808,8.143252849784718,6.257324745675973,6.6038544977892535,2.924017738212866,6.214465011907718,5.646216173286171,4.217163326508746,3.634241185664279,3.0365889718756627,4.7176939803165325,2.620741394208897,7.999999999999998,2.7144176165949068,8.706587691173613,8.849344009597909,7.343420462049963
False,shaft,anomaly_60,B,False,1.2599210498948732,2.2894284851066637,4.0,3.5568933044900626,7.611662611020245,5.593444710406984,7.113786608980125,7.268482371328559,9.28317766722556,4.326748710922226,5.604078661310775,5.646216173286171,3.659305710022972,3.77976314968462,7.999999999999998,1.2599210498948732,10.656022367666111,4.217163326508746,9.000000000000002,8.879040017426007,2.519842099789746
False,shaft,anomaly_60,B,True,1.5874010519681994,2.7144176165949063,5.039684199579492,4.481404746557165,5.517848352762241,5.313292845913055,4.379519139887889,3.634241185664279,9.654893846056302,8.276772529143365,4.93242414866094,4.308869380063767,5.943921952763132,3.1072325059538586,8.242570599617114,1.2599210498948732,9.165656454330225,5.451361778496419,8.320335292207616,10.28827647810178,2.2894284851066637
False,shaft,anomaly_90,A,False,2.0800838230519045,3.1748021039363987,1.5874010519681994,2.7144176165949063,9.321697517861576,8.879040017426007,7.999999999999998,6.649399761150975,4.217163326508746,6.868285455319991,6.603854497789252,2.8844991406148166,2.924017738212866,7.133492489728308,5.428835233189813,3.5568933044900626,5.848035476425733,1.5874010519681994,7.611662611020245,9.622602989987483,7.651724731089557
False,shaft,anomaly_90,A,True,4.160167646103808,4.379519139887889,2.0800838230519045,1.5874010519681994,5.738793548317167,10.000000000000002,6.3496042078727974,7.958114415792782,3.6840314986403864,5.646216173286171,5.1924941018511035,1.8171205928321397,5.593444710406984,6.036810736797687,3.3019272488946263,4.308869380063767,8.40611799196616,2.0,7.55952629936924,9.966554934125964,6.9520532897729
