name,x_mean,x_std,x_skew,x_kurt,x_rms,x_pp,x_crest,x_margin,x_shape,x_max,y_mean,y_std,y_skew,y_kurt,y_rms,y_pp,y_crest,y_margin,y_shape,y_max,z_mean,z_std,z_skew,z_kurt,z_rms,z_pp,z_crest,z_margin,z_shape,z_max
k3_1.tsv.part.0,0.017492006566347782,1.3516040782635625,0.09298070527862426,0.09298070527862426,1.3517172613651167,5.053491210937501,1.9878136267321844,2.395315553887576,1.1092598017800324,2.686961991630689,-0.014729370117186408,2.19664578293539,0.2007473416907297,0.2007473416907297,2.1966951654774225,9.9393310546875,2.385327696426247,3.3490101124304585,1.2116290236449097,4.699493235868566,0.03431687298943047,0.46601082691074863,-0.019468373499701427,-0.019468373499701427,0.46727265977137206,2.347119140624997,2.705565715809019,3.625852036752751,1.1750359808844795,1.2642368882123165
k3_1.tsv.part.1,0.006693286150447019,1.3817102589494226,0.05634987046974534,0.05634987046974534,1.381726470675572,5.005590820312499,1.840639861601698,2.1596899659385023,1.0938668235720872,2.5432608197556874,-0.007077047909006217,2.189339589098365,0.20619824895474162,0.20619824895474162,2.1893510273595926,9.364526367187501,2.316753406943885,3.2182277609458723,1.206410249810841,4.29233991555607,0.005278435202206167,0.5055305895390872,-0.019433510625813187,-0.019433510625813187,0.5055581458526022,2.39501953125,2.4533017677088846,3.2052416268471466,1.1605084398564107,1.240286692899815
k3_1.tsv.part.2,-2.9204945600746434e-05,1.3832153248007462,0.028044854173004525,0.028044854173004525,1.3832153251090598,4.885839843749999,1.7867140342905936,2.0864535128633386,1.0910333510604129,2.471410233818183,0.001984109317556293,2.1228463288291817,0.26876079560207417,0.26876079560207417,2.122847256048658,9.196875000000006,2.321639140881962,3.2111873960994184,1.2069967776616124,4.268389720243569,-0.004872221105238635,0.5187369881807609,0.06621257978803707,0.06621257978803707,0.518759868769111,2.3231689453124957,2.3182850127337957,2.965828541792586,1.1460976684036035,1.120535716337315
k3_1.tsv.part.3,-0.01288717254670371,1.3760169851179476,-0.01066331558646186,-0.01066331558646186,1.3760773316021646,4.766088867187506,1.7719787611102606,2.086601805632285,1.095718589559172,2.327709061943189,0.010596787396600442,2.0648350693000483,0.3181577808065275,0.3181577808065275,2.0648622606155747,8.861572265625,2.1896530561297776,3.0362482533267037,1.2082022288371854,4.340240306181066,-0.008737125172334218,0.5360718801826785,0.03861673751952585,0.03861673751952585,0.5361430761269504,2.4429199218749957,2.313350200956683,2.9282164760093177,1.1407779737598267,1.240286692899815
k3_1.tsv.part.4,-0.012295461838983099,1.3641226058178473,-0.02837928210212479,-0.02837928210212479,1.3641780170069844,4.718188476562496,1.8049917018595414,2.1254603670949397,1.0962752787636074,2.2558584760056846,0.009225521312041622,2.007347093320827,0.36402143694940853,0.36402143694940853,2.007368292891728,8.454418945312497,2.1091942274303417,2.889133453620332,1.2022146040320485,4.220489329618566,-0.02598596191406217,0.5334820670325414,-0.01299207673996224,-0.01299207673996224,0.5341145813979544,2.466870117187497,2.3221359912204136,2.93585265158406,1.1387427035666855,1.240286692899815
k3_2.tsv.part.0,-0.002548010305414022,1.3641613525948588,-0.008656358383560016,-0.008656358383560016,1.3641637322073734,4.718188476562503,1.759505595739531,2.0990129275094933,1.104343557343455,2.3179347562387065,-0.0009922894646106734,1.9241216583022893,0.4459558675249414,0.4459558675249414,1.924121914169249,8.167016601562501,2.1382737232155677,2.88554678145847,1.19447202879074,4.114299329331345,0.03088870777803875,0.5479425323080925,-0.03694209418991849,-0.03694209418991849,0.5488124734191108,2.39501953125,2.188042878387527,2.7411985865870174,1.1331547906089012,1.2008252240349293
k3_2.tsv.part.1,0.0034277982308911557,1.3695884640219347,-0.012663254301485271,-0.012663254301485271,1.3695927535521912,4.598437500000003,1.7700180651137758,2.0933752026840433,1.0995539286501783,2.174233584363705,-0.0025138312844635866,1.9022253055065013,0.45346521894208575,0.45346521894208575,1.9022269665465863,7.855664062499997,2.1628856081252406,2.9359908285190017,1.1980409867159296,4.114299329331345,0.022790254480704215,0.5461920283982852,-0.021135591494317915,-0.021135591494317915,0.5466672914901058,2.5387207031250014,2.5033079763968287,3.1192747423672214,1.129687691168171,1.3684765912224321
k3_2.tsv.part.2,0.002843131698262458,1.3771733056711257,-0.024112879782310068,-0.024112879782310068,1.37717624044673,4.6702880859375,1.7428805768136104,2.058139588856748,1.0985713155979393,2.2700343656137036,-0.002279025448066549,1.891000434602723,0.42655205255385487,0.42655205255385487,1.8910018079379722,7.831713867187503,2.137728650720807,2.957060580426122,1.2083777934007869,4.042448743393848,-0.0009040024701229873,0.5460988701930841,-0.036161167626338656,-0.036161167626338656,0.5460996184274706,2.2513183593749986,2.1111987529488774,2.6130547943274087,1.125035879322933,1.1529248334099336
k3_2.tsv.part.3,-0.0017426262865721002,1.3806313458903399,-0.02164005925278591,-0.02164005925278591,1.3806324456571872,4.837939453125003,1.7732120657091084,2.094855008947331,1.0989656663590022,2.3897853421762036,0.0030134981043232157,1.889676444263897,0.39130372064172936,0.39130372064172936,1.8896788470998636,7.951464843750003,2.126551056148316,2.9523142960561786,1.210116444784917,4.018498548081347,-0.020878934972420802,0.5452357702083919,-0.02164969068309679,-0.02164969068309679,0.5456353865360282,2.2513183593749986,2.1129949813726134,2.604937938181085,1.122964727900095,1.1529248334099336
k3_2.tsv.part.4,-0.0030129258614802036,1.381403254769733,0.007941602108616778,0.007941602108616778,1.3814065404545683,4.933740234375001,1.7993154445383546,2.1466079870285575,1.1045982524033842,2.485586123426202,0.0027716480928342076,1.9044395603474178,0.34226626351245254,0.34226626351245254,1.9044415772213692,8.119116210937506,2.1406104111062434,2.967093117253398,1.2082508735352697,4.042448743393848,-0.03189602481617081,0.5484195306064309,-0.01208788145669682,-0.01208788145669682,0.5493462823662792,2.323168945312503,2.1738461614250735,2.690518912297106,1.124621677596942,1.1289746380974321
