name,x_centroid_64,x_std_64,x_skew_64,x_kurt_64,x_roll_off_64,x_flux_mean_64,x_flux_std_64,x_noisiness_64,x_energy_64,x_entropy_64,x_negentropy_64,y_centroid_64,y_std_64,y_skew_64,y_kurt_64,y_roll_off_64,y_flux_mean_64,y_flux_std_64,y_noisiness_64,y_energy_64,y_entropy_64,y_negentropy_64,z_centroid_64,z_std_64,z_skew_64,z_kurt_64,z_roll_off_64,z_flux_mean_64,z_flux_std_64,z_noisiness_64,z_energy_64,z_entropy_64,z_negentropy_64,x_centroid_256,x_std_256,x_skew_256,x_kurt_256,x_roll_off_256,x_flux_mean_256,x_flux_std_256,x_noisiness_256,x_energy_256,x_entropy_256,x_negentropy_256,y_centroid_256,y_std_256,y_skew_256,y_kurt_256,y_roll_off_256,y_flux_mean_256,y_flux_std_256,y_noisiness_256,y_energy_256,y_entropy_256,y_negentropy_256,z_centroid_256,z_std_256,z_skew_256,z_kurt_256,z_roll_off_256,z_flux_mean_256,z_flux_std_256,z_noisiness_256,z_energy_256,z_entropy_256,z_negentropy_256,x_centroid_1024,x_std_1024,x_skew_1024,x_kurt_1024,x_roll_off_1024,x_flux_mean_1024,x_flux_std_1024,x_noisiness_1024,x_energy_1024,x_entropy_1024,x_negentropy_1024,y_centroid_1024,y_std_1024,y_skew_1024,y_kurt_1024,y_roll_off_1024,y_flux_mean_1024,y_flux_std_1024,y_noisiness_1024,y_energy_1024,y_entropy_1024,y_negentropy_1024,z_centroid_1024,z_std_1024,z_skew_1024,z_kurt_1024,z_roll_off_1024,z_flux_mean_1024,z_flux_std_1024,z_noisiness_1024,z_energy_1024,z_entropy_1024,z_negentropy_1024,x_centroid_4096,x_std_4096,x_skew_4096,x_kurt_4096,x_roll_off_4096,x_flux_mean_4096,x_flux_std_4096,x_noisiness_4096,x_energy_4096,x_entropy_4096,x_negentropy_4096,y_centroid_4096,y_std_4096,y_skew_4096,y_kurt_4096,y_roll_off_4096,y_flux_mean_4096,y_flux_std_4096,y_noisiness_4096,y_energy_4096,y_entropy_4096,y_negentropy_4096,z_centroid_4096,z_std_4096,z_skew_4096,z_kurt_4096,z_roll_off_4096,z_flux_mean_4096,z_flux_std_4096,z_noisiness_4096,z_energy_4096,z_entropy_4096,z_negentropy_4096
k3_3.tsv.part.3,2341.1917913590187,0.23645521714061365,3.3205572296683656,11.316228666197583,3906.2499999999995,0.059525885088241054,0.0764883145338104,0.42393394519863364,2.1766604176901323,1.973231734756059,-1.7746314132786511,1820.1474367529977,0.5635635326245072,3.96817235179555,15.890577237800269,1562.4999999999998,0.05092447455486422,0.05876956165874961,0.3593890815283507,11.834649150840146,1.761345485494967,-1.3232163547843954,2035.7607017561168,0.05252105207473778,4.267696636771562,18.103701772825538,781.2499999999999,0.04230492024535389,0.051322181512278915,0.3107118172359339,0.09981733689406037,1.5426782414351772,-1.1414628156828412,2556.4493539226655,0.10914077701107665,7.304690366916927,60.371707600337,3710.9374999999995,0.0007372847540712971,0.0009344211475022081,0.21119198267002517,1.6051464708955623,2.217367453448426,-1.9082189361568829,2020.435036871355,0.2519365100117728,8.931886460265616,86.48357299875182,976.5624999999999,0.00046562207175828254,0.0005343790053532936,0.17983363036495728,8.452686076195482,2.0152994659995622,-1.7829212230748634,2320.278779679566,0.023606447452128452,9.429845277904775,93.50427872756256,976.5624999999999,0.004056604873719283,0.004355718261866249,0.15102399314712772,0.07352672136591885,1.7504960610028848,-1.874044847247946,2554.1954745240378,0.05433558187205183,12.581414845092825,166.5446986994379,3808.5937499999995,0.00047866514433263474,0.0005262853199126482,0.10647986833669033,1.531730355194768,2.2245275956080848,-2.7330343887086737,2017.8723423452077,0.12393084852781354,14.975314592870092,232.06617826912287,976.5624999999999,0.00035359811850916727,0.00038301199757052976,0.09193711223573135,7.945690226497464,2.019000562301102,-2.82918929158675,2309.4716977784424,0.011514415609662466,15.91850611845045,254.26977719546795,976.5624999999999,0.0029862983374121816,0.003084414712694739,0.07759539163354165,0.06842396441375406,1.793382593390209,-2.2023563786176927,2549.724603907004,0.027849806661960526,28.385837259045132,899.8922246821132,3820.8007812499995,0.00032751016344685635,0.0003282435671561808,0.05195666851699227,1.5935185519022042,2.229956292688572,-2.855214443352773,2017.415709381242,0.06339530066765324,33.856313382249624,1255.171271675671,964.3554687499999,0.0002910982615644264,0.00029509018407183153,0.04491633511512395,8.251471173672206,2.024915369414437,-2.5653653037139312,2293.768579820158,0.005871999423553363,36.006994396874624,1375.9026332825915,964.3554687499999,0.0024963403846635784,0.0025127341101537793,0.03779225033794639,0.07075119952131495,1.827259103334667,-1.8619962552580962
k3_3.tsv.part.4,2359.917479918579,0.2347004016868899,3.331769901395318,11.403241753528787,3906.2499999999995,0.05981426748951511,0.0759800571221588,0.4249793501887994,2.146086014521996,1.9826033846707145,-1.7709115528879593,1850.2950883645196,0.5638751810763502,3.9559274524941825,15.796497272519847,1562.4999999999998,0.04994075000628111,0.057994395853155946,0.3612651994245659,11.861928030240046,1.772982586218917,-1.3369090169187747,2195.656672893737,0.05108722665135066,4.251256777692063,17.99964629673853,781.2499999999999,0.042084784372873524,0.05068301682589641,0.31750549302552245,0.09480928178427701,1.5928433174949759,-1.9660851107506196,2581.091331485044,0.10833012149863949,7.318821862725615,60.63254682741261,3710.9374999999995,0.0006963990943891896,0.000871019991790481,0.21191375230065962,1.5818525231841387,2.2271090106747904,-1.9033129841004561,2054.059434714326,0.25244523061155216,8.904575049905613,86.09729817883122,976.5624999999999,0.0005058590937679712,0.0006327217306124354,0.18076997232649666,8.489632368583964,2.0247208587728824,-1.7873698404699658,2499.1173059779658,0.022933085825736506,9.406138972162765,93.21431341892597,976.5624999999999,0.0043835794458458545,0.004734503501184913,0.1546832689586712,0.06946781859718694,1.816206268733087,-1.8909445699355696,2583.6815296549057,0.05405361617798338,12.573322404641065,166.77790862270018,3808.5937499999995,0.0006419255777643388,0.0006866089815450264,0.10702768401918251,1.5160495839383425,2.23613195945899,-3.068545376706368,2057.9100525363133,0.12415496771149352,14.930959996833614,231.2549884253796,976.5624999999999,0.0004398020261739296,0.00046285229268019695,0.09254138331113074,7.975336024192899,2.033381486276614,-2.788627427146281,2502.1544514830334,0.011214286509079458,15.877567138479671,253.8486734651937,976.5624999999999,0.0029946298720702202,0.0030452166109546973,0.07968349203582113,0.0649246291406685,1.870579344801574,-1.9145327384371162,2593.318393062583,0.02765834771953727,28.142432369945006,881.7192300202964,3820.8007812499995,0.0003930004148609417,0.00039359642893312824,0.05232951256490899,1.5717449004785515,2.2445664872858107,-2.7881848727308944,2061.4771850764023,0.06362600884933925,33.398397306014914,1220.208143233522,964.3554687499999,0.0003795907469773818,0.0003829148111020723,0.04525827130326332,8.311893727740147,2.038651942598486,-2.3584361408674517,2532.5537021701903,0.005713595689630759,35.627209389473556,1348.4297840538497,964.3554687499999,0.0030694364217942055,0.0030694364226378263,0.039047055060513654,0.06699195030944331,1.9247265230456083,-2.118604164899137
k5_1.tsv.part.0,1443.8397019947067,0.37241114665717506,4.169085549048755,17.30579120766997,1562.4999999999998,0.038445698580053686,0.045909192205412466,0.3187876926175714,5.0418892246548745,1.5184132506202712,-0.9827308590668893,1548.0226425484066,0.899635140673394,4.1849967746790195,17.389731296347623,1562.4999999999998,0.035753121877132754,0.04038129483597962,0.3187593238472438,29.422098741887186,1.5555287767941972,-1.2770117359860735,6618.899625904124,0.003651784000709325,3.122701426985791,10.315385386306358,8593.749999999998,0.21112843711449694,0.24664264493149748,0.6564071581973188,0.0006296865104568439,2.7872877928998188,-2.5921394483601055,1618.954570226389,0.16671030035609954,9.472499827031571,94.88190776996048,976.5624999999999,0.00034653076875334023,0.0003809066696456615,0.15534862307009284,3.6717323943546236,1.7064224374420194,-1.8997846784028927,1739.4005116626356,0.4027908835668785,9.495079943963166,95.20068015347812,976.5624999999999,0.001039513805079785,0.0012393598235828323,0.15529559261654774,21.433763402779554,1.7478416376472004,-1.8894271413206862,6459.332193704542,0.0015614754617071377,6.661025277553483,55.31234148180676,2148.4374999999995,0.08904810329344702,0.10337908923742581,0.4005592464743319,0.0003649939061503948,3.6377215701722507,-2.665020102438723,1619.170073222969,0.08256042468117024,17.255575105397504,314.65781690567127,976.5624999999999,0.0004456585367837424,0.0004678271198785709,0.07882729986169942,3.51845050752119,1.7110814363642248,-2.3102119081646837,1740.3710746333022,0.1995704848824852,17.30720581138658,316.09187712807216,976.5624999999999,0.0007393512239869573,0.0007714179094274702,0.07880212605809882,20.558836002087507,1.7618521719449234,-2.3277404294856634,6295.034288869973,0.0007430580712031118,13.685811318786879,225.03312478870942,1904.2968749999998,0.057196981931046824,0.06289875044020941,0.21671366860359326,0.0002965479753760019,4.2643008903884665,-2.820502025332342,1621.1435870965975,0.042023329821037285,37.9108520868921,1545.7419923695318,964.3554687499999,0.0003930168247687216,0.0004357024668065392,0.03865708083738118,3.623859857280759,1.7204221378187552,-2.173574153383319,1739.892455822362,0.10168657199271217,38.03043193715856,1552.9531765278277,964.3554687499999,0.000933050092742041,0.0009362824715990725,0.038593312747341305,21.218542458672918,1.7740993116891624,-1.9684071405736874,6307.950400735225,0.00036798910206399483,31.350254439233822,1165.752605726468,976.5624999999999,0.04687811278909293,0.046953567876113274,0.1068414107636977,0.0002806346553157689,4.766991140172188,-2.541499322408238
k5_1.tsv.part.1,1428.289994891525,0.37424776553818406,4.170682429076225,17.310459126257246,1562.4999999999998,0.03815209220048952,0.04581309171797912,0.31762620608049635,5.088325452485565,1.5095918643933866,-0.9867061918865468,1547.1186512632337,0.9049030192609047,4.1807823861665865,17.350113224658806,1562.4999999999998,0.03642034593537603,0.04113805310072615,0.3188880291743686,29.76989167079888,1.5554628258927348,-1.2782403917824403,6657.876330682274,0.003563574145096883,3.1872668782569966,10.824730081482098,8593.749999999998,0.21338163533993457,0.24154477178582157,0.6631597776855565,0.0006033675419758071,2.8040808735503706,-2.5601738710028124,1600.64533041182,0.16758064843223613,9.477929325900451,94.95292383417139,976.5624999999999,0.00032777014725663144,0.0003528648024133784,0.15470241866725284,3.709444817119919,1.6960828337666198,-1.897916986102311,1739.837024422859,0.40513536659886146,9.489176017644178,95.10587539855425,976.5624999999999,0.0009721950691270897,0.0010795437602879189,0.15554106204353388,21.685619669585872,1.7511115333346141,-1.8900290044393124,6620.018600785337,0.0015294744766981224,6.837042371062026,58.05797591843486,1953.1249999999998,0.08274205316588758,0.08947298305467218,0.40235380003928095,0.00035062159548384357,3.6562239718557574,-2.5816519432461016,1599.3354603439006,0.083436295784717,17.255267117423198,314.34345258145925,976.5624999999999,0.00039442574631442254,0.0004225333508805833,0.07843803964337132,3.593281298071606,1.6987813498738598,-2.0147039816921475,1736.312843459485,0.2007528595504034,17.29288774648356,315.5682994453308,976.5624999999999,0.000725474196767059,0.0007574108715083061,0.07888795298274405,20.80344307864305,1.7618165048452419,-2.063331449383188,6568.359774402517,0.0007234840068788042,13.6316030198691,221.6912398255653,1904.2968749999998,0.05613476754748281,0.05771340536919645,0.2126315479936375,0.00028065946657566856,4.251339943540221,-2.9658746927141606,1598.778144491898,0.042644698799797265,37.9564724920268,1548.1437071418916,964.3554687499999,0.0003231145518975548,0.00032677712595636,0.03840378155555133,3.731746280256447,1.703150791063913,-2.2613466998328136,1739.9265222728816,0.10255700939286055,37.98031721439191,1549.1650620555924,964.3554687499999,0.0008875066327862502,0.0008931833837098848,0.038641287485430796,21.583438663394265,1.773819013160726,-2.303186118252045,6483.280946239597,0.00036158807689386344,31.092790467187392,1150.9275719074456,1916.5039062499998,0.04687316247494258,0.046885642478582464,0.10529085434007357,0.0002708683915178147,4.742990029773323,-2.58202589656217
k5_1.tsv.part.2,1391.7351802782,0.38287606966323323,4.176795047741499,17.35688709281901,1562.4999999999998,0.037007963990324404,0.044713254813916165,0.3151550578525239,5.318088816382195,1.488037866404868,-0.9841015415857309,1507.4819293458181,0.90980501233653,4.180640494886989,17.35179560474874,1562.4999999999998,0.03491021221570257,0.038701829206557736,0.31758603218301046,30.070664984624432,1.540245157884413,-1.2766443633805173,6666.702879081652,0.003421177050710378,3.1409503389301667,10.507646419561821,8593.749999999998,0.22896026406278147,0.26135028582642766,0.673699310705069,0.0005615531175748278,2.817087439791002,-2.5700110882635934,1559.5686133289562,0.17132071423705722,9.487360486402414,95.0884106010127,976.5624999999999,0.0003114621869972529,0.00033113745088366315,0.15333208679736476,3.8752690726114407,1.6682890298826527,-1.8945695708936894,1692.2724334561572,0.4071788445931542,9.49970879700942,95.28023213592638,976.5624999999999,0.0008884879897047451,0.0010113225792205223,0.15453315777609616,21.89824912446318,1.7270072627408461,-1.8890849827209275,6523.589830202913,0.0014749102713635398,6.733974592769568,56.58175418376546,2148.4374999999995,0.08491632814069161,0.09692300045873917,0.40788231566225075,0.0003273079095084707,3.6678589168776394,-2.6065854906373858,1561.4897426752536,0.08450139626223817,17.295261258532335,315.81430613977847,976.5624999999999,0.00038630908362053014,0.0004245851353237472,0.07785024244370263,3.685269921258201,1.6737941191176793,-2.652228909470755,1691.1382751592655,0.201799168321273,17.303970722272066,315.8300707275131,976.5624999999999,0.0005963172070438982,0.0006281456880453789,0.07840626271223348,21.01927730193783,1.737469544092394,-2.1989394043880863,6432.830686866321,0.0007036125164307655,13.47825665692236,219.3271886291386,1904.2968749999998,0.06227081624390996,0.07044848041030709,0.21911815925300812,0.0002661650645198363,4.279374369241617,-2.729142377066464,1561.2183988004842,0.04303237870785261,37.943805377101555,1547.0366532909568,964.3554687499999,0.00040176030287343567,0.0004394228077611166,0.038205936349532156,3.7998472578219586,1.6832279620242554,-2.0886470959453316,1700.2240741128614,0.10308788497400925,38.001542371930476,1550.5870397068888,964.3554687499999,0.0008382413700448732,0.0009114053005748007,0.038492607543541,21.807216076103117,1.7543812166663288,-2.0648403245163114,6317.382354438086,0.00035851103229515125,30.455262831335272,1115.941848779202,1916.5039062499998,0.0602999546668658,0.060342695833986174,0.11109897766449564,0.00026660892536578274,4.812316749658016,-2.5270765311930425
k5_1.tsv.part.3,1383.110023071121,0.3833668128165268,4.175146605796453,17.337576116025307,1562.4999999999998,0.037235093565179254,0.045198667119154476,0.31463433488182974,5.330139702961592,1.4842024894297159,-0.9831587635586271,1496.1822217291713,0.9148037421812094,4.183712246459256,17.3658242806527,1562.4999999999998,0.03488105180629519,0.03896980211662351,0.31583436397724834,30.37136470120424,1.5280563224832437,-1.2693309530976848,6768.879204200686,0.0032051534947037104,3.015211789589688,9.72669368957149,8593.749999999998,0.2350201684296966,0.2726195731154661,0.7005856626082414,0.0005054019281982641,2.8478153139097886,-2.59273923764889,1549.1707469272117,0.1715597559087788,9.492445534938268,95.16353075115697,976.5624999999999,0.00032576993874674945,0.00034720289344797165,0.15300188205480222,3.885706787075171,1.6642360456594016,-1.8937378876936324,1679.817616005284,0.4091519875425908,9.50125863324495,95.27486653070345,976.5624999999999,0.0008927667711964777,0.000990596241195215,0.1537611000757634,22.105856132922046,1.7147466521222738,-1.8859964292533675,6721.351381256637,0.001369329097506452,6.7110586873113585,56.36717240829583,5859.374999999999,0.07949826202680083,0.08824926605355651,0.41756036055133405,0.0002840569352171714,3.706372683190655,-2.662473075096451,1547.7103441504396,0.08495721841643437,17.314954980927418,316.50336780413323,976.5624999999999,0.000426148658519344,0.00048186476501236626,0.07763752407142488,3.725013266138114,1.6672167283547938,-2.2873415311744987,1679.2122617405678,0.20272416600064933,17.34164679064333,317.2001327307636,976.5624999999999,0.0006295253485279892,0.0006432246304013677,0.07799180979127306,21.21104673302879,1.7251741997160925,-2.1406625962463863,6645.214032999241,0.0006604921481671825,13.309244515783282,214.73378805897997,1904.2968749999998,0.05601545324919138,0.05965463365934954,0.22019548335600175,0.00023464718063334416,4.2915901578394955,-2.7916220317089766,1548.8813974571224,0.04335689793876468,38.02206545377394,1552.7224645963825,964.3554687499999,0.0004970786056705256,0.0005129402143306746,0.03808621232616447,3.8573396034025507,1.6784049593778854,-1.8293910253373955,1681.1360110047576,0.10352479988920842,38.08273143676208,1556.4204853607878,964.3554687499999,0.0007417361319952409,0.0007499809136254804,0.03822077266177717,21.991999864138712,1.7371899839773817,-1.7022790903465068,6544.195320569715,0.00034268369422138777,29.820166976473395,1076.570830557132,1928.7109374999998,0.05729134275032416,0.057485726200035656,0.11033529277370135,0.00024354766096181576,4.777322455956275,-2.6458176088276875
k5_1.tsv.part.4,1375.7315049781903,0.3859964441413725,4.176204321590817,17.34664516487698,1562.4999999999998,0.03745170352671295,0.04564511578728001,0.31401745538345033,5.401605896131304,1.4798240154581457,-0.981880410715142,1492.9153787775765,0.9138070428269972,4.18525342728156,17.38308877723587,1562.4999999999998,0.03475085259168413,0.03885465946402863,0.31574045059607597,30.30358571370139,1.5272529375973205,-1.2695104655139957,6833.5155464600275,0.0031262859450686764,2.8742147914619838,8.736797437303599,8593.749999999998,0.22431231809647054,0.26105144517921963,0.7142285037831739,0.0004870611311367048,2.8593846283900195,-2.642437397746771,1542.4888231469954,0.1725609301515161,9.494947965392583,95.19136711324539,976.5624999999999,0.0003294708922144389,0.0003558011581379401,0.15266041858951385,3.9307899672843547,1.6592187920508314,-1.892786450864374,1677.1236976971713,0.4091840636615076,9.50210247982846,95.2852683870331,976.5624999999999,0.0010279500946563556,0.0011879438419927849,0.15372722276372489,22.109097325310106,1.7152544812548096,-1.886106884127334,6744.103007216246,0.0013231673411208975,6.314664167831252,51.00260429980908,8398.437499999998,0.09657653335516271,0.10799530567660791,0.43254030848013525,0.00026810401132658753,3.727032076059699,-2.6432466096264644,1541.545021380174,0.08558240658294919,17.284207180701113,315.1828294432346,976.5624999999999,0.0006212271629106918,0.0007108449199774992,0.07757326148095488,3.7800012015173556,1.6652431035121946,-2.4969815112582636,1673.8598488819518,0.203041607741255,17.321012274783005,316.4300673097938,976.5624999999999,0.0007248163749208091,0.0007662112309310857,0.0780695220083387,21.27778314570539,1.727425040092062,-2.017099223950086,6671.8009622587615,0.0006330468275985987,12.900866697038987,202.7828089988888,1953.1249999999998,0.055638112877516764,0.05781812270890436,0.23026579755664545,0.00021648440806439943,4.353752891116304,-2.8253034174442755,1542.2453862825196,0.0437496624176284,38.043668137177725,1554.189078865885,964.3554687499999,0.0003749361766959419,0.00042786335204426983,0.03799070254903297,3.9275139240762593,1.6733033155942567,-1.7160417905618017,1674.4875170678658,0.10350802720574591,38.101325760945414,1557.738742964747,964.3554687499999,0.000611374392745806,0.0006136375634420027,0.03821196313648494,21.984859544065607,1.7378167278105285,-2.2819395532141677,6624.143766070142,0.00032104115545272246,29.99213925234453,1088.22129500668,1928.7109374999998,0.045939673401668435,0.04601331748911738,0.11360866061020776,0.00021391090222584364,4.8615794504050225,-2.725579870961941
k5_2.tsv.part.0,1359.0641013818854,0.3925239438244754,4.179259334347605,17.365244816656915,1562.4999999999998,0.03745474341082829,0.04577914825328813,0.3129294654913364,5.582373137477434,1.4711047994553772,-0.966839678677251,1457.4515011864576,0.9217811383425023,4.185337928664025,17.381673586503382,1562.4999999999998,0.03503237916586719,0.03984064513051992,0.3141297970459774,30.806319596603753,1.510273082615847,-1.2666411335870038,6648.255372685988,0.0030760332715775163,2.9439301724231814,9.22212705260906,8593.749999999998,0.22602921953440844,0.2596789459646742,0.7057555004680747,0.0004677719134582645,2.8490188126903218,-2.5964123447820784,1522.237235687149,0.1755606770385998,9.48928621719093,95.06519038208337,976.5624999999999,0.000389882182959994,0.0005930495604089045,0.15226011072441958,4.068155829582445,1.6518951349887354,-1.8912391097615653,1638.0834922961456,0.41196168222897195,9.511974514248925,95.44089628648362,976.5624999999999,0.0008405852556676784,0.0009824392625089593,0.1527485106238158,22.403710733667516,1.6932929869668372,-1.697905411297601,6594.3694608013675,0.0013008372627089679,6.547310676206166,54.24200932814526,6835.937499999999,0.0812232280479312,0.09156438829293814,0.42454354536417777,0.0002576350552307167,3.714064188985885,-2.707621973454746,1521.8343814144953,0.08717426376715502,17.274573855927425,314.4763008006212,976.5624999999999,0.0005251142419556235,0.0008145725875638058,0.07727407365947914,3.921746562960123,1.6572126706638792,-2.06320139849779,1638.1229125152145,0.20419498798141753,17.300747409328306,315.3704896704125,976.5624999999999,0.0005949667796132619,0.0006157473241069964,0.07763504053976933,21.518760097849118,1.7054776841396462,-2.2820392978069246,6523.594772049195,0.0006312822555059032,12.943615683076683,203.99484005885728,1953.1249999999998,0.05278004071543642,0.05406882507080749,0.22319183343604446,0.0002146234319860794,4.3006239686528875,-2.947243169225685,1524.6629469460709,0.0441486782917313,37.93226919029292,1544.2283877773618,964.3554687499999,0.0003697998653665324,0.0003915422037735508,0.0379056500632108,3.9994561004475555,1.6652778189449624,-2.1634030803123143,1641.1512519965543,0.10410577986775532,37.96191922584269,1545.9138344014148,964.3554687499999,0.000809545181659127,0.0008811268692922133,0.03804348075725323,22.239229923764952,1.7173110132565583,-2.0780599953787044,6347.9437675871,0.00032238920248696444,29.44741066606771,1058.6788889740735,1928.7109374999998,0.05746561038369863,0.060142423379676464,0.11504428599262136,0.00021578099821329227,4.846434448861059,-2.548318806896567
k5_2.tsv.part.1,1358.3468094095947,0.3921090914502692,4.180259420187161,17.375317101033055,1562.4999999999998,0.03744002671467932,0.04629174758638961,0.3127516266909083,5.5700149721385355,1.4696468014202198,-0.9799003847037482,1469.0452059098156,0.9149262486876544,4.182685402650742,17.36145306917447,1562.4999999999998,0.03476996776392354,0.03946159412922446,0.3150939324891853,30.36659485415041,1.5179895510026884,-1.269233304822991,6733.848922378833,0.0032113945943903054,2.690751022888149,7.38246880467786,8593.749999999998,0.21956476213233672,0.253201952475041,0.7019343329628716,0.0005080158379715757,2.8257987060306524,-2.3559738158361387,1522.8478270335827,0.17521482594405782,9.498771496021565,95.23462791289063,976.5624999999999,0.0003493850267501541,0.0003823143239584603,0.1519996522260486,4.051829398334658,1.6472133178703001,-1.8906477000488864,1652.0628197312171,0.40902473588780197,9.504706306114834,95.32384903274215,976.5624999999999,0.0010011722240516013,0.0012156175677103156,0.1533399695907505,22.08931667291351,1.7035936678336139,-1.6982727826927386,6574.461335159399,0.001346274966604817,5.680936719964264,41.81145954163762,8593.749999999998,0.10356444062640077,0.1165759410636949,0.4369845283663051,0.00027845356173801826,3.699111002062617,-2.967523539282899,1525.0370171846264,0.08653465722435678,17.29868256854947,315.471187741723,976.5624999999999,0.00046937233020903716,0.0005129956491523983,0.077186323856489,3.8643570997622856,1.6527450979673677,-2.550149302581966,1652.453081863998,0.20257957457911224,17.29708408216956,315.20983043796673,976.5624999999999,0.0006763581681359915,0.0007267275510220212,0.07782601907560495,21.18025643928691,1.714900066589379,-2.394388216842616,6369.1304121676285,0.0006276731648687722,11.905181995007739,180.23253657768353,2880.8593749999995,0.06309237635071294,0.06533129523632684,0.24591827491474877,0.0002143311280264819,4.370589562936012,-2.9152018818600443,1524.6078543073877,0.04414788417112519,37.89069325606824,1540.9896771924725,964.3554687499999,0.00034605136629703437,0.00034609699264841225,0.03789488464900391,3.9993089631338923,1.6637294370118363,-2.166573222042212,1655.6015495265356,0.10343172660260291,37.91974616387905,1542.816160638167,964.3554687499999,0.000767728106710705,0.0007883255901095113,0.03819010028789703,21.952422740747934,1.7307282260991748,-1.7238911117351512,6275.122644436817,0.00031597118947360213,27.933770443393183,975.3584438947117,1928.7109374999998,0.050391338673429556,0.0506593235003096,0.12720868828812346,0.00020787796079810154,4.945043171758644,-2.685881134224408
k5_2.tsv.part.2,1363.6130980851071,0.38807587940375493,4.176468178919599,17.344184150618382,1562.4999999999998,0.037342822447572005,0.0463678983927911,0.31339334688308973,5.458015515240461,1.4742061487883378,-0.9802367181864713,1458.6177075754001,0.9148129013947164,4.180765585283728,17.34612567270023,1562.4999999999998,0.03456965166049963,0.03880094033472083,0.3150320793489816,30.35799489411119,1.5150532166343094,-1.2674699776204639,6665.981343858051,0.0032826449152226567,2.8063922126081344,8.197314283110627,8593.749999999998,0.21768828304110374,0.2495028267847,0.6907359738247416,0.0005252625186805153,2.8161132944971725,-2.6774257104016206,1527.960356172819,0.17351505608243242,9.49298270401528,95.14175202855334,976.5624999999999,0.0003184768365750719,0.0003456154899048016,0.15236208910077492,3.9740250598377513,1.6533628411246595,-1.891925409890089,1639.9359369621545,0.4090162891644209,9.499768922176125,95.23748991541116,976.5624999999999,0.0007550948541034688,0.0008784145740193733,0.15332005736801407,22.088272574900166,1.7003775156286256,-1.698064916752425,6605.58613503973,0.0013723803595929967,6.210840144103304,49.41896945002414,8593.749999999998,0.08864534857016929,0.09704266969066372,0.42426849176320136,0.00028669629940173097,3.6850550489088363,-2.722797748583833,1528.8140652274117,0.08594881744305345,17.303361983090788,315.7396909402311,976.5624999999999,0.00043936681236657257,0.0004892257151524664,0.07730661454490921,3.812281232627667,1.6569468475466356,-2.735499926783292,1642.6808141604974,0.20254062353041014,17.314837866636317,315.8984340124586,976.5624999999999,0.0006193882157236955,0.000642906022485024,0.07776295455212709,21.171905848828132,1.7100748705437714,-2.293480740473065,6537.98041256991,0.0006442576138474249,12.598755418350192,196.62888296876355,2880.8593749999995,0.06467619552220505,0.06568030489222701,0.23174729838650118,0.00022436560023935117,4.317382396586531,-3.1292047497468336,1528.3902275024104,0.043950600931302916,37.912929954456516,1542.9809144828143,964.3554687499999,0.00045593142465681635,0.00045601209060159664,0.03794906763640566,3.96366174156174,1.6681285087174813,-2.1293310315474607,1646.4303940744483,0.10360705179167437,37.947126656009814,1545.4130385113626,964.3554687499999,0.0006140866077208873,0.000615580063636789,0.038190556963971244,22.026908867899166,1.7251689201424674,-2.049511147894863,6394.691087671209,0.00032279901164918186,29.533915714558084,1070.8658194775844,1928.7109374999998,0.04695668524726254,0.04782636866387854,0.11949339609952138,0.0002165527206148434,4.891770086540838,-2.678595427640652
