x_Spectral centroid,x_Spectral slope,y_Spectral centroid,y_Spectral slope,z_Spectral centroid,z_Spectral slope
325.50334217037584,-4.50741555040196e-07,288.1715321085623,-5.069258151306691e-07,453.2050568181263,-2.585508646373301e-07
315.9322841208873,-4.651459681641e-07,294.9407839079433,-4.967381118533679e-07,475.7588075476494,-2.246075386934483e-07
283.7285012519312,-5.136125629959784e-07,253.9239122535004,-5.584683783825025e-07,435.4264697621479,-2.853075838411479e-07
284.8612353711921,-5.119078016071109e-07,250.5749376158218,-5.635085749807434e-07,429.9007176577857,-2.936238238764664e-07
274.6437153521587,-5.272851380201717e-07,253.42615218202255,-5.592175057693679e-07,438.5524877631922,-2.8060293629988584e-07
272.03597395774966,-5.312097808518366e-07,241.5767074247197,-5.770508839278243e-07,422.0600933037279,-3.054239395754019e-07
282.42080510835365,-5.155806416969148e-07,240.66012640441335,-5.784303355631355e-07,416.821528883745,-3.133079630231178e-07
274.723014625592,-5.271657928559221e-07,251.5500670993173,-5.620410080872046e-07,423.2183051553697,-3.036808342771385e-07
272.2611258782559,-5.308709278993372e-07,237.0331954507498,-5.838888555677484e-07,414.6877636223646,-3.165192732226212e-07
264.39134268155175,-5.427149275673722e-07,250.3637852941154,-5.638263585798194e-07,418.8489876919167,-3.1025664371091684e-07
263.4979092153124,-5.440595422045305e-07,240.47324071640583,-5.787115979526315e-07,409.7222474084858,-3.239923599543409e-07
282.4466872973954,-5.155416890814801e-07,256.91191325775856,-5.539714459997474e-07,428.1743416949335,-2.9622201442630124e-07
284.34755652107447,-5.126808867071958e-07,268.3795387779361,-5.367127046266669e-07,442.10387432222,-2.752581103784035e-07
281.983650927997,-5.162385574028003e-07,261.9410174343801,-5.464026595783673e-07,438.76120115422015,-2.8028882328403e-07
295.78196411839343,-4.954721382065333e-07,285.6418660126983,-5.107329548765518e-07,454.4884514523056,-2.56619359633794e-07
249.23978526536072,-5.655179751891583e-07,289.5502406833854,-5.048508629376582e-07,470.056744090647,-2.331891267758406e-07
245.56344253416088,-5.71050859768005e-07,279.63539890864064,-5.197726695177781e-07,477.68217180502216,-2.2171288136217923e-07
240.61771596053816,-5.784941631515993e-07,274.5170220751911,-5.274758110149468e-07,476.6220868025577,-2.233083060522183e-07
235.7214173128013,-5.858630776577423e-07,275.39692016418905,-5.261515670791851e-07,480.1774747805079,-2.179574580074834e-07
238.96675574195032,-5.80978853236719e-07,280.9353905924498,-5.178161860052548e-07,482.6708091661399,-2.142049973745024e-07
223.16306573273988,-6.047633584186668e-07,270.76098104567114,-5.33128641289279e-07,477.9779726938996,-2.212677019281214e-07
225.7481235312082,-6.008728543295921e-07,270.3405117866732,-5.337614462394938e-07,468.675480333041,-2.352679245111332e-07
228.54389954977,-5.966652199630427e-07,268.77264351825744,-5.361210831934589e-07,471.9234373184773,-2.303797591708976e-07
219.98807577026489,-6.095417086122678e-07,270.33185508931035,-5.337744745425777e-07,468.22669292270285,-2.359433481926e-07
223.60136398402653,-6.04103720889527e-07,271.7525499060635,-5.316363331837346e-07,467.50537430982126,-2.3702893050128398e-07
220.7191565952449,-6.084414342042006e-07,263.9492691611719,-5.433802468649634e-07,475.2848173564892,-2.2532089248305507e-07
231.83858826594863,-5.9170672351081e-07,266.0545106006495,-5.402118649302804e-07,465.6234509225074,-2.398612194497196e-07
231.11372682258863,-5.927976377685397e-07,259.7974243013973,-5.496287606946066e-07,476.54812865593465,-2.2341961283693657e-07
233.2425611310392,-5.895937486381315e-07,260.8459269948416,-5.480507673442579e-07,473.4781158787462,-2.2803997268739757e-07
234.4954321734924,-5.877081815468907e-07,268.0798059215824,-5.371638016597641e-07,475.3291101826374,-2.25254231915021e-07
