name,x_centroid_64,x_std_64,x_skewness_64,x_kurtosis_64,x_roll_on_64,x_roll_off_64,x_flux_64,x_noisiness_64,x_energy_64,x_entropy_64,x_negentropy_64,y_centroid_64,y_std_64,y_skewness_64,y_kurtosis_64,y_roll_on_64,y_roll_off_64,y_flux_64,y_noisiness_64,y_energy_64,y_entropy_64,y_negentropy_64,z_centroid_64,z_std_64,z_skewness_64,z_kurtosis_64,z_roll_on_64,z_roll_off_64,z_flux_64,z_noisiness_64,z_energy_64,z_entropy_64,z_negentropy_64,x_centroid_256,x_std_256,x_skewness_256,x_kurtosis_256,x_roll_on_256,x_roll_off_256,x_flux_256,x_noisiness_256,x_energy_256,x_entropy_256,x_negentropy_256,y_centroid_256,y_std_256,y_skewness_256,y_kurtosis_256,y_roll_on_256,y_roll_off_256,y_flux_256,y_noisiness_256,y_energy_256,y_entropy_256,y_negentropy_256,z_centroid_256,z_std_256,z_skewness_256,z_kurtosis_256,z_roll_on_256,z_roll_off_256,z_flux_256,z_noisiness_256,z_energy_256,z_entropy_256,z_negentropy_256,x_centroid_1024,x_std_1024,x_skewness_1024,x_kurtosis_1024,x_roll_on_1024,x_roll_off_1024,x_flux_1024,x_noisiness_1024,x_energy_1024,x_entropy_1024,x_negentropy_1024,y_centroid_1024,y_std_1024,y_skewness_1024,y_kurtosis_1024,y_roll_on_1024,y_roll_off_1024,y_flux_1024,y_noisiness_1024,y_energy_1024,y_entropy_1024,y_negentropy_1024,z_centroid_1024,z_std_1024,z_skewness_1024,z_kurtosis_1024,z_roll_on_1024,z_roll_off_1024,z_flux_1024,z_noisiness_1024,z_energy_1024,z_entropy_1024,z_negentropy_1024,x_centroid_4096,x_std_4096,x_skewness_4096,x_kurtosis_4096,x_roll_on_4096,x_roll_off_4096,x_flux_4096,x_noisiness_4096,x_energy_4096,x_entropy_4096,x_negentropy_4096,y_centroid_4096,y_std_4096,y_skewness_4096,y_kurtosis_4096,y_roll_on_4096,y_roll_off_4096,y_flux_4096,y_noisiness_4096,y_energy_4096,y_entropy_4096,y_negentropy_4096,z_centroid_4096,z_std_4096,z_skewness_4096,z_kurtosis_4096,z_roll_on_4096,z_roll_off_4096,z_flux_4096,z_noisiness_4096,z_energy_4096,z_entropy_4096,z_negentropy_4096
k5_3.tsv.part.0,1394.1389315812137,0.3812856706676018,4.171886365359732,17.321520619284144,781.2499999999999,1562.4999999999998,0.0368889549833333,0.31593127329829784,5.276349886511105,1.492378961039578,-0.9849276300711838,1468.8085596783126,0.9179173052139867,4.184280576493586,17.377776865958865,781.2499999999999,1562.4999999999998,0.03462285193457337,0.3158113593323924,30.578052268720164,1.5220149633966975,-1.2672506399446637,6734.087353781652,0.0030778644229297464,2.823291407196605,8.281370980079755,781.2499999999999,8593.749999999998,0.22617166672586841,0.6983379280559563,0.0004650731076307241,2.8324276587920907,-2.624792249780288,1562.5378866440483,0.17057996275766124,9.483154571874735,95.02286604193029,781.2499999999999,976.5624999999999,0.00030458896677428536,0.15373779498073725,3.8422975951623157,1.6735064535016964,-1.8965896334988603,1648.1203896298014,0.4107110078988657,9.503066616597968,95.30793865668706,781.2499999999999,976.5624999999999,0.0006692289049413625,0.1536826900452592,22.27411549149262,1.7059994546716508,-1.6983505455657586,6717.136623433793,0.0012906188750051297,6.306713430830814,50.694210434542065,781.2499999999999,8593.749999999998,0.08116190086811115,0.4257271671542045,0.0002538196325322211,3.703736236219117,-2.83757765052178,1563.2822626418035,0.08451754466620207,17.253554186406117,314.1805120310803,927.7343749999999,976.5624999999999,0.00039578642152214165,0.07806237403286548,3.6867997809622013,1.6779276010433184,-2.40287042690866,1646.5685993771938,0.20382652878203342,17.29198802439272,315.22366759212537,927.7343749999999,976.5624999999999,0.0005016338043078684,0.07804311750006457,21.442525172888143,1.713994177230205,-2.4038806930966667,6650.066568730828,0.0006154158488293191,12.60061652652543,195.77948689794684,927.7343749999999,1953.1249999999998,0.060594085491457714,0.22573944744282892,0.00020419269524886595,4.29466875111855,-3.093455905719923,1561.623986529909,0.04322469975445918,37.802918956239715,1535.7647454415076,952.1484374999999,964.3554687499999,0.0003367156233310131,0.038286707645956444,3.8339114937657848,1.684672866382781,-2.135772063168016,1646.7948220077951,0.10401823077468521,37.94849148024884,1545.2532707400246,952.1484374999999,964.3554687499999,0.0004761515423901963,0.03820366441181192,22.202111690842276,1.7218656705610984,-2.2062451688236826,6457.093531558205,0.0003098001395153201,28.82129394100175,1015.9075743888313,952.1484374999999,1928.7109374999998,0.0572896548475465,0.11733819095445831,0.00019936267963858442,4.88823075608184,-2.6833456489695435
k5_3.tsv.part.1,1399.242201529159,0.3769807780874478,4.168593061149207,17.291663482507523,781.2499999999999,1562.4999999999998,0.03767625087890909,0.31641676125998724,5.159317347686375,1.4971827280506602,-0.9851155137196109,1482.9873542936014,0.9157446288383518,4.1793152422031365,17.336427924198386,781.2499999999999,1562.4999999999998,0.0352913585893399,0.31701220639657934,30.454499039284755,1.5312747890128215,-1.271945742708687,6571.526523368108,0.0032943967042039415,2.8299534619794318,8.244172015842524,781.2499999999999,8593.749999999998,0.22204438554827188,0.6781721543666444,0.000522870374051228,2.8023016779732752,-2.6519819615553306,1568.1229174750383,0.1685974408650705,9.480481590138275,94.97880966053829,781.2499999999999,976.5624999999999,0.0003357877565512979,0.1540224168807503,3.7538255593603242,1.681508029165166,-1.6947972881117392,1668.2997465497976,0.40950553885765884,9.495155040205903,95.18643405109401,781.2499999999999,976.5624999999999,0.0008557122098192083,0.15448324068549582,22.148891643695126,1.722773795684335,-1.6992676785831355,6464.568992627916,0.0013730667713893533,6.008166746318767,46.369163729087475,781.2499999999999,8593.749999999998,0.08867532533717684,0.42545948864452854,0.0002872292894575013,3.678867882244743,-2.797091110742385,1568.5511018786124,0.08366430113563006,17.270770294646642,314.82286359027603,927.7343749999999,976.5624999999999,0.0005401556589404624,0.07809111811180519,3.6127517680708583,1.6839301641398698,-2.669668541608413,1666.9836148795641,0.2028997243210902,17.303785410282746,315.8537051564255,927.7343749999999,976.5624999999999,0.0005697824899831968,0.07839135532873463,21.249119586781852,1.7311823080562507,-2.6095783334791314,6379.967449408363,0.0006345325412443849,12.556338590336866,195.33963217375464,927.7343749999999,1953.1249999999998,0.06670799960521878,0.23305130741951854,0.00021776831407573443,4.330622692102708,-2.875732381620504,1568.81435432946,0.042824918270245975,37.845129485135125,1539.1639502769006,952.1484374999999,964.3554687499999,0.00037322287242837204,0.03834339003976457,3.763336750934546,1.6959600318432027,-1.7502481422447476,1671.878323947263,0.10379135103544651,37.94112683597218,1545.4278034022645,952.1484374999999,964.3554687499999,0.0005644503459250327,0.0384241238339333,22.105737772584998,1.7440665298429967,-1.7038614236565197,6376.040689237358,0.00031768593732752685,29.13938222859707,1038.9342826542793,952.1484374999999,1928.7109374999998,0.0600666943629639,0.11927360933880546,0.00020973589451529914,4.912464702333946,-2.774280692331612
k5_3.tsv.part.2,1388.6580059369899,0.38116232777895803,4.172899716040084,17.32818554456852,781.2499999999999,1562.4999999999998,0.03713565920457064,0.3155778316865684,5.271866607247912,1.490753985906865,-0.9847247826240949,1471.5278648030423,0.9202448636377485,4.182225312430911,17.360725633682584,781.2499999999999,1562.4999999999998,0.03468639855701537,0.31614501984941323,30.739214790650497,1.5239843616639754,-1.27020293343286,6558.450077250105,0.0031962825144403284,2.937795410242857,9.020030789301684,781.2499999999999,8593.749999999998,0.22049755344012004,0.6829323252511679,0.000494374078342432,2.821399374114548,-2.59635747716148,1557.2217476752035,0.17047310845839347,9.483998921664176,95.02819172149769,781.2499999999999,976.5624999999999,0.0003312875917865697,0.15358031540351946,3.8373039048318294,1.6740433105206942,-1.8958188490344128,1651.6721829445507,0.4118230637386008,9.499423681547025,95.25031067599112,781.2499999999999,976.5624999999999,0.0006877393854759146,0.15388398717836216,22.396253703557097,1.7091018121238046,-1.6989163914964822,6579.603610434397,0.0013590266889129332,6.473720347800961,52.56506120857891,781.2499999999999,8593.749999999998,0.08237119305324225,0.4105182600025391,0.0002784093264943702,3.670813920160496,-2.69632364649029,1558.5744974208096,0.08414127631924416,17.290757234416322,315.62557153613847,927.7343749999999,976.5624999999999,0.0004785225346317172,0.07792517447566134,3.6539681878182404,1.6779754314962478,-2.672211906882883,1656.0846467310766,0.2035292804348967,17.320156315806113,316.29324419512596,927.7343749999999,976.5624999999999,0.0005233666583004409,0.07807439471699575,21.380133563475816,1.7189278800467371,-2.46570207651586,6525.0149100469225,0.0006448542109232774,12.768756104988409,199.58144495443273,927.7343749999999,1953.1249999999998,0.0633054245213087,0.22353114024488668,0.00022398335829716372,4.291186429770507,-3.0092105976719776,1557.1359953610086,0.043107016448936976,37.91867962981656,1545.1332380889266,952.1484374999999,964.3554687499999,0.0003961299169887994,0.03827081344881764,3.8130589112976487,1.6924382594023666,-1.7315804103914254,1662.1921214999386,0.1040218589786232,38.01620591926796,1551.200823285194,952.1484374999999,964.3554687499999,0.0004440835941754845,0.038319017020861115,22.203856265768742,1.732001302596802,-1.7269960249580607,6458.342865989238,0.00032544781342051267,29.310916317669097,1043.0507593082505,952.1484374999999,1928.7109374999998,0.05144060648337545,0.11155597925503861,0.000219723243487817,4.81519939268285,-2.622446484131142
k5_3.tsv.part.3,1388.3012381456565,0.38017373411133815,4.1718376328633715,17.3138657668416,781.2499999999999,1562.4999999999998,0.03746522467551257,0.3154687377824335,5.244227186086671,1.4909237901981578,-0.9841315056517781,1464.2375529423734,0.924554687805889,4.180677827850131,17.34258039206005,781.2499999999999,1562.4999999999998,0.03518761412446699,0.3155763865509978,31.017680734523935,1.519160321864479,-1.2669322535117487,6421.5909455286455,0.0033300614902761513,2.9719692082554765,9.296991298292655,781.2499999999999,8593.749999999998,0.2186392459020873,0.673971883604981,0.0005321743818129733,2.8052984424014564,-2.5779327350626478,1555.5438724053915,0.16998797709274216,9.48769147274254,95.08887514855444,781.2499999999999,976.5624999999999,0.00031878158409072774,0.1534893310803153,3.8153904849302918,1.6744828682331665,-1.8954226290128604,1646.4286591173743,0.41350168489418043,9.503972936249939,95.31818207824914,781.2499999999999,976.5624999999999,0.0008081335452438262,0.15365969143126418,22.577681863787856,1.7085253870259878,-1.6988968169714682,6367.504294452745,0.001408893287391984,6.557115193059693,54.094275716820874,781.2499999999999,6640.624999999999,0.08909318993609894,0.4117984990305313,0.00029948501858001556,3.671813846165664,-2.6549958518268033,1553.415070504324,0.08448428981963198,17.286050132629153,315.40711287701015,927.7343749999999,976.5624999999999,0.0004848068226229822,0.07788551953775819,3.683798098358814,1.6771558865180196,-2.2909431909806663,1645.7711015056493,0.2048762707918128,17.32504988219346,316.40191166512307,927.7343749999999,976.5624999999999,0.0004939003814654489,0.07791433971814082,21.663526913388054,1.715587792468884,-2.136365908772708,6276.575788293622,0.000670223362310685,13.224241910762732,212.80023015993388,927.7343749999999,1904.2968749999998,0.057721398078318144,0.22161493459863796,0.0002417568744506276,4.294000853669526,-3.042790748321899,1553.1513618935749,0.04313076371828497,38.040887278482394,1553.9195153387336,952.1484374999999,964.3554687499999,0.000512096927105854,0.038114548660572796,3.8172157310076074,1.6831058474164173,-1.7645058515524275,1640.3580096546457,0.10483827814036084,38.06034451174618,1554.4055648192827,952.1484374999999,964.3554687499999,0.0004977389762435142,0.03814323208228774,22.553456782823393,1.7207725265545464,-1.7128864702866864,6183.060798295852,0.0003420075236210959,30.097124130138518,1086.7972956050319,952.1484374999999,1928.7109374999998,0.04906974767051826,0.10834026676903992,0.00024248293182043066,4.777573185531424,-2.511142304558549
k5_3.tsv.part.4,1382.7641385491688,0.38368755313623437,4.174448714170854,17.333034285123105,781.2499999999999,1562.4999999999998,0.036921614291331464,0.31483466184591996,5.339674867291793,1.4857799029328018,-0.982561150006002,1475.2775235426132,0.9237271501422271,4.181234896967463,17.349573458248237,781.2499999999999,1562.4999999999998,0.03502992179054279,0.3163274342469169,30.975543316915637,1.5264921708968202,-1.2682505885513875,6699.784296295371,0.003187337741531442,2.756192218850747,7.8276019813782725,781.2499999999999,8593.749999999998,0.2284971709924825,0.7020152257445854,0.0005004712333564877,2.8328876078318923,-2.6610793849515817,1549.4441338386464,0.17162879796505473,9.49009893136878,95.12099417393208,781.2499999999999,976.5624999999999,0.0003045988233168394,0.1531335878117602,3.888988134065756,1.666433206214364,-1.8945129152701152,1656.0408698031545,0.4131828026006378,9.50600368404127,95.3656119595052,781.2499999999999,976.5624999999999,0.0006863577240698473,0.1539703807724008,22.544977478606146,1.7155406495290617,-1.6990413091987697,6635.5075961754765,0.001334574849880859,6.034658717712862,46.97643924957252,781.2499999999999,8593.749999999998,0.07969938082596884,0.43288757771150305,0.0002728158355323946,3.701727832588005,-2.7626421241763843,1549.4366179704198,0.08498277982694302,17.29279797963833,315.63655955262175,927.7343749999999,976.5624999999999,0.0003599750982231005,0.07776879655473319,3.727330704521782,1.6716478479068404,-2.633822846211777,1654.5557594555728,0.20479198303386567,17.331019527062853,316.8154982417175,927.7343749999999,976.5624999999999,0.000544617939596215,0.07811147832900231,21.646367255686116,1.7226072293595907,-2.2585845005114673,6570.527817896008,0.0006320148220209317,12.426854969683212,190.75536276747374,927.7343749999999,1953.1249999999998,0.06840518812655091,0.23206394078386233,0.00021594950128900716,4.330304220889164,-3.088291702639195,1549.4217540221796,0.043460963058015105,37.963696734842124,1548.2169989529045,952.1484374999999,964.3554687499999,0.00034944289526459005,0.038128653598978775,3.875891098270937,1.6785536874380216,-1.832653218785752,1649.2691434723754,0.10472516522809247,37.99792396410902,1549.8564521681517,952.1484374999999,964.3554687499999,0.00042672505916649395,0.038269315613714425,22.505032447361778,1.7275188530162702,-1.8896055999910748,6620.669928082232,0.0003218566471713139,29.401480376950328,1048.6422733866045,952.1484374999999,1928.7109374999998,0.047071242443008504,0.11070716313526771,0.00021486086330468372,4.807738568717539,-2.7363246785331894
