rpm_limit,target,placement,online,domain,count,mean,std,min,25%,50%,75%,max
False,fault,A,False,temporal,120.0,0.851051427933958,0.032624333806970496,0.7829651941097724,0.8260542168674698,0.8557145247657296,0.8780747991967872,0.9105589022757697
False,fault,A,False,spectral,165.0,0.9097617743702082,0.032935573499688314,0.8360107095046854,0.8885542168674698,0.9091365461847389,0.9339859437751004,0.9749832663989291
False,fault,B,False,temporal,120.0,0.8025462962962965,0.02431161049293909,0.7338520749665328,0.7941139558232931,0.809278781793842,0.8198627844712182,0.8369310575635877
False,fault,B,False,spectral,165.0,0.8333951969494141,0.03114969858718248,0.7698293172690763,0.8091532797858099,0.8311579651941098,0.8553380187416332,0.9067101740294511
False,anomaly_60,A,False,temporal,120.0,0.8307048984468339,0.029831077177879646,0.7765830346475507,0.8068623058542413,0.8322879330943848,0.857078853046595,0.9002389486260454
False,anomaly_60,A,False,spectral,165.0,0.8730205278592372,0.03101276956619256,0.7971923536439666,0.8540919952210275,0.8764934289127837,0.8975507765830346,0.9407108721624851
False,anomaly_60,B,False,temporal,120.0,0.7822214701163258,0.015760110731340624,0.7397713598074609,0.769629963898917,0.786251504211793,0.7943742478941035,0.8065583634175691
False,anomaly_60,B,False,spectral,165.0,0.8089997447398171,0.023177315684121107,0.7596269554753309,0.7922683513838749,0.8062575210589651,0.825812274368231,0.8616125150421179
False,anomaly_90,A,False,temporal,120.0,0.9181854455311057,0.020969606891375014,0.8730643846780766,0.9050020374898126,0.9187041564792175,0.9362011002444988,0.9558883455582722
False,anomaly_90,A,False,spectral,165.0,0.9451124941344993,0.019746392453458245,0.9007742461287693,0.9303178484107579,0.9475346373268133,0.9597595762021189,0.9817644661776691
False,anomaly_90,B,False,temporal,120.0,0.8909661306042885,0.00833149024129396,0.8706140350877193,0.8843984962406015,0.891499582289056,0.8964337928153718,0.9085213032581454
False,anomaly_90,B,False,spectral,165.0,0.9133104225209487,0.015537108856137022,0.8770885547201337,0.9022556390977443,0.9137426900584795,0.924812030075188,0.9494569757727652
True,fault,A,False,temporal,120.0,0.8705864643545278,0.03237021690935814,0.7928709055876686,0.8542268786127167,0.8745183044315993,0.8969171483622351,0.921242774566474
True,fault,A,False,spectral,165.0,0.9327582180183337,0.030092407158805904,0.8526011560693642,0.9089595375722543,0.933766859344894,0.9544797687861272,0.9898843930635838
True,fault,B,False,temporal,120.0,0.8787170841361593,0.030396939713678774,0.7863680154142582,0.8705443159922929,0.8878853564547207,0.9000481695568401,0.9248554913294798
True,fault,B,False,spectral,165.0,0.897058737665674,0.03565501645990532,0.8145472061657033,0.8740366088631984,0.8971579961464354,0.9222061657032755,0.9744701348747592
True,anomaly_60,A,False,temporal,120.0,0.8700179597701149,0.02731969953811193,0.8129310344827586,0.8487068965517242,0.8713362068965518,0.8969827586206897,0.9215517241379311
True,anomaly_60,A,False,spectral,165.0,0.9056713688610241,0.027342590173219175,0.8362068965517241,0.881896551724138,0.9086206896551724,0.9267241379310345,0.9581896551724138
True,anomaly_60,B,False,temporal,120.0,0.85656432748538,0.022961430616712304,0.7802631578947369,0.8449561403508772,0.8592105263157894,0.8755482456140351,0.8912280701754386
True,anomaly_60,B,False,spectral,165.0,0.8692902711323764,0.02417349251344068,0.8179824561403509,0.8526315789473684,0.868859649122807,0.8868421052631579,0.9223684210526316
True,anomaly_90,A,False,temporal,120.0,0.9427546838407495,0.018496560609701274,0.892271662763466,0.9326697892271663,0.9465749414519906,0.9558694379391101,0.9718969555035128
True,anomaly_90,A,False,spectral,165.0,0.9643957135760414,0.0202352572949958,0.9019320843091335,0.9528688524590164,0.9686768149882904,0.9795081967213115,0.9976580796252927
True,anomaly_90,B,False,temporal,120.0,0.9352729885057471,0.013809890284435987,0.9002463054187192,0.9279556650246306,0.9393472906403941,0.9455818965517241,0.9568965517241379
True,anomaly_90,B,False,spectral,165.0,0.9528026571130019,0.0156784023859564,0.9070197044334976,0.9448891625615764,0.9532019704433498,0.9636699507389163,0.9809113300492611
