x y z t
-0.171 -0.055 10.013 5
-0.171 -0.055 10.013 5
-0.171 -0.055 10.013 5
-0.171 -0.055 10.013 5
-0.19 0.049 9.812 5
-0.19 0.049 9.812 5
-0.19 0.049 9.812 5
-0.19 0.049 9.812 5
0.24 0.126 10.109 5
0.24 0.126 10.109 5
0.24 0.126 10.109 5
0.24 0.126 10.109 5
-0.028 0.116 9.104 5
-0.028 0.116 9.104 5
-0.028 0.116 9.104 5
-0.028 0.116 9.104 5
-0.277 -0.103 9.496 5
-0.277 -0.103 9.496 5
-0.277 -0.103 9.496 5
-0.277 -0.103 9.496 5
-0.104 0.001 9.448 5
-0.104 0.001 9.448 5
-0.104 0.001 9.448 5
-0.104 0.001 9.448 5
-0.095 0.059 8.998 5
-0.095 0.059 8.998 5
-0.095 0.059 8.998 5
-0.095 0.059 8.998 5
-0.19 0.001 9.554 5
-0.19 0.001 9.554 5
-0.19 0.001 9.554 5
-0.19 0.001 9.554 5
-0.248 0.059 10.186 5
-0.248 0.059 10.186 5
-0.248 0.059 10.186 5
-0.248 0.059 10.186 5
0.192 0.174 10.272 5
0.192 0.174 10.272 5
0.192 0.174 10.272 5
0.192 0.174 10.272 5
-0.143 0.049 9.611 5
-0.143 0.049 9.611 5
-0.143 0.049 9.611 5
-0.047 0.03 9.381 5
-0.047 0.03 9.381 5
-0.047 0.03 9.381 5
-0.047 0.03 9.381 5
-0.229 -0.017 9.477 5
-0.229 -0.017 9.477 5
-0.229 -0.017 9.477 5
-0.229 -0.017 9.477 5
-0.104 0.001 8.816 5
-0.104 0.001 8.816 5
-0.104 0.001 8.816 5
-0.104 0.001 8.816 5
0.01 0.068 8.318 5
0.01 0.068 8.318 5
0.01 0.068 8.318 5
0.01 0.068 8.318 5
-0.133 0.078 11.076 5
-0.133 0.078 11.076 5
-0.133 0.078 11.076 5
-0.133 0.078 11.076 5
0.058 -0.046 10.253 5
0.058 -0.046 10.253 5
0.058 -0.046 10.253 5
0.058 -0.046 10.253 5
-0.439 0.164 8.778 5
-0.439 0.164 8.778 5
-0.439 0.164 8.778 5
-0.439 0.164 8.778 5
0.287 -0.036 10.013 5
0.287 -0.036 10.013 5
0.287 -0.036 10.013 5
0.287 -0.036 10.013 5
-0.037 -0.132 9.544 5
-0.037 -0.132 9.544 5
-0.037 -0.132 9.544 5
-0.037 -0.132 9.544 5
-0.19 0.212 8.127 5
-0.19 0.212 8.127 5
-0.19 0.212 8.127 5
-0.19 0.212 8.127 5
0.058 0.068 10.569 5
0.058 0.068 10.569 5
0.058 0.068 10.569 5
0.058 0.068 10.569 5
-0.439 -0.161 9.908 5
-0.439 -0.161 9.908 5
-0.439 -0.161 9.908 5
-0.439 -0.161 9.908 5
-0.104 0.078 9.209 5
-0.104 0.078 9.209 5
-0.104 0.078 9.209 5
-0.104 0.078 9.209 5
-0.047 0.078 10.377 5
-0.047 0.078 10.377 5
-0.047 0.078 10.377 5
-0.257 0.04 9.132 5
-0.257 0.04 9.132 5
-0.257 0.04 9.132 5
-0.257 0.04 9.132 5
0.01 -0.161 9.678 5
0.01 -0.161 9.678 5
0.01 -0.161 9.678 5
0.01 -0.161 9.678 5
0.058 0.202 8.232 5
0.058 0.202 8.232 5
0.058 0.202 8.232 5
0.058 0.202 8.232 5
0.019 0.011 10.866 5
0.019 0.011 10.866 5
0.019 0.011 10.866 5
0.019 0.011 10.866 5
-0.621 0.011 9.477 5
-0.621 0.011 9.477 5
-0.621 0.011 9.477 5
-0.621 0.011 9.477 5
0.086 -0.084 9.831 5
0.086 -0.084 9.831 5
0.086 -0.084 9.831 5
0.086 -0.084 9.831 5
-0.162 0.059 9.42 5
-0.162 0.059 9.42 5
-0.162 0.059 9.42 5
-0.162 0.059 9.42 5
0.048 0.097 9.496 5
0.048 0.097 9.496 5
0.048 0.097 9.496 5
0.048 0.097 9.496 5
-0.028 0.02 9.391 5
-0.028 0.02 9.391 5
-0.028 0.02 9.391 5
-0.028 0.02 9.391 5
-0.143 -0.046 9.008 5
-0.143 -0.046 9.008 5
-0.143 -0.046 9.008 5
-0.143 -0.046 9.008 5
-0.075 -0.036 10.329 5
-0.075 -0.036 10.329 5
-0.075 -0.036 10.329 5
-0.075 -0.036 10.329 5
-0.133 0.183 9.659 5
-0.133 0.183 9.659 5
-0.133 0.183 9.659 5
-0.133 0.183 9.659 5
-0.372 -0.065 10.349 5
-0.372 -0.065 10.349 5
-0.372 -0.065 10.349 5
-0.095 0.02 8.941 5
-0.095 0.02 8.941 5
-0.095 0.02 8.941 5
-0.095 0.02 8.941 5
0.335 0.04 10.052 5
0.335 0.04 10.052 5
0.335 0.04 10.052 5
0.335 0.04 10.052 5
-0.238 0.011 9.391 5
-0.238 0.011 9.391 5
-0.238 0.011 9.391 5
-0.238 0.011 9.391 5
-0.047 -0.017 9.458 5
-0.047 -0.017 9.458 5
-0.047 -0.017 9.458 5
-0.047 -0.017 9.458 5
-0.181 -0.017 8.768 5
-0.181 -0.017 8.768 5
-0.181 -0.017 8.768 5
-0.181 -0.017 8.768 5
-0.018 0.078 9.879 5
-0.018 0.078 9.879 5
-0.018 0.078 9.879 5
-0.018 0.078 9.879 5
-0.229 0.04 9.659 5
-0.229 0.04 9.659 5
-0.229 0.04 9.659 5
-0.229 0.04 9.659 5
-0.037 0.011 9.736 5
-0.037 0.011 9.736 5
-0.037 0.011 9.736 5
-0.037 0.011 9.736 5
-0.133 0.03 9.803 5
-0.133 0.03 9.803 5
-0.133 0.03 9.803 5
-0.133 0.03 9.803 5
-0.075 0.164 9.468 5
-0.075 0.164 9.468 5
-0.075 0.164 9.468 5
-0.075 0.164 9.468 5
0.153 -0.18 10.033 5
0.153 -0.18 10.033 5
0.153 -0.18 10.033 5
0.153 -0.18 10.033 5
-0.123 0.078 8.989 5
-0.123 0.078 8.989 5
-0.123 0.078 8.989 5
-0.123 0.078 8.989 5
-0.238 0.087 9.391 5
-0.238 0.087 9.391 5
-0.238 0.087 9.391 5
0.173 0.001 10.004 5
0.173 0.001 10.004 5
0.173 0.001 10.004 5
0.173 0.001 10.004 5
-0.238 0.078 9.477 5
-0.238 0.078 9.477 5
-0.238 0.078 9.477 5
-0.238 0.078 9.477 5
-0.152 -0.036 9.161 5
-0.152 -0.036 9.161 5
-0.152 -0.036 9.161 5
-0.152 -0.036 9.161 5
0.192 0.078 10.339 5
0.192 0.078 10.339 5
0.192 0.078 10.339 5
0.192 0.078 10.339 5
-0.133 -0.007 8.902 5
-0.133 -0.007 8.902 5
-0.133 -0.007 8.902 5
-0.133 -0.007 8.902 5
-0.123 -0.036 9.582 5
-0.123 -0.036 9.582 5
-0.123 -0.036 9.582 5
-0.123 -0.036 9.582 5
0.115 0.078 8.97 5
0.115 0.078 8.97 5
0.115 0.078 8.97 5
0.115 0.078 8.97 5
-0.056 0.078 10.31 5
-0.056 0.078 10.31 5
-0.056 0.078 10.31 5
-0.056 0.078 10.31 5
-0.21 0.011 9.515 5
-0.21 0.011 9.515 5
-0.21 0.011 9.515 5
-0.21 0.011 9.515 5
0.173 -0.017 10.023 5
0.173 -0.017 10.023 5
0.173 -0.017 10.023 5
0.173 -0.017 10.023 5
-0.181 0.164 9.592 5
-0.181 0.164 9.592 5
-0.181 0.164 9.592 5
-0.181 0.164 9.592 5
-0.238 0.04 9.324 5
-0.238 0.04 9.324 5
-0.238 0.04 9.324 5
-0.238 0.04 9.324 5
0.364 -0.132 9.209 5
0.364 -0.132 9.209 5
0.364 -0.132 9.209 5
0.125 0.059 9.822 5
0.125 0.059 9.822 5
0.125 0.059 9.822 5
0.125 0.059 9.822 5
-0.334 0.078 9.008 5
-0.334 0.078 9.008 5
-0.334 0.078 9.008 5
-0.334 0.078 9.008 5
0.106 0.001 9.966 5
0.106 0.001 9.966 5
0.106 0.001 9.966 5
0.106 0.001 9.966 5
-0.439 -0.141 9.42 5
-0.439 -0.141 9.42 5
-0.439 -0.141 9.42 5
-0.439 -0.141 9.42 5
0.201 0.116 10.234 5
0.201 0.116 10.234 5
0.201 0.116 10.234 5
0.201 0.116 10.234 5
-0.104 0.107 9.084 5
-0.104 0.107 9.084 5
-0.104 0.107 9.084 5
-0.104 0.107 9.084 5
0.23 0.049 10.08 5
0.23 0.049 10.08 5
0.23 0.049 10.08 5
0.23 0.049 10.08 5
-0.056 -0.113 9.276 5
-0.056 -0.113 9.276 5
-0.056 -0.113 9.276 5
-0.056 -0.113 9.276 5
-0.037 0.049 9.017 5
-0.037 0.049 9.017 5
-0.037 0.049 9.017 5
-0.037 0.049 9.017 5
-0.075 0.078 9.812 5
-0.075 0.078 9.812 5
-0.075 0.078 9.812 5
-0.075 0.078 9.812 5
-0.305 0.049 9.86 5
-0.305 0.049 9.86 5
-0.305 0.049 9.86 5
-0.305 0.049 9.86 5
0.201 0.164 9.477 5
0.201 0.164 9.477 5
0.201 0.164 9.477 5
-0.037 0.145 10.157 5
-0.037 0.145 10.157 5
-0.037 0.145 10.157 5
-0.037 0.145 10.157 5
0.058 0.04 9.075 5
0.058 0.04 9.075 5
0.058 0.04 9.075 5
0.058 0.04 9.075 5
0.019 -0.141 10.157 5
0.019 -0.141 10.157 5
0.019 -0.141 10.157 5
0.019 -0.141 10.157 5
-0.2 0.02 8.883 5
-0.2 0.02 8.883 5
-0.2 0.02 8.883 5
-0.2 0.02 8.883 5
0.086 0.193 9.755 5
0.086 0.193 9.755 5
0.086 0.193 9.755 5
0.086 0.193 9.755 5
-0.047 0.087 9.142 5
-0.047 0.087 9.142 5
-0.047 0.087 9.142 5
-0.047 0.087 9.142 5
-0.152 0.059 10.387 5
-0.152 0.059 10.387 5
-0.152 0.059 10.387 5
-0.152 0.059 10.387 5
-0.085 -0.046 9.257 5
-0.085 -0.046 9.257 5
-0.085 -0.046 9.257 5
-0.085 -0.046 9.257 5
0.297 0.26 10.464 5
0.297 0.26 10.464 5
0.297 0.26 10.464 5
0.297 0.26 10.464 5
0.048 -0.036 9.4 5
0.048 -0.036 9.4 5
0.048 -0.036 9.4 5
0.048 -0.036 9.4 5
-0.152 -0.017 9.065 5
-0.152 -0.017 9.065 5
-0.152 -0.017 9.065 5
-0.152 -0.017 9.065 5
0.125 0.03 9.745 5
0.125 0.03 9.745 5
0.125 0.03 9.745 5
0.125 0.03 9.745 5
-0.114 0.097 9.525 5
-0.114 0.097 9.525 5
-0.114 0.097 9.525 5
-0.114 -0.074 9.554 5
-0.114 -0.074 9.554 5
-0.114 -0.074 9.554 5
-0.114 -0.074 9.554 5
0.096 0.059 10.186 5
0.096 0.059 10.186 5
0.096 0.059 10.186 5
0.096 0.059 10.186 5
-0.104 0.03 9.678 5
-0.104 0.03 9.678 5
-0.104 0.03 9.678 5
-0.104 0.03 9.678 5
0.106 0.174 9.688 5
0.106 0.174 9.688 5
0.106 0.174 9.688 5
0.106 0.174 9.688 5
0.24 -0.141 9.822 5
0.24 -0.141 9.822 5
0.24 -0.141 9.822 5
0.24 -0.141 9.822 5
-0.171 0.126 8.941 5
-0.171 0.126 8.941 5
-0.171 0.126 8.941 5
-0.171 0.126 8.941 5
-0.008 -0.094 9.381 5
-0.008 -0.094 9.381 5
-0.008 -0.094 9.381 5
-0.008 -0.094 9.381 5
-0.085 0.078 9.563 5
-0.085 0.078 9.563 5
-0.085 0.078 9.563 5
-0.085 0.078 9.563 5
0.144 -0.017 9.784 5
0.144 -0.017 9.784 5
0.144 -0.017 9.784 5
0.144 -0.017 9.784 5
-0.133 0.02 10.042 5
-0.133 0.02 10.042 5
-0.133 0.02 10.042 5
-0.133 0.02 10.042 5
0.23 0.155 9.841 5
0.23 0.155 9.841 5
0.23 0.155 9.841 5
0.23 0.155 9.841 5
-0.047 -0.189 9.717 5
-0.047 -0.189 9.717 5
-0.047 -0.189 9.717 5
0.163 0.059 9.717 5
0.163 0.059 9.362 5
0.163 0.059 9.362 5
0.163 0.059 9.362 5
0.048 0.126 8.95 5
0.048 0.126 8.95 5
0.048 0.126 8.95 5
0.048 0.126 8.95 5
-0.056 -0.074 9.937 5
-0.056 -0.074 9.937 5
-0.056 -0.074 9.937 5
-0.056 -0.074 9.937 5
-0.229 0.001 9.669 5
-0.229 0.001 9.669 5
-0.229 0.001 9.669 5
