Dátum;RMS X [mm/s];RMS Y [mm/s];RMS Z [mm/s]
24.12.2022 01:03:53;0,165;0,072;0,157
24.12.2022 02:03:52;0,176;0,075;0,17
24.12.2022 03:03:50;0,17;0,08;0,163
24.12.2022 04:03:53;0,097;0,082;0,168
24.12.2022 05:03:49;0,161;0,06;0,162
24.12.2022 06:03:51;0,156;0,071;0,187
24.12.2022 07:03:49;0,159;0,073;0,168
24.12.2022 08:03:50;0,162;0,071;0,168
24.12.2022 09:03:52;0,1;0,09;0,17
24.12.2022 10:03:49;0,092;0,1;0,166
24.12.2022 11:03:51;0,144;0,065;0,171
24.12.2022 12:03:54;0,151;0,073;0,149
24.12.2022 13:03:52;0,155;0,062;0,168
24.12.2022 14:03:51;0,089;0,085;0,148
24.12.2022 15:03:53;0,168;0,09;0,173
24.12.2022 16:03:55;0,153;0,062;0,173
24.12.2022 17:03:50;0,164;0,065;0,185
24.12.2022 18:03:53;0,108;0,102;0,15
24.12.2022 19:03:53;0,166;0,062;0,18
24.12.2022 20:03:52;0,164;0,062;0,162
24.12.2022 21:03:47;0,159;0,064;0,177
24.12.2022 22:03:48;0,173;0,065;0,183
24.12.2022 23:03:50;0,168;0,065;0,156
25.12.2022 00:03:51;0,161;0,065;0,16
25.12.2022 01:03:52;0,155;0,063;0,167
25.12.2022 02:03:53;0,173;0,038;0,171
25.12.2022 03:03:51;0,17;0,061;0,172
25.12.2022 04:03:50;0,172;0,062;0,194
25.12.2022 05:03:51;0,151;0,061;0,197
25.12.2022 06:03:50;0,169;0,068;0,17
25.12.2022 07:03:51;0,167;0,056;0,185
25.12.2022 08:03:49;0,176;0,072;0,172
25.12.2022 09:03:50;0,154;0,054;0,172
25.12.2022 10:03:53;0,171;0,062;0,16
25.12.2022 11:03:51;0,176;0,081;0,174
25.12.2022 12:03:55;0,181;0,077;0,194
25.12.2022 13:03:52;0,182;0,073;0,177
25.12.2022 14:03:50;0,114;0,085;0,177
25.12.2022 15:03:50;0,169;0,055;0,165
25.12.2022 16:03:50;0,164;0,057;0,157
25.12.2022 17:03:50;0,083;0,088;0,178
25.12.2022 18:03:53;0,183;0,072;0,163
25.12.2022 19:03:52;0,185;0,072;0,175
25.12.2022 20:03:53;0,179;0,068;0,18
25.12.2022 21:03:50;0,181;0,06;0,155
25.12.2022 22:03:49;0,162;0,056;0,182
25.12.2022 23:03:49;0,178;0,052;0,167
26.12.2022 00:03:51;0,173;0,069;0,154
26.12.2022 01:03:50;0,172;0,059;0,166
26.12.2022 02:03:52;0,175;0,056;0,175
26.12.2022 03:03:52;0,184;0,062;0,156
26.12.2022 04:03:53;0,104;0,088;0,16
26.12.2022 05:03:50;0,076;0,088;0,14
26.12.2022 06:03:51;0,175;0,058;0,161
26.12.2022 07:03:52;0,172;0,052;0,154
26.12.2022 08:03:50;0,179;0,062;0,184
26.12.2022 09:03:51;0,16;0,059;0,174
26.12.2022 10:03:53;0,16;0,065;0,176
26.12.2022 11:03:53;0,169;0,048;0,162
26.12.2022 12:03:50;0,174;0,054;0,178
26.12.2022 13:03:52;0,173;0,062;0,19
26.12.2022 14:03:53;0,169;0,062;0,172
26.12.2022 15:03:52;0,171;0,044;0,16
26.12.2022 16:03:51;0,18;0,057;0,165
26.12.2022 17:03:52;0,16;0,063;0,174
26.12.2022 18:03:51;0,188;0,06;0,169
26.12.2022 19:03:54;0,161;0,05;0,176
26.12.2022 20:03:51;0,086;0,086;0,178
26.12.2022 21:03:52;0,088;0,092;0,146
26.12.2022 22:03:52;0,159;0,061;0,147
26.12.2022 23:03:50;0,171;0,059;0,176
27.12.2022 00:03:53;0,09;0,1;0,149
27.12.2022 01:03:49;0,175;0,057;0,153
27.12.2022 02:03:52;0,169;0,058;0,171
27.12.2022 03:03:50;0,164;0,057;0,165
27.12.2022 04:03:51;0,168;0,055;0,162
27.12.2022 05:03:51;0,161;0,056;0,191
27.12.2022 06:03:53;0,185;0,06;0,182
27.12.2022 07:03:52;0,18;0,058;0,177
27.12.2022 08:03:49;0,145;0,06;0,166
27.12.2022 09:03:49;0,155;0,056;0,165
27.12.2022 10:03:52;0,173;0,057;0,156
27.12.2022 11:03:53;0,166;0,061;0,153
27.12.2022 12:03:50;0,177;0,056;0,164
27.12.2022 13:03:52;0,182;0,052;0,168
27.12.2022 14:03:51;0,165;0,05;0,18
27.12.2022 15:03:53;0,188;0,061;0,176
27.12.2022 16:03:52;0,173;0,055;0,162
27.12.2022 17:03:51;0,165;0,058;0,182
27.12.2022 18:03:54;0,168;0,051;0,175
27.12.2022 19:03:53;0,18;0,07;0,163
27.12.2022 20:03:50;0,162;0,051;0,154
27.12.2022 21:03:51;0,165;0,05;0,172
27.12.2022 22:03:50;0,156;0,056;0,167
27.12.2022 23:03:50;0,153;0,064;0,169
28.12.2022 00:03:49;0,168;0,067;0,179
28.12.2022 01:03:51;0,154;0,068;0,175
28.12.2022 02:03:49;0,163;0,064;0,176
28.12.2022 03:03:52;0,165;0,062;0,169
28.12.2022 04:03:52;0,169;0,064;0,179
28.12.2022 05:03:52;0,146;0,054;0,172
28.12.2022 06:03:54;0,164;0,077;0,166
28.12.2022 07:03:50;0,164;0,057;0,175
28.12.2022 08:03:53;0,185;0,06;0,166
28.12.2022 09:03:52;0,17;0,06;0,153
28.12.2022 10:03:52;0,166;0,053;0,156
28.12.2022 11:03:52;0,096;0,098;0,172
28.12.2022 12:03:50;0,155;0,059;0,16
28.12.2022 13:03:49;0,182;0,062;0,169
28.12.2022 14:03:53;0,096;0,103;0,157
28.12.2022 15:03:50;0,185;0,116;0,181
28.12.2022 16:03:49;0,185;0,056;0,173
28.12.2022 17:03:52;0,17;0,065;0,167
28.12.2022 18:03:50;0,158;0,066;0,171
28.12.2022 19:03:54;0,186;0,054;0,156
28.12.2022 20:03:54;0,182;0,055;0,158
28.12.2022 21:03:52;0,175;0,063;0,16
28.12.2022 22:03:51;0,184;0,063;0,166
28.12.2022 23:03:52;0,16;0,057;0,148
29.12.2022 00:03:51;0,164;0,057;0,153
29.12.2022 01:03:50;0,183;0,054;0,171
29.12.2022 02:03:50;0,169;0,068;0,167
29.12.2022 03:03:53;0,177;0,054;0,169
29.12.2022 04:03:50;0,085;0,097;0,167
29.12.2022 05:03:49;0,159;0,062;0,18
29.12.2022 06:03:52;0,189;0,072;0,19
29.12.2022 07:03:50;0,156;0,059;0,171
29.12.2022 08:03:53;0,098;0,104;0,166
29.12.2022 09:03:50;0,17;0,062;0,158
29.12.2022 10:03:52;0,154;0,062;0,176
29.12.2022 11:03:50;0,159;0,077;0,162
29.12.2022 12:03:54;0,175;0,079;0,161
29.12.2022 13:03:52;0,096;0,086;0,145
29.12.2022 14:03:53;0,175;0,073;0,194
29.12.2022 15:03:53;0,166;0,059;0,167
29.12.2022 16:03:51;0,171;0,069;0,13
29.12.2022 17:03:52;0,165;0,059;0,169
29.12.2022 18:03:54;0,103;0,099;0,149
29.12.2022 19:03:52;0,148;0,054;0,167
29.12.2022 20:03:52;0,185;0,058;0,154
29.12.2022 21:03:50;0,161;0,059;0,172
29.12.2022 22:03:52;0,162;0,061;0,161
29.12.2022 23:03:49;0,105;0,08;0,163
30.12.2022 00:03:51;0,171;0,065;0,165
30.12.2022 01:03:51;0,105;0,08;0,146
30.12.2022 02:03:49;0,165;0,059;0,171
30.12.2022 03:03:49;0,172;0,054;0,167
30.12.2022 04:03:53;0,174;0,054;0,192
30.12.2022 05:03:50;0,111;0,078;0,163
30.12.2022 06:03:50;0,17;0,057;0,173
30.12.2022 07:03:49;0,179;0,068;0,159
30.12.2022 08:03:52;0,18;0,071;0,165
30.12.2022 09:03:52;0,111;0,072;0,158
30.12.2022 10:03:52;0,179;0,067;0,165
30.12.2022 11:03:49;0,163;0,054;0,153
30.12.2022 12:03:51;0,172;0,065;0,166
30.12.2022 13:03:52;0,166;0,057;0,16
30.12.2022 14:03:52;0,166;0,097;0,168
30.12.2022 15:03:54;0,175;0,053;0,158
30.12.2022 16:03:54;0,167;0,055;0,164
30.12.2022 17:03:52;0,175;0,058;0,169
30.12.2022 18:03:54;0,087;0,105;0,15
30.12.2022 19:03:53;0,149;0,06;0,15
30.12.2022 20:03:53;0,168;0,062;0,134
30.12.2022 21:03:49;0,167;0,066;0,162
30.12.2022 22:03:50;0,091;0,093;0,13
30.12.2022 23:03:51;0,176;0,067;0,173
31.12.2022 00:03:52;0,179;0,064;0,152
31.12.2022 01:03:53;0,181;0,05;0,183
31.12.2022 02:03:51;0,185;0,078;0,157
31.12.2022 03:03:52;0,17;0,068;0,163
31.12.2022 04:03:50;0,177;0,06;0,178
31.12.2022 05:03:52;0,094;0,092;0,155
31.12.2022 06:03:52;0,155;0,058;0,163
31.12.2022 07:03:50;0,168;0,058;0,173
31.12.2022 08:03:49;0,167;0,065;0,168
31.12.2022 09:03:51;0,116;0,075;0,179
31.12.2022 10:03:53;0,171;0,064;0,167
31.12.2022 11:03:52;0,083;0,088;0,175
31.12.2022 12:03:50;0,171;0,054;0,18
31.12.2022 13:03:52;0,182;0,055;0,164
31.12.2022 14:03:52;0,183;0,064;0,175
31.12.2022 15:03:51;0,187;0,063;0,156
31.12.2022 16:03:49;0,187;0,055;0,164
31.12.2022 17:03:50;0,178;0,051;0,174
31.12.2022 18:03:50;0,106;0,087;0,153
31.12.2022 19:03:53;0,181;0,096;0,156
31.12.2022 20:03:50;0,171;0,06;0,155
