name,x_std,x_skewness,x_kurtosis,x_rms,x_pp,x_crest,x_margin,x_impulse,x_shape,x_max,y_std,y_skewness,y_kurtosis,y_rms,y_pp,y_crest,y_margin,y_impulse,y_shape,y_max,z_std,z_skewness,z_kurtosis,z_rms,z_pp,z_crest,z_margin,z_impulse,z_shape,z_max
k3_1.tsv.part.0,1.3516040782635625,0.09298070527862426,-1.4035010541959116,1.3516040782635625,5.053491210937501,1.9750384213799295,2.37941441675887,2.1903866129337146,1.1090349378638034,2.669469985064341,2.19664578293539,0.2007473416907297,-0.7134390964415447,2.19664578293539,9.9393310546875,2.3786759291338297,3.348335676357291,2.885459988225512,1.2130530068785885,4.714222605985753,0.46601082691074863,-0.019468373499701427,-1.0131495500195122,0.46601082691074863,2.347119140624997,2.639252017761473,3.49115597854091,3.0843719279010107,1.1686538106796915,1.229920015222886
k3_1.tsv.part.1,1.3817102589494226,0.05634987046974534,-1.502597709486799,1.3817102589494226,5.005590820312499,1.8358172541426365,2.1553521600119527,2.00839548427457,1.0940062142582547,2.5365675336052402,2.189339589098365,0.20619824895474162,-0.7038904249083502,2.189339589098365,9.364526367187501,2.313533007370678,3.2174213942064642,2.792607759633357,1.2070749588341279,4.2994169634650765,0.5055305895390872,-0.019433510625813187,-1.084327663583749,0.5055305895390872,2.39501953125,2.4429941199475507,3.1837260400324583,2.832760016787165,1.1595443450547405,1.235008257697609
k3_1.tsv.part.2,1.3832153248007462,0.028044854173004525,-1.5232210530506152,1.3832153248007462,4.885839843749999,1.7867351484988772,2.0864730951483472,1.9493865970922857,1.0910327693111428,2.4714394387637837,2.1228463288291817,0.26876079560207417,-0.6642923099272662,2.1228463288291817,9.196875000000006,2.322574800689085,3.211683366647904,2.802905076378464,1.2068093891085314,4.266405610926013,0.5187369881807609,0.06621257978803707,-1.1902528254297247,0.5187369881807609,2.3231689453124957,2.3089947992152164,2.9645898718782404,2.6485870749339755,1.1470736425366483,1.1254079374425536
k3_1.tsv.part.3,1.3760169851179476,-0.01066331558646186,-1.503995549755716,1.3760169851179476,4.766088867187506,1.7626909107446143,2.073961043417891,1.9308817148292536,1.0954170711719338,2.3405962344898925,2.0648350693000483,0.3181577808065275,-0.670680126938549,2.0648350693000483,8.861572265625,2.194813917208796,3.0381024899507847,2.6494567946488554,1.207144156447778,4.329643518784465,0.5360718801826785,0.0386167375195258,-1.1906916528954588,0.5360718801826785,2.4429199218749957,2.329955858991366,2.953162809875214,2.6596558717686127,1.1415048321644914,1.2490238180721493
k3_1.tsv.part.4,1.3641226058178473,-0.028379282102124776,-1.4986410512462103,1.3641226058178473,4.718188476562496,1.796051563304262,2.1137533453108253,1.9684712524379746,1.0959992979358042,2.2681539378446676,2.007347093320827,0.36402143694940853,-0.6833810323295268,2.007347093320827,8.454418945312497,2.113812380093354,2.891380273769538,2.539243762684964,1.2012626033408043,4.211263808306525,0.5334820670325414,-0.01299207673996224,-1.2157263926664388,0.5334820670325414,2.466870117187497,2.3735992886460733,3.0121881962938404,2.7064407544872338,1.1402264769092583,1.2662726548138772
k3_2.tsv.part.0,1.3641613525948588,-0.008656358383560016,-1.460373382209661,1.3641613525948588,4.718188476562503,1.7576408431873198,2.0968248460348518,1.9409927781144227,1.1043170654788672,2.3204827665441203,1.9241216583022893,0.4459558675249414,-0.6910671823557655,1.9241216583022893,8.167016601562501,2.138789717915759,2.886740522668373,2.5549611585828185,1.1945826825241224,4.115291618795956,0.5479425323080925,-0.036942094189918485,-1.2707700300832894,0.5479425323080925,2.39501953125,2.2357874097356616,2.7992817227948343,2.530739176989416,1.131922993201141,1.1699365162568907
k3_2.tsv.part.1,1.3695884640219347,-0.012663254301485271,-1.4837327079660878,1.3695884640219347,4.598437500000003,1.7725264031052097,2.0965892358295584,1.9490800758820268,1.0996056659395994,2.170805786132814,1.9022253055065013,0.45346521894208575,-0.6701842771854518,1.9022253055065013,7.855664062499997,2.1642090180898075,2.9392458724900434,2.593455345040682,1.1983386647791254,4.116813160615809,0.5461920283982852,-0.021135591494317915,-1.2928115964406672,0.5461920283982852,2.5387207031250014,2.463760484912183,3.0669362359665646,2.7810941546671644,1.1288005354815536,1.345686336741728
k3_2.tsv.part.2,1.3771733056711257,-0.024112879782310068,-1.4836178768623836,1.3771733056711257,4.6702880859375,1.7449487599899265,2.060691878629491,1.91703096742671,1.098617341312519,2.267191233915441,1.891000434602723,0.42655205255385487,-0.6272187659490998,1.891000434602723,7.831713867187503,2.1389353988655557,2.9602393846210537,2.585214496326189,1.208645430664867,4.0447277688419145,0.5460988701930841,-0.036161167626338656,-1.3212998718587652,0.5460988701930841,2.2513183593749986,2.112857028017834,2.6144925609864726,2.3769811555216243,1.125008045504895,1.1538288358800566
k3_2.tsv.part.3,1.3806313458903399,-0.02164005925278591,-1.4737509784737928,1.3806313458903399,4.837939453125003,1.7719512829723478,2.093274495991849,1.9472654646222054,1.0989384885095588,2.3915279684627757,1.889676444263897,0.39130372064172936,-0.6132260149477826,1.889676444263897,7.951464843750003,2.1249590437378885,2.9484168300225164,2.5707675772664302,1.209796294588505,4.015485049977023,0.5452357702083919,-0.02164969068309679,-1.334315844193508,0.5452357702083919,2.2513183593749986,2.152837052370428,2.651121611624714,2.4156246364260543,1.1220657103454619,1.1738037683823543
k3_2.tsv.part.4,1.381403254769733,0.007941602108616778,-1.4446425151190379,1.381403254769733,4.933740234375001,1.8015007860268208,2.1491170741678856,1.989866907268702,1.1045606655866742,2.4885990492876826,1.9044395603474178,0.34226626351245254,-0.6313336119447062,1.9044395603474178,8.119116210937506,2.142068039634873,2.9679705650036583,2.587624661039977,1.2080030200539529,4.0396770953010135,0.5484195306064309,-0.01208788145669682,-1.34167670733043,0.5484195306064309,2.323168945312503,2.119359755684949,2.6072743076825464,2.378607483131957,1.1223236058680477,1.160870662913603
