2048	1989	2444	
2104	1967	2444	
2097	1982	2446	
2077	1989	2457	
2061	2035	2452	
2117	1894	2454	
2040	2023	2454	
2064	1991	2475	
2047	1896	2458	
2006	2026	2491	
1979	1955	2482	
1970	2057	2481	
1920	2005	2481	
1983	2101	2481	
1941	2080	2495	
1916	2125	2474	
2038	2089	2470	
1971	2035	2490	
2027	2044	2480	
1981	2031	2477	
2044	2066	2474	
2071	2048	2460	
2044	1959	2452	
2092	1984	2448	
2105	1960	2442	
2093	1981	2451	
2072	1990	2463	
2072	1993	2453	
2122	1884	2455	
2042	2042	2453	
2063	1996	2475	
2042	1933	2473	
2007	2027	2486	
1991	1942	2481	
1982	2048	2470	
1922	1997	2497	
1990	2144	2478	
1971	2076	2488	
1904	2135	2469	
2028	2112	2474	
1972	2061	2477	
2019	2050	2469	
1995	2037	2467	
2002	2033	2459	
2072	2046	2450	
2049	1959	2451	
2070	1983	2448	
2102	1966	2436	
2096	1957	2447	
2081	1984	2458	
2051	2036	2455	
2128	1909	2459	
2064	1987	2477	
2051	2047	2454	
2048	1885	2458	
1991	2029	2494	
1991	1936	2491	
1993	2055	2494	
1961	2022	2508	
1944	2083	2478	
2000	2108	2477	
1905	2107	2484	
1998	2124	2468	
1972	2052	2479	
2001	2056	2468	
2024	2062	2476	
1971	2036	2474	
2052	2029	2451	
2061	1975	2455	
2064	1987	2452	
2106	1973	2452	
2099	1952	2445	
2091	1988	2453	
2057	2023	2451	
2120	1939	2451	
2090	1909	2480	
2046	2041	2449	
2077	1881	2471	
2010	2006	2497	
1995	1961	2484	
1988	1963	2483	
1972	2069	2496	
1932	2041	2480	
2012	2095	2480	
1917	2066	2490	
1958	2127	2468	
2009	2070	2478	
1979	2042	2464	
2043	2044	2468	
1993	2039	2464	
2056	2056	2461	
2053	2005	2463	
2057	1974	2451	
2090	1988	2447	
2109	1952	2457	
2096	1979	2457	
2074	2021	2464	
2087	2022	2455	
2121	1880	2457	
2042	2078	2451	
2073	1937	2474	
2028	1944	2482	
2004	2014	2490	
1989	1960	2490	
1983	2081	2484	
1932	2048	2489	
1993	2125	2478	
1968	2054	2478	
1946	2146	2479	
2025	2106	2481	
1950	2041	2477	
2017	2040	2465	
1999	2050	2467	
2045	2065	2455	
2066	2020	2453	
2050	1960	2450	
2078	1982	2445	
2113	1953	2443	
2102	1972	2444	
2075	1990	2457	
2065	2044	2453	
2136	1878	2449	
2048	2036	2448	
2076	1980	2471	
2050	1895	2454	
2006	2019	2496	
1993	1924	2481	
1986	2046	2477	
1932	1998	2495	
1981	2111	2475	
2000	2062	2478	
1907	2125	2471	
2026	2115	2475	
1972	2062	2482	
2001	2058	2461	
2006	2043	2465	
2010	2045	2462	
2072	2051	2452	
2054	1973	2459	
2058	1987	2447	
2111	1967	2446	
2095	1971	2447	
2079	1978	2454	
2049	2024	2453	
2139	1899	2456	
2055	1987	2472	
2050	2030	2453	
2074	1870	2464	
2005	2032	2493	
1994	1931	2492	
1992	2041	2481	
1960	2049	2493	
1937	2061	2475	
1999	2104	2486	
1896	2131	2484	
2007	2132	2477	
1990	2092	2472	
1986	2070	2473	
2028	2070	2485	
1985	2064	2466	
2064	2041	2461	
2060	2006	2456	
2063	1988	2452	
2103	1975	2453	
2102	1959	2458	
2086	1980	2463	
2062	2025	2461	
2119	1955	2458	
2094	1932	2484	
2046	2074	2450	
2073	1920	2479	
2000	2005	2493	
1996	1950	2482	
1993	1980	2478	
1963	2060	2479	
1963	2112	2476	
2000	2092	2489	
1905	2134	2490	
2005	2139	2480	
1972	2046	2476	
2020	2046	2467	
2014	2037	2463	
2001	2015	2468	
2078	2044	2456	
2064	1975	2451	
2070	1983	2446	
2113	1963	2444	
2103	1947	2453	
2080	1970	2459	
2046	2044	2454	
2130	1923	2452	
2081	1949	2475	
2051	2051	2447	
2072	1882	2462	
2005	2015	2493	
1995	1936	2480	
1998	1985	2480	
1980	2070	2504	
1937	2066	2475	
2005	2095	2473	
1908	2082	2481	
1992	2142	2467	
1998	2063	2467	
1981	2031	2463	
2035	2046	2456	
1993	2024	2472	
2052	2061	2457	
2054	1979	2448	
2058	1955	2447	
2100	1983	2441	
2114	1944	2443	
2082	1971	2455	
2057	2006	2462	
2089	1995	2453	
2114	1891	2455	
2042	2033	2454	
2070	1933	2483	
2017	1972	2495	
2000	2011	2493	
1983	1948	2482	
1971	2077	2479	
1931	2032	2483	
1996	2096	2484	
1926	2071	2490	
1955	2115	2469	
1989	2064	2469	
1986	2040	2462	
2042	2059	2467	
1983	2043	2461	
2068	2046	2454	
2062	1993	2454	
2065	1977	2449	
2099	1983	2444	
2088	1968	2449	
2078	1982	2456	
2053	2022	2457	
2106	1957	2460	
2093	1928	2476	
2074	1922	2479	
2014	1978	2501	
1991	1990	2497	
1995	2042	2497	
1953	2075	2502	
1926	2057	2481	
1997	2082	2480	
1917	2109	2484	
2004	2111	2484	
1977	2065	2482	
1986	2047	2476	
2040	2055	2482	
1983	2031	2464	
2071	2042	2456	
2060	1990	2460	
2053	1976	2453	
2097	1977	2449	
2092	1958	2450	
2086	1970	2452	
2057	2011	2452	
2104	1955	2458	
2056	2010	2472	
2043	2032	2464	
2058	1857	2463	
1998	2014	2491	
1990	1933	2500	
1978	2068	2486	
1933	2032	2510	
1933	2063	2477	
2001	2091	2479	
1907	2120	2477	
2023	2111	2476	
1978	2066	2487	
1995	2052	2465	
2022	2044	2474	
1995	2033	2462	
2073	2050	2456	
2059	2001	2458	
2056	1985	2448	
2104	1968	2445	
2093	1972	2449	
2081	1978	2454	
2059	2015	2459	
2123	1930	2451	
2088	1949	2474	
2046	2061	2445	
2071	1909	2481	
2008	1989	2494	
1987	1930	2481	
1995	2005	2482	
1968	2063	2480	
1929	2038	2487	
1998	2105	2477	
1909	2067	2495	
1965	2136	2456	
2022	2072	2482	
1957	2032	2473	
2023	2066	2469	
1982	2042	2461	
2059	2045	2452	
2067	2000	2443	
2059	1984	2447	
2094	1988	2448	
2108	1963	2449	
2094	1976	2447	
2077	2024	2463	
2101	1986	2468	
2106	1930	2478	
2036	2064	2452	
2070	1946	2474	
2014	1973	2501	
1995	2011	2499	
1983	1962	2485	
1974	2057	2481	
1930	2002	2490	
1996	2133	2488	
1949	2074	2487	
1925	2125	2477	
2034	2121	2476	
1956	2040	2469	
2026	2046	2466	
1996	2035	2466	
2029	2056	2456	
2080	2014	2455	
2044	1959	2446	
2089	1984	2443	
2115	1941	2441	
2103	1966	2452	
2069	1983	2465	
2075	2018	2456	
2133	1889	2458	
2049	2020	2468	
2051	1982	2470	
2039	1910	2463	
2015	2019	2486	
1995	1933	2487	
1989	2064	2480	
1932	2008	2493	
1985	2115	2471	
1993	2068	2487	
1899	2131	2480	
2025	2118	2477	
1962	2034	2483	
2012	2050	2468	
2010	2033	2474	
2001	2033	2460	
2068	2040	2454	
2045	1958	2462	
2062	1993	2450	
2105	1978	2446	
2091	1973	2447	
2085	1975	2454	
2058	2028	2448	
2138	1912	2451	
2081	1959	2477	
2051	2028	2468	
2064	1889	2464	
1997	2028	2490	
1990	1934	2482	
2002	2070	2483	
1939	2031	2508	
1953	2102	2478	
2005	2103	2478	
1902	2092	2484	
2009	2123	2476	
1985	2074	2487	
1984	2054	2470	
2023	2055	2476	
1978	2038	2463	
2066	2029	2461	
2047	1969	2461	
2064	2011	2454	
2098	1973	2443	
2089	1969	2444	
2086	1974	2459	
2053	2037	2455	
2131	1934	2453	
2057	1995	2473	
2059	2052	2465	
2066	1889	2462	
2002	2022	2491	
1992	1933	2491	
1996	2057	2487	
1945	2049	2493	
1948	2070	2486	
2002	2114	2476	
1920	2105	2489	
1987	2136	2469	
2006	2090	2474	
1970	2026	2465	
2035	2053	2458	
1997	2047	2463	
2055	2061	2456	
2071	2008	2457	
2047	1946	2451	
2091	1996	2454	
2103	1965	2467	
2088	1987	2461	
2064	1989	2470	
2078	2018	2453	
2114	1913	2469	
2038	2057	2450	
2072	1934	2472	
2022	1929	2474	
2010	1997	2489	
1978	1963	2480	
1974	2060	2482	
1928	2035	2488	
1991	2120	2471	
1946	2080	2489	
1933	2144	2478	
2024	2107	2480	
1955	2043	2486	
2008	2060	2469	
1986	2049	2471	
2018	2049	2460	
2066	2030	2461	
2045	1975	2459	
2086	1981	2450	
2110	1962	2441	
2099	1973	2448	
2073	1973	2458	
2057	2040	2456	
2127	1911	2456	
2058	1986	2472	
2049	2039	2454	
2072	1869	2468	
1995	2022	2493	
1989	1925	2494	
1991	2036	2485	
1957	2055	2490	
1944	2048	2482	
1995	2099	2489	
1896	2112	2483	
1992	2116	2479	
2002	2088	2471	
1969	2044	2475	
2031	2058	2462	
1986	2034	2464	
2056	2056	2445	
2073	2008	2449	
2049	1971	2448	
2098	1993	2437	
