t,aX,aY,aZ
192.35599999999778,1.022,2.120,0.571
192.3769999999978,0.950,2.076,0.621
192.3969999999978,0.884,2.000,1.033
192.4179999999978,0.736,2.104,1.324
192.4389999999978,0.555,2.120,1.368
192.45899999999781,0.648,2.142,1.412
192.4799999999978,0.560,2.219,1.252
192.50099999999782,0.659,2.197,1.137
192.5219999999978,0.818,2.038,0.786
192.5419999999978,0.769,2.027,0.637
192.56299999999783,0.643,1.961,0.522
192.58399999999784,0.549,1.923,0.478
192.60399999999785,0.417,2.076,0.478
192.62499999999784,0.214,2.120,0.406
192.64599999999785,0.269,2.148,0.231
192.66599999999787,0.225,2.170,-0.038
192.68699999999785,0.324,2.120,-0.192
192.70799999999784,0.511,1.835,-0.522
192.72799999999785,0.522,1.708,-0.577
192.74899999999786,0.522,1.582,-0.654
192.76999999999788,0.544,1.467,-0.390
192.7909999999979,0.505,1.538,-0.049
192.8109999999979,0.368,1.549,0.027
192.8319999999979,0.374,1.604,0.341
192.85299999999788,0.324,1.648,0.401
192.8729999999979,0.181,1.620,0.374
192.89399999999787,0.198,1.472,0.225
192.91499999999786,0.154,1.401,0.071
192.93499999999787,0.060,1.307,-0.011
192.95599999999786,0.165,1.225,-0.099
192.97699999999787,0.154,1.214,-0.099
192.99699999999788,0.148,1.170,-0.126
193.01799999999787,0.231,1.121,-0.126
193.03899999999786,0.220,1.049,-0.209
193.05999999999784,-0.038,0.972,-0.280
193.07999999999785,-0.148,0.786,-0.538
193.10099999999784,-0.242,0.681,-0.775
193.12199999999785,-0.489,0.582,-0.901
193.14199999999786,-0.357,0.483,-1.082
193.16299999999785,-0.319,0.461,-1.066
193.18399999999787,-0.170,0.428,-1.082
193.20399999999788,0.137,0.363,-0.972
193.22499999999786,0.225,0.308,-0.901
193.24599999999785,0.225,0.242,-0.917
193.26599999999786,0.313,0.082,-1.088
193.28699999999787,0.302,0.033,-1.258
193.3079999999979,0.165,-0.027,-1.357
193.3289999999979,0.324,-0.066,-1.461
193.34899999999791,0.357,-0.049,-1.258
193.3699999999979,0.330,-0.044,-1.203
193.3909999999979,0.489,-0.115,-0.736
193.4109999999979,0.516,-0.148,-0.352
193.43199999999788,0.352,-0.209,-0.214
193.45299999999787,0.423,-0.357,-0.071
193.47299999999788,0.390,-0.406,-0.126
193.49399999999787,0.214,-0.445,-0.203
193.51499999999788,0.330,-0.467,-0.500
193.5349999999979,0.330,-0.401,-0.577
193.55599999999788,0.220,-0.341,-0.659
193.57699999999787,0.352,-0.269,-0.676
193.59799999999785,0.390,-0.225,-0.555
193.61799999999786,0.231,-0.198,-0.527
193.63899999999785,0.313,-0.280,-0.533
193.65999999999786,0.302,-0.291,-0.516
193.67999999999788,0.088,-0.302,-0.566
193.70099999999786,0.170,-0.291,-0.709
193.72199999999788,0.203,-0.192,-0.626
193.7419999999979,0.148,-0.071,-0.632
193.76299999999787,0.330,0.044,-0.478
193.7839999999979,0.390,0.137,-0.203
193.8039999999979,0.357,0.198,-0.099
193.82499999999789,0.385,0.143,0.033
193.8459999999979,0.379,0.132,0.176
193.86699999999792,0.033,0.110,0.176
193.88699999999793,-0.143,0.071,0.115
193.9079999999979,-0.264,0.143,0.275
193.9289999999979,-0.533,0.225,0.302
193.9489999999979,-0.522,0.319,0.527
193.96999999999792,-0.478,0.396,0.840
193.99099999999794,-0.483,0.461,0.961
194.01099999999795,-0.489,0.445,1.132
194.03199999999794,-0.461,0.467,1.274
194.05299999999795,-0.709,0.461,1.302
194.07299999999796,-0.797,0.483,1.236
194.09399999999795,-0.824,0.555,1.252
194.11499999999793,-0.879,0.643,1.225
194.13599999999792,-0.764,0.764,1.154
194.15599999999793,-0.626,0.818,1.198
194.17699999999792,-0.555,0.884,1.187
194.19799999999793,-0.560,0.857,1.208
194.21799999999794,-0.527,0.868,1.269
194.23899999999793,-0.818,0.879,1.296
194.25999999999792,-0.934,0.950,1.373
194.27999999999793,-0.961,1.027,1.500
194.3009999999979,-1.027,1.181,1.560
194.3219999999979,-0.923,1.379,1.653
194.3419999999979,-0.758,1.472,1.670
194.3629999999979,-0.753,1.615,1.648
194.3839999999979,-0.802,1.642,1.417
194.40499999999793,-0.797,1.653,1.225
194.42499999999794,-1.148,1.681,1.060
194.44599999999792,-1.285,1.736,0.747
194.46699999999794,-1.302,1.780,0.604
194.48699999999795,-1.324,1.945,0.489
194.50799999999793,-1.192,2.137,0.297
194.52899999999795,-0.972,2.197,0.181
194.54899999999796,-0.890,2.357,0.066
194.56999999999795,-0.846,2.390,-0.236
194.59099999999796,-0.731,2.379,-0.423
194.61099999999797,-0.862,2.379,-0.582
194.63199999999796,-0.835,2.351,-0.835
194.65299999999797,-0.687,2.346,-0.901
194.673999999998,-0.626,2.466,-0.939
194.693999999998,-0.555,2.615,-0.989
194.71499999999799,-0.396,2.642,-0.961
194.735999999998,-0.621,2.840,-0.950
194.755999999998,-0.797,2.889,-1.022
194.776999999998,-0.890,2.867,-1.060
194.79799999999798,-1.236,2.906,-1.088
194.817999999998,-1.285,2.873,-1.225
194.83899999999798,-1.170,2.834,-1.269
194.85999999999797,-1.071,2.939,-1.307
194.87999999999798,-0.994,3.049,-1.483
194.90099999999796,-0.797,3.027,-1.609
194.92199999999798,-0.917,3.203,-1.719
194.942999999998,-1.027,3.148,-2.060
194.962999999998,-1.033,3.087,-2.208
194.983999999998,-1.187,3.021,-2.329
195.004999999998,-1.143,2.878,-2.472
195.02499999999802,-0.934,2.807,-2.472
195.045999999998,-0.643,2.856,-2.439
195.06699999999802,-0.494,2.906,-2.444
195.08699999999803,-0.214,2.884,-2.428
195.10799999999801,-0.176,2.955,-2.395
195.12899999999803,-0.236,2.807,-2.455
195.14899999999804,-0.231,2.730,-2.406
195.16999999999803,-0.319,2.510,-2.335
195.19099999999804,-0.319,2.274,-2.192
195.21199999999806,-0.176,2.197,-2.010
195.23199999999807,-0.060,2.115,-1.818
195.25299999999805,-0.071,2.032,-1.637
195.27399999999807,-0.005,2.010,-1.593
195.29399999999808,-0.137,1.917,-1.582
195.31499999999807,-0.258,1.692,-1.807
195.33599999999805,-0.269,1.631,-1.813
195.35599999999806,-0.269,1.318,-1.785
195.37699999999808,-0.247,1.066,-1.280
195.3979999999981,0.016,0.994,-0.775
195.4179999999981,0.275,0.873,-0.093
195.4389999999981,0.319,0.813,0.950
195.4599999999981,0.533,0.807,1.450
195.4809999999981,0.566,0.731,1.994
195.5009999999981,0.478,0.566,2.214
195.5219999999981,0.516,0.516,2.247
195.54299999999807,0.500,0.330,2.236
195.56299999999808,0.439,0.203,2.362
195.58399999999807,0.577,0.159,2.543
195.60499999999809,0.654,0.181,2.834
195.6249999999981,0.577,0.225,3.115
195.64599999999808,0.703,0.236,3.137
195.66699999999807,0.687,0.264,3.115
195.68699999999808,0.582,0.165,2.648
195.70799999999807,0.643,0.121,2.335
195.72899999999805,0.571,-0.093,1.835
195.74999999999807,0.412,-0.242,1.280
195.76999999999808,0.406,-0.308,1.121
195.79099999999806,0.253,-0.324,1.022
195.81199999999808,0.082,-0.269,1.082
195.8319999999981,0.132,-0.258,1.110
195.85299999999808,0.209,-0.198,1.203
195.8739999999981,0.121,-0.280,1.071
195.8939999999981,0.478,-0.324,0.978
195.9149999999981,0.720,-0.489,0.851
195.9359999999981,0.654,-0.555,0.791
195.9559999999981,0.895,-0.610,0.807
195.9769999999981,0.895,-0.472,1.060
195.99799999999811,0.753,-0.286,1.472
196.0189999999981,0.824,-0.258,1.631
196.0389999999981,0.829,-0.110,2.153
196.05999999999813,0.698,-0.159,2.543
196.08099999999814,0.884,-0.231,2.615
196.10099999999815,0.945,-0.434,2.873
196.12199999999814,0.813,-0.538,2.736
196.14299999999815,0.912,-0.610,2.576
196.16299999999816,0.895,-0.533,2.159
196.18399999999815,0.747,-0.357,1.467
196.20499999999814,0.824,-0.330,1.181
196.22499999999815,0.857,-0.203,0.560
196.24599999999813,0.742,-0.236,0.000
196.26699999999812,0.862,-0.297,-0.209
196.28799999999814,0.895,-0.412,-0.467
196.30799999999815,0.791,-0.423,-0.659
196.32899999999813,0.873,-0.467,-0.764
196.34999999999815,0.961,-0.313,-0.797
196.36999999999816,0.884,-0.148,-0.972
196.39099999999814,1.115,-0.115,-1.077
196.41199999999816,1.307,-0.016,-1.269
196.43199999999817,1.280,-0.049,-1.577
196.45299999999816,1.423,-0.093,-1.714
196.47399999999817,1.505,-0.181,-1.945
196.49399999999818,1.445,-0.203,-2.027
196.51499999999817,1.494,-0.236,-2.098
196.53599999999818,1.549,-0.137,-1.813
196.55699999999817,1.483,-0.049,-1.549
196.57699999999818,1.500,-0.033,-1.527
196.5979999999982,1.489,0.016,-1.263
196.6189999999982,1.390,-0.038,-1.241
196.63899999999822,1.236,-0.088,-1.263
196.6599999999982,1.159,-0.137,-1.247
196.68099999999822,1.055,-0.066,-1.225
196.70099999999823,1.027,-0.055,-1.236
196.72199999999822,1.137,0.159,-1.110
196.7429999999982,1.077,0.352,-1.104
196.76299999999821,1.132,0.406,-1.121
196.78399999999823,1.170,0.483,-1.252
196.80499999999824,1.082,0.456,-1.555
196.82599999999826,0.994,0.434,-1.653
196.84599999999827,1.000,0.385,-1.983
196.86699999999826,0.901,0.472,-2.126
196.88799999999824,0.917,0.489,-2.181
196.90799999999825,1.038,0.714,-2.137
196.92899999999824,0.961,0.912,-2.137
196.94999999999823,0.939,0.972,-2.137
196.96999999999824,0.934,1.055,-2.263
196.99099999999822,0.807,1.099,-2.499
197.01199999999824,0.654,1.088,-2.593
197.03199999999825,0.703,1.099,-2.807
197.05299999999824,0.593,1.258,-2.840
197.07399999999822,0.643,1.313,-2.867
197.0949999999982,0.731,1.505,-2.637
197.11499999999822,0.637,1.675,-2.357
197.1359999999982,0.456,1.714,-2.296
197.15699999999822,0.352,1.648,-1.978
197.17699999999823,0.176,1.599,-1.813
197.19799999999822,-0.060,1.533,-1.802
197.21899999999823,-0.011,1.395,-1.620
197.23899999999824,-0.126,1.483,-1.351
197.25999999999823,-0.099,1.489,-1.291
197.28099999999824,0.038,1.577,-0.736
197.30099999999825,-0.066,1.708,-0.236
197.32199999999824,-0.192,1.719,-0.110
197.34299999999826,-0.203,1.566,0.159
197.36399999999827,-0.330,1.494,-0.033
197.38399999999828,-0.428,1.395,-0.148
197.40499999999827,-0.335,1.214,-0.511
197.42599999999825,-0.412,1.285,-0.379
197.44599999999826,-0.445,1.274,-0.368
197.46699999999828,-0.489,1.296,0.527
197.4879999999983,-0.604,1.351,1.511
197.5079999999983,-1.071,1.329,1.802
197.5289999999983,-1.269,1.104,2.675
197.5499999999983,-1.445,0.972,2.834
197.56999999999832,-1.368,0.857,2.834
197.5909999999983,-0.884,0.676,2.587
197.6119999999983,-0.753,0.709,2.686
197.63299999999828,-0.297,0.692,2.675
197.6529999999983,-0.253,0.780,3.345
197.67399999999827,-0.297,0.879,3.922
197.6949999999983,-0.956,0.906,4.059
197.7149999999983,-1.329,0.758,4.103
197.73599999999828,-1.544,0.522,3.565
197.75699999999827,-1.631,0.319,3.301
197.77699999999828,-1.214,-0.093,2.076
197.79799999999827,-1.055,-0.242,1.258
197.81899999999825,-0.538,-0.335,0.901
197.83899999999826,-0.269,-0.357,0.555
197.85999999999825,-0.203,-0.401,0.731
197.88099999999827,-0.549,-0.456,0.758
197.90199999999828,-0.753,-0.775,1.060
197.9219999999983,-0.901,-0.989,1.132
197.94299999999828,-1.033,-1.176,1.115
197.96399999999826,-0.692,-1.236,1.005
197.98399999999828,-0.571,-1.000,1.099
198.0049999999983,-0.214,-0.824,1.110
198.0259999999983,0.016,-0.286,1.675
198.04599999999832,0.066,-0.027,2.307
198.0669999999983,-0.236,0.132,2.538
198.08799999999832,-0.346,0.033,3.126
198.10799999999833,-0.456,-0.132,3.290
198.1289999999983,-0.670,-0.291,3.312
198.1499999999983,-0.533,-0.434,3.043
198.1709999999983,-0.500,-0.302,2.637
198.1909999999983,-0.516,-0.170,2.428
198.21199999999828,-0.396,0.258,1.802
198.2329999999983,-0.390,0.478,1.346
198.2529999999983,-0.582,0.632,1.126
198.2739999999983,-0.511,0.555,0.654
198.29499999999828,-0.533,0.434,0.363
198.3149999999983,-0.582,0.302,0.209
198.33599999999828,-0.341,0.143,-0.148
198.35699999999827,-0.258,0.242,-0.357
198.37699999999828,-0.258,0.341,-0.472
198.39799999999826,-0.077,0.626,-0.681
198.41899999999828,-0.049,0.807,-0.681
198.4399999999983,-0.159,0.934,-0.709
198.4599999999983,-0.005,0.879,-0.604
198.4809999999983,0.027,0.791,-0.456
198.5019999999983,-0.038,0.687,-0.428
198.52199999999831,0.121,0.549,-0.505
198.5429999999983,0.159,0.615,-0.626
198.56399999999832,0.016,0.731,-0.725
198.58399999999833,0.088,1.016,-1.033
198.6049999999983,0.088,1.214,-1.132
198.62599999999833,-0.143,1.395,-1.230
198.64599999999834,-0.093,1.406,-1.313
198.66699999999832,-0.093,1.390,-1.203
198.68799999999834,-0.225,1.313,-1.192
198.70899999999835,-0.082,1.225,-1.192
198.72899999999836,-0.027,1.296,-1.148
198.74999999999835,-0.049,1.390,-1.176
198.77099999999837,0.104,1.577,-1.329
198.79099999999838,0.154,1.675,-1.302
198.81199999999836,0.038,1.758,-1.346
198.83299999999835,0.033,1.681,-1.346
198.85299999999836,0.016,1.631,-1.219
198.87399999999838,-0.203,1.555,-1.208
198.8949999999984,-0.181,1.478,-1.335
198.9149999999984,-0.165,1.522,-1.379
198.9359999999984,-0.181,1.571,-1.478
198.9569999999984,-0.066,1.631,-1.791
198.9779999999984,0.011,1.637,-1.895
198.9979999999984,-0.005,1.588,-2.027
199.01899999999839,0.000,1.346,-2.274
199.03999999999837,0.022,1.230,-2.302
199.05999999999838,-0.115,1.060,-2.362
199.08099999999837,-0.104,0.967,-2.406
199.10199999999838,-0.049,1.005,-2.252
199.1219999999984,-0.038,1.126,-2.203
199.14299999999838,0.049,1.324,-2.049
199.16399999999837,0.159,1.401,-1.895
199.18399999999838,0.148,1.505,-1.846
199.20499999999836,0.181,1.445,-1.857
199.22599999999835,0.236,1.373,-1.895
199.24699999999837,0.176,1.263,-1.967
199.26699999999838,0.242,1.099,-2.115
199.28799999999836,0.346,1.049,-2.142
199.30899999999838,0.445,1.022,-2.181
199.3289999999984,0.555,0.989,-2.401
199.34999999999837,0.709,0.945,-2.609
199.37099999999836,0.692,0.912,-2.796
199.39099999999837,0.725,0.780,-3.043
199.4119999999984,0.818,0.703,-2.955
199.4329999999984,0.775,0.654,-2.889
199.4529999999984,0.824,0.604,-2.318
199.4739999999984,0.961,0.588,-1.675
199.4949999999984,0.934,0.681,-1.219
199.5159999999984,0.939,0.764,-0.379
199.5359999999984,1.044,0.753,0.038
199.5569999999984,0.890,0.829,0.264
199.57799999999838,0.873,0.703,0.500
199.5979999999984,0.989,0.621,0.747
199.61899999999838,1.066,0.489,0.906
199.6399999999984,1.230,0.319,1.252
199.6599999999984,1.505,0.236,1.434
199.6809999999984,1.604,0.253,1.533
199.70199999999838,1.620,0.335,1.329
199.7219999999984,1.725,0.324,0.972
199.74299999999837,1.445,0.604,0.637
199.76399999999836,1.346,0.654,-0.297
199.78499999999838,1.379,0.610,-0.769
199.8049999999984,1.324,0.401,-1.143
199.82599999999837,1.384,-0.033,-1.346
199.8469999999984,1.588,-0.192,-1.208
199.8669999999984,1.609,-0.439,-1.049
199.88799999999839,1.637,-0.500,-0.736
199.9089999999984,1.774,-0.549,-0.610
199.9289999999984,1.653,-0.385,-0.527
199.9499999999984,1.604,-0.423,-0.659
199.9709999999984,1.664,-0.467,-0.720
199.99099999999842,1.494,-0.665,-0.753
200.0119999999984,1.417,-0.884,-0.703
200.03299999999842,1.456,-0.967,-0.494
200.0539999999984,1.296,-0.835,-0.253
200.07399999999842,1.225,-0.467,0.330
200.09499999999844,1.247,-0.385,0.813
200.11599999999845,1.126,0.192,1.291
200.13599999999846,1.071,0.385,1.824
200.15699999999845,1.121,0.428,1.994
200.17799999999846,1.110,0.198,2.104
200.19799999999847,1.066,-0.275,1.708
200.21899999999846,1.154,-0.401,1.362
200.23999999999845,1.082,-0.709,0.972
200.25999999999846,0.961,-0.632,0.176
200.28099999999847,0.923,-0.593,-0.187
200.3019999999985,0.714,-0.104,-0.511
200.3229999999985,0.560,0.181,-0.736
200.3429999999985,0.500,0.247,-0.681
200.3639999999985,0.396,0.066,-0.566
200.38499999999848,0.313,-0.379,-0.379
200.4049999999985,0.374,-0.505,-0.258
200.42599999999848,0.368,-0.879,-0.137
200.44699999999847,0.280,-0.862,-0.104
200.46699999999848,0.319,-0.857,-0.060
200.48799999999846,0.181,-0.379,-0.011
200.50899999999848,0.027,-0.033,0.099
200.5289999999985,-0.033,0.066,0.247
200.54999999999848,-0.220,0.071,0.456
200.57099999999846,-0.363,-0.242,0.736
200.59199999999845,-0.335,-0.357,0.884
200.61199999999846,-0.374,-0.670,1.071
200.63299999999845,-0.478,-0.670,1.247
200.65399999999846,-0.385,-0.676,1.390
200.67399999999847,-0.445,-0.275,1.588
200.69499999999846,-0.582,0.033,1.818
200.71599999999847,-0.560,0.115,1.879
200.73599999999848,-0.681,0.220,1.923
200.75699999999847,-0.840,0.121,1.489
200.77799999999849,-0.802,0.088,1.110
200.7979999999985,-0.829,0.088,0.478
200.81899999999848,-0.972,0.291,-0.483
200.8399999999985,-0.901,0.335,-0.840
200.8609999999985,-1.033,0.797,-1.252
200.88099999999852,-1.214,1.137,-1.280
200.9019999999985,-1.280,1.198,-1.187
200.9229999999985,-1.428,1.406,-0.873
200.9429999999985,-1.599,1.478,-0.692
200.9639999999985,-1.456,1.461,-0.720
200.98499999999848,-1.324,1.582,-0.840
201.0049999999985,-1.412,1.719,-1.258
201.02599999999848,-1.165,1.730,-1.406
201.0469999999985,-1.176,1.840,-1.549
201.0669999999985,-1.329,1.807,-1.434
201.0879999999985,-1.362,1.758,-1.368
201.10899999999847,-1.450,1.571,-1.005
201.12999999999846,-1.615,1.483,-0.775
201.14999999999847,-1.412,1.406,-0.786
201.17099999999846,-1.208,1.566,-0.736
201.19199999999847,-1.307,1.835,-0.923
201.21199999999848,-1.060,1.890,-1.022
201.23299999999847,-1.077,2.197,-1.088
201.25399999999848,-1.198,2.241,-0.961
201.2739999999985,-1.137,2.214,-0.928
201.29499999999848,-1.033,1.928,-0.385
201.3159999999985,-1.121,1.604,0.055
201.3359999999985,-0.818,1.445,0.099
201.3569999999985,-0.659,1.159,0.291
201.3779999999985,-0.709,1.082,-0.055
201.39899999999852,-0.714,1.027,-0.225
201.41899999999853,-0.829,1.016,-0.720
201.43999999999852,-0.939,0.917,-1.198
201.4609999999985,-1.016,0.857,-1.373
201.48099999999852,-0.840,0.604,-1.417
201.50199999999853,-0.868,0.456,-1.159
201.52299999999852,-0.483,0.368,-1.143
201.54299999999853,-0.181,0.417,-0.632
201.56399999999854,-0.187,0.593,-0.363
201.58499999999856,-0.110,0.659,-0.357
201.60499999999854,-0.143,0.840,-0.132
201.62599999999856,-0.253,0.807,-0.066
201.64699999999857,-0.275,0.753,-0.071
201.66799999999859,-0.099,0.428,0.242
201.6879999999986,-0.143,0.247,0.698
201.70899999999858,0.115,0.143,0.791
201.72999999999857,0.286,0.242,1.522
201.74999999999858,0.231,0.494,1.901
201.7709999999986,0.148,0.582,1.978
201.7919999999986,0.066,0.670,1.923
201.8119999999986,-0.060,0.522,1.494
201.8329999999986,-0.132,0.412,1.373
201.85399999999862,0.049,0.005,0.709
201.87399999999863,-0.005,-0.176,0.187
201.89499999999862,0.176,-0.291,0.038
201.9159999999986,0.308,-0.390,-0.302
201.9369999999986,0.231,-0.396,-0.478
201.9569999999986,0.099,-0.417,-0.549
201.9779999999986,0.044,-0.604,-0.736
201.9989999999986,-0.099,-0.687,-0.923
202.01899999999858,-0.071,-0.764,-0.994
202.0399999999986,0.209,-0.758,-1.071
202.06099999999861,0.187,-0.500,-0.895
202.08099999999862,0.434,-0.406,-0.868
202.1019999999986,0.593,-0.154,-0.319
202.12299999999863,0.516,-0.049,0.209
202.14299999999864,0.324,-0.055,0.352
202.16399999999862,0.225,-0.406,0.818
202.18499999999864,0.044,-0.659,1.038
202.20599999999865,-0.077,-0.851,1.066
202.22599999999863,0.060,-1.088,1.148
202.24699999999865,-0.027,-0.917,1.115
202.26799999999866,-0.022,-0.873,1.066
202.28799999999865,-0.093,-0.582,0.956
202.30899999999866,-0.253,-0.385,0.824
202.32999999999868,-0.665,-0.341,0.742
202.3499999999987,-0.802,-0.560,0.423
202.37099999999867,-0.983,-0.709,-0.005
202.3919999999987,-0.972,-0.840,-0.198
202.41199999999867,-0.648,-0.994,-0.753
202.43299999999869,-0.643,-0.835,-0.950
202.4539999999987,-0.428,-0.775,-1.055
202.47499999999872,-0.406,-0.549,-0.758
202.4949999999987,-0.500,-0.428,-0.225
202.5159999999987,-0.884,-0.423,-0.088
202.53699999999873,-1.038,-0.698,0.577
202.55699999999874,-1.192,-0.890,0.835
202.57799999999872,-1.230,-1.055,0.862
202.5989999999987,-1.005,-1.143,0.604
202.61899999999872,-0.989,-0.972,0.176
202.63999999999874,-0.873,-0.879,-0.044
202.66099999999875,-0.840,-0.522,-0.467
202.68099999999873,-0.895,-0.330,-0.483
202.70199999999875,-1.137,-0.253,-0.533
202.72299999999876,-1.258,-0.258,-0.253
202.74399999999878,-1.351,-0.264,-0.071
202.7639999999988,-1.626,-0.297,-0.038
202.78499999999877,-1.714,-0.203,-0.143
202.8059999999988,-1.785,-0.016,-0.379
202.8259999999988,-1.901,0.099,-0.527
202.8469999999988,-1.763,0.368,-0.807
202.8679999999988,-1.730,0.522,-0.802
202.88799999999878,-1.642,0.599,-0.824
202.9089999999988,-1.494,0.648,-0.577
202.9299999999988,-1.478,0.720,-0.450
202.94999999999882,-1.609,0.747,-0.439
202.9709999999988,-1.631,0.906,-0.720
202.99199999999882,-1.692,1.066,-1.214
203.01299999999884,-1.956,1.170,-1.450
203.03299999999885,-1.967,1.241,-2.175
203.05399999999884,-2.032,1.214,-2.516
203.07499999999885,-2.230,1.159,-2.686
203.09499999999883,-2.170,0.989,-2.648
203.11599999999885,-2.186,1.011,-2.417
203.13699999999886,-2.346,1.038,-2.335
203.15699999999885,-2.291,1.335,-2.093
203.17799999999886,-2.313,1.648,-2.049
203.19899999999888,-2.450,1.895,-2.071
203.21899999999889,-2.296,2.203,-2.175
203.23999999999887,-2.269,2.280,-2.087
203.2609999999989,-2.241,2.302,-2.076
203.28199999999887,-2.000,2.093,-1.686
203.30199999999888,-1.934,2.043,-1.219
203.3229999999989,-2.005,1.972,-1.033
203.3439999999989,-1.884,2.087,-0.670
203.3639999999989,-1.884,2.280,-0.588
203.3849999999989,-2.027,2.483,-0.599
203.40599999999893,-1.851,2.692,-0.846
203.42599999999894,-1.807,2.719,-0.961
203.44699999999892,-1.741,2.725,-1.044
203.4679999999989,-1.434,2.472,-1.011
203.48799999999892,-1.296,2.384,-0.709
203.50899999999893,-1.247,2.291,-0.593
203.52999999999895,-1.049,2.296,-0.209
203.55099999999896,-1.016,2.401,0.093
203.57099999999895,-1.126,2.527,0.187
203.59199999999896,-0.994,2.549,0.275
203.61299999999898,-0.939,2.477,0.385
203.632999999999,-0.901,2.362,0.385
203.65399999999897,-0.648,1.934,0.456
203.674999999999,-0.516,1.747,0.692
203.694999999999,-0.467,1.566,0.775
203.71599999999899,-0.379,1.456,0.972
203.736999999999,-0.352,1.500,1.148
203.75699999999898,-0.511,1.555,1.181
203.777999999999,-0.489,1.555,1.049
203.798999999999,-0.461,1.511,1.022
203.81999999999903,-0.456,1.406,0.950
203.839999999999,-0.291,1.230,0.835
203.86099999999902,-0.170,1.214,0.972
203.88199999999904,-0.049,1.236,1.000
203.90199999999905,0.060,1.280,1.104
203.92299999999904,0.148,1.269,1.252
203.94399999999905,0.115,1.192,1.269
203.96399999999903,0.115,0.917,1.137
203.98499999999905,0.143,0.753,1.110
204.00599999999906,0.082,0.527,1.022
204.02599999999904,0.181,0.269,0.840
204.04699999999906,0.297,0.154,0.868
204.06799999999907,0.428,0.016,0.840
204.0889999999991,0.560,-0.242,0.764
204.1089999999991,0.687,-0.374,0.758
204.1299999999991,0.626,-0.549,0.703
204.15099999999907,0.599,-0.676,0.549
204.17099999999908,0.615,-0.604,0.511
204.1919999999991,0.549,-0.434,0.450
204.2129999999991,0.676,-0.033,0.324
204.2329999999991,0.840,0.159,0.253
204.2539999999991,1.011,0.423,0.165
204.27499999999912,1.121,0.363,-0.104
204.29499999999913,1.258,0.242,-0.313
204.31599999999912,1.071,-0.033,-0.478
204.3369999999991,0.939,-0.401,-0.780
204.3579999999991,0.901,-0.478,-0.868
204.3779999999991,0.676,-0.472,-0.939
204.3989999999991,0.709,-0.247,-0.906
204.4199999999991,0.840,-0.148,-0.775
204.4399999999991,0.912,0.088,-0.709
204.4609999999991,0.956,0.000,-0.692
204.48199999999912,1.082,-0.099,-0.769
204.50199999999913,0.818,-0.319,-0.868
204.52299999999912,0.637,-0.571,-1.176
204.54399999999913,0.560,-0.626,-1.329
204.56399999999914,0.242,-0.522,-1.450
204.58499999999913,0.170,-0.225,-1.522
204.60599999999914,0.236,-0.126,-1.428
204.62699999999916,0.066,0.192,-1.379
204.64699999999914,-0.055,0.209,-1.274
204.66799999999915,-0.060,0.126,-1.236
204.68899999999917,-0.428,-0.049,-1.230
204.70899999999918,-0.698,-0.346,-1.417
204.72999999999917,-0.851,-0.439,-1.538
204.75099999999918,-1.351,-0.456,-1.659
204.7709999999992,-1.417,-0.357,-1.912
204.79199999999918,-1.307,-0.357,-2.043
204.8129999999992,-0.868,-0.143,-2.148
204.83299999999917,-0.516,-0.115,-2.368
204.8539999999992,0.005,-0.170,-2.466
204.8749999999992,0.049,-0.170,-2.554
204.89599999999922,-0.247,-0.242,-2.747
204.9159999999992,-0.566,-0.297,-2.812
204.93699999999922,-1.417,-0.159,-2.851
204.95799999999923,-1.670,-0.016,-2.834
204.97799999999924,-1.747,-0.027,-2.686
204.99899999999923,-1.357,0.209,-2.527
205.01999999999924,-0.961,0.220,-2.225
205.03999999999922,-0.335,0.176,-2.005
205.06099999999924,0.088,0.143,-1.785
205.08199999999925,0.033,0.022,-1.593
205.10199999999924,-0.055,-0.055,-1.456
205.12299999999925,-0.692,-0.011,-1.318
205.14399999999927,-0.994,0.088,-1.219
205.16499999999928,-1.198,0.082,-1.110
205.1849999999993,-0.972,0.297,-1.000
205.20599999999928,-0.692,0.291,-0.901
205.22699999999926,-0.066,0.275,-0.791
205.24699999999928,0.511,0.187,-0.681
205.2679999999993,0.577,0.088,-0.610
205.2889999999993,0.676,0.055,-0.544
205.3089999999993,0.341,0.253,-0.456
205.3299999999993,0.115,0.588,-0.450
205.35099999999932,-0.060,0.670,-0.417
205.37099999999933,-0.148,1.110,-0.396
205.3919999999993,-0.187,1.225,-0.467
205.4129999999993,-0.016,1.247,-0.478
205.4339999999993,0.060,1.093,-0.489
205.4539999999993,-0.027,0.906,-0.467
205.47499999999928,-0.005,0.851,-0.357
205.4959999999993,-0.225,0.972,-0.181
205.51599999999928,-0.417,1.280,0.181
205.5369999999993,-0.489,1.368,0.423
205.5579999999993,-0.516,1.752,0.736
205.57799999999932,-0.588,1.851,0.961
205.5989999999993,-0.357,1.857,1.005
205.61999999999932,-0.203,1.736,0.994
205.63999999999933,-0.258,1.599,0.714
205.66099999999932,-0.038,1.560,0.555
205.68199999999933,-0.005,1.631,0.324
205.70299999999935,-0.115,1.796,0.099
205.72299999999933,-0.022,1.862,0.049
205.74399999999935,-0.099,2.010,0.077
205.76499999999936,-0.247,1.945,0.236
205.78499999999934,-0.247,1.912,0.346
205.80599999999936,-0.297,1.719,0.593
205.82699999999937,-0.445,1.593,0.802
205.84699999999938,-0.308,1.544,0.846
