t,aX,aY,aZ
472.961,1.056,-0.438,-0.049
475.464,1.056,-0.438,-0.049
477.966,1.056,-0.438,-0.049
480.469,1.056,-0.438,-0.049
482.971,1.056,-0.438,-0.049
485.474,1.056,-0.438,-0.049
487.976,1.056,-0.438,-0.049
490.479,1.056,-0.438,-0.049
492.981,1.056,-0.438,-0.049
495.483,1.056,-0.438,-0.049
497.986,1.056,-0.438,-0.049
500.488,1.056,-0.438,-0.049
502.991,1.056,-0.438,-0.049
505.493,1.056,-0.438,-0.049
507.996,1.056,-0.438,-0.049
510.498,1.056,-0.438,-0.049
513.0,1.056,-0.438,-0.049
515.503,1.056,-0.438,-0.049
518.005,1.188,-0.165,-0.055
520.508,1.188,-0.165,-0.055
523.01,1.188,-0.165,-0.055
525.513,1.188,-0.165,-0.055
528.015,1.188,-0.165,-0.055
530.518,1.188,-0.165,-0.055
533.02,1.188,-0.165,-0.055
535.522,1.188,-0.165,-0.055
538.025,1.188,-0.165,-0.055
540.527,1.188,-0.165,-0.055
543.03,1.188,-0.165,-0.055
545.532,1.188,-0.165,-0.055
548.035,1.188,-0.165,-0.055
550.537,1.188,-0.165,-0.055
553.04,1.188,-0.165,-0.055
555.542,1.188,-0.165,-0.055
558.044,1.188,-0.165,-0.055
560.547,1.188,-0.165,-0.055
563.049,1.351,-0.219,0.196
565.552,1.351,-0.219,0.196
568.054,1.351,-0.219,0.196
570.557,1.351,-0.219,0.196
573.059,1.351,-0.219,0.196
575.562,1.351,-0.219,0.196
578.064,1.351,-0.219,0.196
580.566,1.351,-0.219,0.196
583.069,1.351,-0.219,0.196
585.571,1.351,-0.219,0.196
588.074,1.351,-0.219,0.196
590.576,1.351,-0.219,0.196
593.079,1.351,-0.219,0.196
595.581,1.351,-0.219,0.196
598.083,1.351,-0.219,0.196
600.586,1.351,-0.219,0.196
603.088,1.351,-0.219,0.196
605.591,1.351,-0.219,0.196
608.093,1.351,-0.219,0.196
610.596,1.021,-0.087,0.133
613.098,1.021,-0.087,0.133
615.601,1.021,-0.087,0.133
618.103,1.021,-0.087,0.133
620.605,1.021,-0.087,0.133
623.108,1.021,-0.087,0.133
625.61,1.021,-0.087,0.133
628.113,1.021,-0.087,0.133
630.615,1.021,-0.087,0.133
633.118,1.021,-0.087,0.133
635.62,1.021,-0.087,0.133
638.123,1.021,-0.087,0.133
640.625,1.021,-0.087,0.133
643.127,1.021,-0.087,0.133
645.63,1.021,-0.087,0.133
648.132,1.021,-0.087,0.133
650.635,1.021,-0.087,0.133
653.137,1.021,-0.087,0.133
655.64,0.853,0.757,0.394
658.142,0.853,0.757,0.394
660.645,0.853,0.757,0.394
663.147,0.853,0.757,0.394
665.649,0.853,0.757,0.394
668.152,0.853,0.757,0.394
670.654,0.853,0.757,0.394
673.157,0.853,0.757,0.394
675.659,0.853,0.757,0.394
678.162,0.853,0.757,0.394
680.664,0.853,0.757,0.394
683.167,0.853,0.757,0.394
685.669,0.853,0.757,0.394
688.171,0.853,0.757,0.394
690.674,0.853,0.757,0.394
693.176,0.853,0.757,0.394
695.679,0.853,0.757,0.394
698.181,0.853,0.757,0.394
700.684,1.069,0.636,0.090
703.186,1.069,0.636,0.090
705.688,1.069,0.636,0.090
708.191,1.069,0.636,0.090
710.693,1.069,0.636,0.090
713.196,1.069,0.636,0.090
715.698,1.069,0.636,0.090
718.201,1.069,0.636,0.090
720.703,1.069,0.636,0.090
723.206,1.069,0.636,0.090
725.708,1.069,0.636,0.090
728.21,1.069,0.636,0.090
730.713,1.069,0.636,0.090
733.215,1.069,0.636,0.090
735.718,1.069,0.636,0.090
738.22,1.069,0.636,0.090
740.723,1.069,0.636,0.090
743.225,1.069,0.636,0.090
745.728,1.069,0.636,0.090
748.23,0.722,-0.551,0.086
750.732,0.722,-0.551,0.086
753.235,0.722,-0.551,0.086
755.737,0.722,-0.551,0.086
758.24,0.722,-0.551,0.086
760.742,0.722,-0.551,0.086
763.245,0.722,-0.551,0.086
765.747,0.722,-0.551,0.086
768.25,0.722,-0.551,0.086
770.752,0.722,-0.551,0.086
773.254,0.722,-0.551,0.086
775.757,0.722,-0.551,0.086
778.259,0.722,-0.551,0.086
780.762,0.722,-0.551,0.086
783.264,0.722,-0.551,0.086
785.767,0.722,-0.551,0.086
788.269,0.722,-0.551,0.086
790.771,0.722,-0.551,0.086
793.274,0.873,0.387,0.405
795.776,0.873,0.387,0.405
798.279,0.873,0.387,0.405
800.781,0.873,0.387,0.405
803.284,0.873,0.387,0.405
805.786,0.873,0.387,0.405
808.289,0.873,0.387,0.405
810.791,0.873,0.387,0.405
813.293,1.159,-0.258,-0.332
815.796,1.159,-0.258,-0.332
818.298,1.120,-1.098,-0.140
820.801,1.175,-0.461,0.199
823.303,1.443,0.034,-0.071
825.806,0.770,0.137,0.422
828.308,0.732,1.132,0.387
830.811,0.420,0.017,0.074
833.313,0.655,-0.104,0.156
835.815,1.574,0.284,-0.298
838.318,1.527,-0.560,-0.110
840.82,1.539,-0.820,0.061
843.323,1.662,0.769,-0.233
845.825,0.709,-0.213,0.336
848.328,0.592,0.234,0.171
850.83,0.987,0.352,0.050
853.333,1.087,-0.388,-0.022
855.835,1.207,-0.220,-0.063
858.337,1.207,-0.220,-0.063
860.84,1.327,-0.182,0.264
863.342,0.956,-0.044,0.196
865.845,0.819,0.704,0.398
868.347,1.061,0.702,0.258
870.85,0.717,-0.520,0.246
873.352,0.871,0.328,0.331
875.854,1.132,-0.247,-0.346
878.357,1.087,-1.060,-0.156
880.859,1.163,-0.403,0.155
883.362,1.503,0.027,-0.062
885.864,0.769,0.065,0.342
888.367,0.714,1.137,0.344
890.869,0.415,0.102,0.069
893.372,0.694,-0.118,0.178
895.874,1.610,0.210,-0.352
898.376,1.515,-0.536,-0.082
900.879,1.515,-0.536,-0.082
903.381,1.561,-0.790,0.066
905.884,1.637,0.785,-0.241
908.386,0.711,-0.179,0.313
910.889,0.569,0.253,0.172
913.391,1.007,0.340,0.113
915.894,1.047,-0.438,-0.030
918.396,1.195,-0.160,-0.071
920.898,1.362,-0.174,0.240
923.401,0.978,-0.108,0.146
925.903,0.831,0.621,0.331
928.406,1.062,0.767,0.296
930.908,0.715,-0.438,0.203
933.411,0.847,0.326,0.331
935.913,1.168,-0.266,-0.321
938.416,1.128,-1.028,-0.158
940.918,1.157,-0.461,0.137
943.42,1.157,-0.461,0.137
945.923,1.526,0.050,-0.114
948.425,0.748,0.055,0.562
950.928,0.672,1.076,0.271
953.43,0.428,0.168,-0.010
955.933,0.754,-0.160,0.206
958.435,1.602,0.242,-0.320
960.938,1.553,-0.431,-0.046
963.44,1.553,-0.804,0.055
965.942,1.523,0.796,-0.075
968.445,0.695,-0.110,0.241
970.947,0.612,0.212,0.162
973.45,1.074,0.351,0.043
975.952,1.097,-0.535,-0.169
978.455,1.139,-0.288,0.006
980.957,1.253,-0.082,0.273
983.459,0.920,-0.069,0.140
985.962,0.920,-0.069,0.140
988.464,0.777,0.484,0.319
990.967,1.077,0.931,0.271
993.469,0.777,-0.359,0.152
995.972,0.795,0.274,0.249
998.474,1.164,-0.232,-0.307
1000.977,1.167,-0.978,-0.191
1003.479,1.201,-0.562,0.160
1005.981,1.577,0.006,-0.143
1008.484,0.746,0.023,0.530
1010.986,0.678,1.144,0.288
1013.489,0.461,0.128,-0.060
1015.991,0.759,-0.196,0.230
1018.494,1.579,0.293,-0.309
1020.996,1.530,-0.372,-0.057
1023.499,1.532,-0.790,0.117
1026.001,1.514,0.780,-0.064
1028.503,0.759,-0.147,0.229
1031.006,0.759,-0.147,0.229
1033.508,0.605,0.171,0.094
1036.011,1.019,0.358,0.152
1038.513,1.081,-0.508,-0.184
1041.016,1.134,-0.260,0.030
1043.518,1.246,-0.148,0.246
1046.021,0.917,-0.093,0.146
1048.523,0.795,0.511,0.301
1051.025,1.062,0.980,0.273
1053.528,0.714,-0.437,0.193
1056.03,0.727,0.191,0.219
1058.533,1.160,-0.153,-0.321
1061.035,1.149,-0.921,-0.164
1063.538,1.234,-0.595,0.126
1066.04,1.672,-0.001,-0.235
1068.542,0.774,0.037,0.499
1071.045,0.601,1.090,0.309
1073.547,0.601,1.090,0.309
1076.05,0.468,0.222,-0.057
1078.552,0.789,-0.259,0.222
1081.055,1.568,0.320,-0.359
1083.557,1.569,-0.344,-0.031
1086.06,1.503,-0.786,0.095
1088.562,1.472,0.902,0.022
1091.064,0.769,-0.075,0.173
1093.567,0.632,0.074,0.109
1096.069,1.051,0.274,0.156
1098.572,1.062,-0.508,-0.247
1101.074,1.097,-0.263,0.068
1103.577,1.227,-0.149,0.217
1106.079,0.973,-0.150,0.120
1108.582,0.788,0.407,0.232
1111.084,1.047,1.126,0.384
1113.586,0.616,-0.466,0.148
1116.089,0.616,-0.466,0.148
1118.591,0.753,0.202,0.149
1121.094,1.279,-0.024,-0.260
1123.596,1.188,-0.938,-0.147
1126.099,1.269,-0.624,0.110
1128.601,1.726,0.098,-0.289
1131.104,0.722,0.008,0.609
1133.606,0.584,0.995,0.248
1136.108,0.519,0.131,-0.149
1138.611,0.784,-0.266,0.284
1141.113,1.523,0.417,-0.238
1143.616,1.570,-0.383,-0.024
1146.118,1.421,-0.724,0.076
1148.621,1.367,0.936,0.140
1151.123,0.804,0.029,0.117
1153.625,0.675,-0.002,0.155
1156.128,1.115,0.270,0.152
1158.63,1.115,0.270,0.152
1161.133,1.100,-0.477,-0.312
1163.635,1.055,-0.395,0.094
1166.138,1.140,-0.177,0.201
1168.64,0.992,-0.145,0.128
1171.143,0.782,0.387,0.202
1173.645,1.059,1.163,0.367
1176.147,0.609,-0.426,0.155
1178.65,0.702,0.230,0.156
