placement,online,domain,features,train_accuracy,train_precision,train_recall,train_error_rate,test_accuracy,test_precision,test_recall,test_error_rate
A,False,TD,"['zerocross', 'pp', 'aac']",0.9175732217573221,0.9175732217573221,0.9175732217573221,0.08242677824267783,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.15384615384615385
A,False,FD,"['centroid', 'roll_off', 'entropy']",0.9313807531380753,0.9313807531380753,0.9313807531380753,0.06861924686192468,0.8595317725752508,0.8595317725752508,0.8595317725752508,0.14046822742474915
A,True,TD,"['zerocross', 'aac', 'shape']",0.8556521739130435,0.8556521739130435,0.8556521739130435,0.1443478260869565,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.2222222222222222
A,True,FD,"['centroid', 'roll_on', 'roll_off']",0.8356521739130435,0.8356521739130435,0.8356521739130435,0.16434782608695653,0.7326388888888888,0.7326388888888888,0.7326388888888888,0.2673611111111111
B,False,TD,"['zerocross', 'aac', 'rms']",0.8736401673640167,0.8736401673640167,0.8736401673640167,0.12635983263598327,0.8060200668896321,0.8060200668896321,0.8060200668896321,0.1939799331103679
B,False,FD,"['centroid', 'roll_on', 'roll_off']",0.8702928870292888,0.8702928870292888,0.8702928870292888,0.1297071129707113,0.7959866220735786,0.7959866220735786,0.7959866220735786,0.2040133779264214
B,True,TD,"['zerocross', 'aac', 'shape']",0.7342908438061041,0.7342908438061041,0.7342908438061041,0.26570915619389585,0.5734767025089605,0.5734767025089605,0.5734767025089605,0.4265232974910394
B,True,FD,"['centroid', 'roll_on', 'roll_off']",0.7468581687612208,0.7468581687612208,0.7468581687612208,0.25314183123877915,0.5913978494623656,0.5913978494623656,0.5913978494623656,0.40860215053763443
