placement,online,domain,count,mean,std,min,25%,50%,75%,max
A,False,TD,120.0,0.8449895397489539,0.041668183665392246,0.7774058577405858,0.8047071129707113,0.847907949790795,0.8789748953974895,0.9175732217573221
A,False,FD,165.0,0.8564016736401673,0.03078476810395559,0.7849372384937239,0.8330543933054393,0.8560669456066946,0.8761506276150628,0.9313807531380753
A,True,TD,120.0,0.719072463768116,0.034397896811078466,0.6504347826086957,0.6965217391304348,0.7165217391304348,0.7376086956521739,0.8556521739130435
A,True,FD,165.0,0.713828722002635,0.051742046509910516,0.6330434782608696,0.6608695652173913,0.7130434782608696,0.7478260869565218,0.8356521739130435
B,False,TD,120.0,0.811792189679219,0.03438937011746302,0.7338912133891213,0.7894351464435146,0.8135983263598326,0.8435146443514644,0.8736401673640167
B,False,FD,165.0,0.80516546215291,0.029470940873246292,0.7280334728033473,0.7836820083682008,0.8050209205020921,0.8242677824267782,0.8702928870292888
B,True,TD,120.0,0.6240948533812088,0.04236608505995016,0.5296229802513465,0.5850538599640934,0.6319569120287253,0.6537253141831239,0.7342908438061041
B,True,FD,165.0,0.6085523094499754,0.06446933647116969,0.5026929982046678,0.5745062836624776,0.6086175942549371,0.6552962298025135,0.7468581687612208
