placement,online,TD_rms,TD_pp,TD_zerocross,TD_shape,TD_aac,TD_crest,TD_clearance,TD_impulse,TD_skewness,TD_kurtosis,FD_roll_off,FD_flux,FD_skewness,FD_negentropy,FD_entropy,FD_noisiness,FD_kurtosis,FD_centroid,FD_std,FD_roll_on,FD_energy
A,False,1.2599210498948732,2.2894284851066637,2.2894284851066637,3.634241185664279,5.848035476425731,6.214465011907718,6.316359597656378,7.318611420045943,9.321697517861576,9.654893846056302,1.709975946676697,2.0,3.4760266448864496,4.578856970213327,4.610436292058446,5.45136177849642,5.768998281229634,6.0822019955734,7.55952629936924,10.322801154563672,10.656022367666111
A,True,2.2894284851066637,2.8844991406148166,1.4422495703074085,2.519842099789746,4.999999999999999,6.9520532897729,6.603854497789252,7.318611420045943,9.321697517861576,9.654893846056302,1.0,3.1072325059538586,4.578856970213327,4.379519139887889,5.241482788417794,4.7176939803165325,6.839903786706787,4.160167646103808,8.572618882313398,9.654893846056302,11.000000000000002
B,False,2.8844991406148166,1.0,2.8844991406148166,10.000000000000002,2.8844991406148166,6.316359597656379,7.999999999999998,6.257324745675973,5.313292845913055,9.000000000000002,1.5874010519681994,4.308869380063767,9.000000000000002,7.651724731089554,6.000000000000001,4.7176939803165325,11.000000000000002,3.1072325059538586,5.517848352762241,2.154434690031884,7.368062997280775
B,True,3.3019272488946263,1.0,2.519842099789746,9.654893846056297,2.8844991406148166,4.999999999999999,6.999999999999999,6.603854497789252,8.320335292207616,8.143252849784718,2.0,3.634241185664279,8.962809493114328,8.65349742184445,6.316359597656378,4.999999999999999,11.000000000000002,4.160167646103808,5.277632087904077,1.0,9.283177667225555
